row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,2024_POS_Y-EV_1_CTRL_Run88.mzML Peak area,2024_POS_Y-p9_3_Run155.mzML Peak area,2024_POS_Y-p9_1_Run100.mzML Peak area,2024_POS_Y-EV_2_CTRL_Run117.mzML Peak area,2024_POS_Y-p9_2_Run120.mzML Peak area,2024_POS_Y-EV_3_CTRL_Run138.mzML Peak area,Unnamed: 19
122,116.07054802253585,0.3821495,,,,43.0,,,,,,,59866676.0,83178160.0,91747750.0,62976950.0,90367090.0,96599704.0,
123,117.07389911507812,0.38214943,,,,43.0,,,,,,,1935351.0,3686695.5,4521929.5,2765347.8,4083416.2,4185785.5,
209,118.08619538748543,0.46636320000000003,,,,2.0,,,,,,,58750940.0,59232228.0,54774732.0,58048256.0,66845484.0,68447420.0,
393,118.94255741168516,1.7590483000000001,,,,,,,,,,,1101445.1,110920.29,63830.746,983436.8,225807.23,52453.293,
389,118.94256540415267,1.5092821,,,,,,,,,,,104330.1,918688.25,60919.58,47516.227,880177.9,126871.375,
380,118.94257071327557,1.414815,,,,,,,,,,,86941.35,34680.33,781927.8,164833.7,14136.351999999999,36778.547,
2,118.9425777666918,0.033505,,,,0.0,,,,,,,2765334.0,2487459.0,2655787.2,2740714.2,2427982.2,2635529.5,
212,119.0895597432062,0.49474880000000004,,,,2.0,,,,,,,945665.3,1299353.9,1085959.8,2796365.0,3358649.5,3001247.8,
183,119.08956075346151,0.4115299,,,,,,,,,,,2729126.2,822623.25,771682.56,850849.4,1443608.9,364465.06,
527,120.04438279581592,2.8243267999999997,,,,1.0,,,,,,,106981460.0,60551784.0,39222260.0,109321090.0,73374850.0,144984910.0,
185,120.06546859003987,0.3959798,,,,43.0,,,,,,,1142717.9,1927452.8,622011.4,1994891.5,1110924.9,1990415.8,
385,120.08072997989042,1.4641656,,,,28.0,,,,,,,10021885.0,8798351.0,7124367.5,10843091.0,10709824.0,13674307.0,
523,121.0476921999864,2.8231075,,,,1.0,,,,,,,8066635.0,4509229.0,2875334.0,8297497.5,5493986.0,10920018.0,
24,123.01380400447034,0.30911577,,,,6.0,,,,,,,479867.3,390509.56,347636.56,516081.0,383483.03,330723.8,
186,124.10001808748316,0.41395962,,,,43.0,,,,,,,577050.3,2072925.9,200898.16,1899566.0,221590.4,212392.97,
211,124.1000210325811,0.47654709999999995,,,,2.0,,,,,,,1389871.5,1012456.7,1970079.2,1001421.3,1795763.6,1330321.0,
76,126.052506249131,0.36181090000000005,,,,43.0,,,,,,,832221.25,1302574.4,668838.9,776241.25,1506808.0,610392.0,
341,127.03892632194186,0.79143,,,,,,,,,,,1676050.9,488251.16,66698.89,1436435.9,161882.25,1906413.1,
20,128.01924032142202,0.30830225,,,,6.0,,,,,,,2667887.2,2362964.2,2235487.8,2437472.0,2520345.2,2193273.0,
148,128.0705437119882,0.39109826,,,,,,,,,,,11586.306999999999,1802244.1,213537.84,10225.082,1635355.5,7978.8633,
248,129.0181938789203,0.5366488,,,,2.0,,,,,,,5982573.5,6688683.0,8803514.0,5686520.5,7015830.0,7138178.5,
376,129.05459505259094,0.9832921,,,,,,,,,,,619085.75,703144.1,1595572.1,696673.06,1611500.1,2079300.0,
14,130.01680406476765,0.30830225,,,,6.0,,,,,,,341777.1,301627.56,298382.38,321221.2,354173.25,305521.47,
275,130.04985154519008,0.6080052,,,,,,,,,,,8046560.0,7122579.5,7030690.0,8367043.0,8676530.0,11896864.0,
146,130.08623479309472,0.3642204,,,,43.0,,,,,,,3055945.0,3044163.5,2996342.0,3116207.2,990786.5,2801525.0,
489,130.15900192095611,2.7052633999999998,,,,,,,,,,,663148.06,506549.5,500056.66,553576.4,569158.0,803681.94,
1073,131.53347727838437,8.098583,,,,,,,,,,,156622.83,60380.805,20485.35,49186.17,25051.3,65491.215,
1505,131.53348158369516,10.438378,,,,12.0,,,,,,,979353.8,702202.1,1310926.1,834569.1,1034716.9,1008744.6,
1184,131.53350341785722,8.647905,,,,,,,,,,,405537.44,30889.955,5053.897,14508.487,0.0,0.0,
328,132.101897041177,0.76050264,,,,71.0,19.0,[M+Na]+,,2.0,324;328,109.11307,119556216.0,127793720.0,129681240.0,128471530.0,146053580.0,150929250.0,
22,132.9981727593817,0.30830225,,,,6.0,,,,,,,1235512.4,982700.5,1011915.75,1206333.5,1117769.0,941922.75,
36,133.0971427897422,0.34059587,,,,27.0,,,,,,,400826.47,602044.8,330912.84,468440.8,558686.0,132524.06,
323,133.10523000642846,0.7551709,,,,71.0,,,,,,,7534994.0,8201795.0,8366736.0,8171764.5,9330398.0,9457292.0,
187,134.0447565101579,0.40004727,,,,43.0,,,,,,,5838095.5,4674968.0,3899959.5,6570833.5,583879.2,648898.8,
238,134.0447578755051,0.51806253,,,,,,,,,,,2293060.5,1079386.6,507395.06,426053.38,2929259.0,3084767.0,
348,134.06099853234366,0.8209992,,,,,,,,,,,2788516.0,2867701.2,2516238.5,3017735.8,2571754.5,2090633.1,
9,136.95316381505958,0.306667,,,,6.0,,,,,,,227391.31,180234.89,120023.266,120667.45,175732.4,92147.836,
7,136.95318383732732,0.036015662999999996,,,,0.0,,,,,,,1148977.6,1009513.94,1037667.6,1040261.6,1056025.2,1047353.2,
85,138.0525122278041,0.36831906,,,,43.0,,,,,,,1670317.4,2399371.0,3058564.0,1975618.9,3169176.8,3638009.0,
492,138.054940042484,2.725228,,,,,,,,,,,330858.22,165166.28,58138.687999999995,305869.62,134385.61,448197.47,
524,138.05497730456898,2.8231075,,,,1.0,,,,,,,110393250.0,61158356.0,40452190.0,112155530.0,75458000.0,141496660.0,
249,139.00256488978712,0.537512,,,,2.0,,,,,,,1185512.4,1226701.2,1329602.2,1190062.2,799285.44,1050572.2,
521,139.05827338880587,2.8222857000000006,,,,1.0,,,,,,,8287646.0,4656827.5,3092900.0,8772204.0,5743943.5,11028493.0,
331,139.11905324048624,0.7613171,,,,71.0,,,,,,,15964569.0,16432606.0,16094176.0,16352605.0,15412161.0,14125780.0,
1199,139.98788119664448,8.697534,,,,,,,,,,,1084345.1,262708.2,163834.95,246696.34,93944.875,16030.936000000002,
1506,139.98789521625795,10.435965,,,,,,,,,,,796935.8,670598.8,723779.25,646118.75,634797.75,684689.5,
1079,139.98789750262722,8.165608,,,,,,,,,,,158370.67,81478.625,5449.576999999999,93052.234,6619.8154,6405.865,
196,140.06818324863437,0.41671798,,,,43.0,,,,,,,1085478.1,1127111.2,1206923.2,1175870.1,1576436.0,1793605.0,
452,140.1433608134342,2.3865502,,,,75.0,,,,,,,566729.56,460807.3,411492.53,537074.44,553776.8,619012.6,
193,141.03390579881105,0.40655604,,,,,,,,,,,379388.66,233374.53,617741.25,145289.2,509216.78,252839.28,
259,141.03391426837157,0.5534435999999999,,,,2.0,,,,,,,1474355.9,2305362.8,1374480.0,1782978.9,1466144.9,1073929.1,
361,141.0339143474948,0.8810129000000001,,,,84.0,,,,,,,3291563.0,2999751.8,3232899.5,3235098.8,2814705.0,2657339.2,
192,141.04692648312525,0.40493372,,,,43.0,,,,,,,1941864.9,5898928.0,6716070.0,5081589.5,5519942.5,4984005.5,
1509,141.95857929332712,10.439621,,,,12.0,,,,,,,345580.62,160947.39,423676.78,184082.25,605438.25,644538.75,
3,141.9586164735528,0.033505,,,,0.0,,,,,,,3871553.0,3615723.2,3848296.2,3752142.0,3885254.2,3709670.5,
37,142.94805472106898,0.33656636,,,,53.0,1.0,[M+H]+,,1.0,41,141.94077,404180.75,558242.1,466787.1,404963.47,582651.6,449482.75,
1179,144.9821781568119,8.633397,,,,80.0,,,,,,,38669720.0,30844780.0,28549460.0,34776324.0,28521304.0,28158360.0,
1414,144.98218110064397,10.173511999999999,,,,,,,,,,,7772805.5,8064780.0,7035956.0,6014458.5,6033862.0,4794500.5,
23,146.0298436590019,0.30911577,,,,6.0,,,,,,,299095.38,242292.42,227878.31,256810.48,250130.0,222331.88,
35,146.16518144867274,0.32248917,,,,,,,,,,,2831082.2,2145373.8,1665403.0,2202606.8,1846419.4,1067373.0,
1176,146.9803365256231,8.6309395,,,,80.0,,,,,,,17441036.0,13754620.0,12817329.0,15399770.0,12860979.0,14637198.0,
240,147.02878927338273,0.533302,,,,2.0,,,,,,,2924934.2,3485160.2,4602145.5,3090816.5,3920774.5,3965123.2,
116,147.0764093751041,0.38214934,,,,43.0,12.0,[M-H2O+NH4]+,,2.0,142;116,147.05315,1590962.4,1109662.8,187035.22,2273554.5,1252441.9,1064690.2,
97,147.11280485071342,0.31806874,,,,27.0,,,,,,,2340001.2,23724160.0,3168087.8,9028826.0,8259357.0,1479158.5,
142,148.06043119195542,0.38540363,,,,43.0,12.0,[M+H]+,,2.0,142;116,147.05315,27045768.0,7224825.0,6273717.0,9542445.0,7394712.5,31115682.0,
25,151.00875313265547,0.30911577,,,,6.0,,,,,,,806391.5,641023.7,625501.3,803922.0,677932.7,559991.44,
27,151.03523862302853,0.30830225,,,,,,,,,,,239938.7,243128.64,240674.28,222330.95,256916.23,235378.0,
512,153.10211407784658,2.8150804,,,,,,,,,,,63737.65,5553.483,79537.305,144110.36,5523.289000000001,537177.0,
554,153.10220511856673,3.057502,,,,,,,,,,,24741.316000000003,0.0,21045.15,36283.87,0.0,267425.75,
476,153.10222548637938,2.5731874,,,,,,,,,,,28158.625,0.0,37114.11,30918.777000000002,0.0,184029.16,
1494,154.99023478032626,10.411225,,,,12.0,,,,,,,697396.25,1633804.5,1773810.1,316575.38,1798869.6,1984547.8,
83,156.0767267194445,0.36750564,,,,43.0,,,,,,,5040643.0,9980846.0,7790125.5,7047777.0,9428976.0,4132882.0,
254,157.01320460670448,0.5433879,,,,2.0,17.0,[M-2H2O+H]+,,3.0,254;242;234,192.02698999999998,1631203.9,1730336.5,1614914.4,1704543.1,1878738.8,2010050.9,
118,157.06073382365622,0.37970898,,,,43.0,,,,,,,1198995.5,464312.06,291407.9,1405813.8,527195.56,928990.9,
143,158.08113428370729,0.38540375,,,,43.0,11.0,[M+H]+,,2.0,112;143,157.07395,4441735.5,1731120.8,558885.3,4055785.8,1440853.4,2553105.5,
398,158.0811678470145,2.0762753000000003,,,,,,,,,,,10162038.0,5663945.5,3262640.2,11787009.0,6289033.0,12334134.0,
642,158.15393026706815,4.9462485,,,,,,,,,,,790881.56,755522.1,732212.8,815626.3,749555.9,748379.0,
51,158.96406287007554,0.3455371,,,,53.0,,,,,,,264622.06,200637.4,336315.34,250642.14,229089.78,337941.56,
1448,158.96407642489987,10.27674,,,,21.0,,,,,,,405251.16,135979.23,14326.928999999998,147486.4,7228.701,12748.368999999999,
6,159.96916220907994,0.035164405,,,,0.0,,,,,,,1475161.2,1560149.8,1508879.5,1443357.1,1436925.2,1377572.1,
391,160.0756873946375,1.6087351,,,,,,,,,,,798786.4,724311.4,1869917.1,912757.1,1094146.9,3516521.2,
41,164.9299777918817,0.33983615,,,,53.0,1.0,[M+Na]+,,2.0,41;37,141.94077,804120.94,947702.5,970313.56,830144.3,1061690.6,975039.75,
602,166.08622448162683,4.0782894999999995,,,,,,,,,,,115847.35,56145.24,25442.477000000003,112845.75,55520.344000000005,128414.375,
383,166.08626713122075,1.4572355,,,,28.0,,,,,,,57767212.0,50546740.0,41632230.0,62786160.0,61612344.0,77123980.0,
510,169.07600219310052,2.809295,,,,1.0,,,,,,,6773040.0,5937383.0,6814436.5,6563274.0,7318842.5,10466924.0,
40,169.0947272977213,0.33902022,,,,53.0,2.0,[M+H]+,,2.0,43;40,168.08744,564686.7,2003408.5,1651355.8,678372.4,2104240.2,671525.9,
201,170.04233095997267,0.36018395,,,,43.0,,,,,,,708548.56,472384.75,416792.16,637371.7,513955.97,689884.5,
509,170.07927744270643,2.812726,,,,,,,,,,,739799.56,652680.7,748738.0,745578.06,820911.4,1103457.5,
246,175.02367134466854,0.5358649000000001,,,,2.0,17.0,[M-H2O+H]+,,5.0,242;229;246;234;231,192.02698999999998,3257834.0,3339327.0,4829334.5,2992677.0,4058596.2,4380599.0,
141,175.02367888034112,0.39964917,,,,43.0,15.0,[M-H2O+H]+,,6.0,155;153;157;152;140;141,192.02698,206838.19,327284.78,529731.5,278337.12,286902.78,455172.88,
112,175.10786337143074,0.37808168,,,,43.0,9.0,[M-H2O+NH4]+,,3.0,99;129;112,175.08448,6120078.5,3004131.8,1468142.6,5053367.0,2569797.5,4840772.0,
77,175.11890117383788,0.36181090000000005,,,,43.0,,,,,,,27306210.0,31312482.0,24898588.0,30972008.0,35492620.0,28588114.0,
129,176.09168735710082,0.38296297,,,,43.0,9.0,[M+H]+,,2.0,129;112,175.08448,127980520.0,49572820.0,23392034.0,139773070.0,67485710.0,110157464.0,
144,176.1020651667171,0.38377655,,,,43.0,,,,,,,2116648.2,1235142.8,167481.94,2256807.8,1588235.9,1316133.8,
384,176.11341997932004,1.458479,,,,28.0,,,,,,,8250837.5,8288569.5,8537985.0,8373626.5,8320510.5,8048117.5,
75,176.12215187893787,0.36262444,,,,43.0,,,,,,,770854.06,1415059.5,1174378.9,1557923.2,1986653.4,647931.44,
132,177.0950095005083,0.38377666,,,,43.0,,,,,,,9828455.0,3838749.2,1457008.2,10788691.0,4302190.5,8418385.0,
58,178.00858949565082,0.3512342,,,,53.0,,,,,,,291350.97,219109.94,199837.12,322271.5,202573.3,249694.17,
50,178.05864400476798,0.34553298,,,,53.0,4.0,[M+H]+,,2.0,46;50,177.05142,654353.3,805677.7,676707.6,674904.25,811977.94,579345.94,
289,182.08109842249505,0.6526706999999999,,,,29.0,,,,,,,2251528.2,2425174.5,2058229.6,2323124.8,2582057.5,2531895.5,
589,182.1902582772633,3.6831665,,,,,,,,,,,50017.29,37537.94,35364.42,44128.832,49299.254,62018.53,
569,182.19027135999644,3.3668852,,,,,,,,,,,469717.53,373004.8,413447.9,419933.2,459194.12,636096.75,
1498,182.9850972799644,10.413657,,,,12.0,,,,,,,1948124.1,1879000.2,2062422.8,1880538.0,2173194.0,2415182.8,
4,182.9851120338424,0.033505,,,,0.0,,,,,,,408617.2,490951.84,468023.53,421098.22,465738.94,473493.1,
548,183.09164870499646,2.9700117,,,,,,,,,,,712750.0,704714.2,760196.25,704200.7,878828.25,1220870.0,
95,184.07322317685882,0.37075959999999997,,,,43.0,,,,,,,1277260.1,1731338.4,967621.06,1625388.9,1316262.5,1510051.4,
474,184.16952408542667,2.535453,,,,25.0,,,,,,,357550.3,290127.2,308143.38,338632.4,356546.56,548757.06,
414,184.16954052690411,2.2186186,,,,87.0,,,,,,,3007995.8,2658053.8,2470463.5,2634294.8,3017616.2,4312386.0,
1080,184.98548818973597,8.190242999999999,,,,,,,,,,,326715.22,428387.06,84541.25,227992.2,207910.36,73713.875,
1501,184.98549281432167,10.434967,,,,12.0,,,,,,,1076476.8,932375.3,1071361.6,984332.1,1073040.5,1051776.9,
1192,184.9854944562952,8.709949499999999,,,,,,,,,,,4276074.5,1714699.5,1516190.6,2081776.4,966677.3,996373.1,
5,184.9854980577624,0.033505,,,,0.0,,,,,,,207788.53,215207.53,218511.48,209641.31,211463.61,226291.25,
340,185.04197093793343,0.7917881,,,,71.0,,,,,,,2572233.5,510072.94,339799.8,2727530.8,701313.56,1962348.0,
280,185.0419804100017,0.6347895,,,,,,,,,,,1093079.9,147750.27,337981.9,1015246.94,639108.5,1260481.6,
79,185.12712060021298,0.36262444,,,,43.0,,,,,,,734619.25,1042242.44,894118.9,433735.4,479081.25,195094.25,
505,188.0704516969812,2.7872673999999997,,,,,,,,,,,118014.445,50229.996,30209.16,162002.66,69465.0,229332.73,
419,188.07055213432187,2.2528183,,,,19.0,21.0,[M+H]+,,2.0,421;419,187.06327,4925287.5,9168170.0,7346169.5,5213825.5,11083648.0,6598833.5,
145,189.1233089797327,0.38621724,,,,43.0,,,,,,,1955873.6,2040530.4,1049072.8,2216774.2,2595930.8,1544557.1,
213,189.12331218742244,0.47998142,,,,2.0,,,,,,,3898384.2,3594456.2,1849731.2,3739956.5,1380802.8,3383851.8,
434,190.04975659133783,2.323179,,,,,,,,,,,31263.107000000004,52792.155999999995,64439.496,32114.701,58942.23,76573.625,
462,190.0498009051694,2.453677,,,,,,,,,,,273063.94,347407.5,670926.2,299982.72,419404.53,626873.6,
491,190.08956443311817,2.724182,,,,,,,,,,,116929.53,154416.45,55539.293,102603.164,295257.7,400870.0,
388,190.10732940106425,1.4902414,,,,28.0,20.0,[M+Na]+,,2.0,388;387,167.11746000000002,9337878.0,5814198.0,4851622.0,10181657.0,7420912.5,14693446.0,
43,191.07663828583816,0.34064734,,,,53.0,2.0,[M+Na]+,,2.0,43;40,168.08744,495435.4,1238790.6,1289436.1,600079.1,1465825.5,687958.4,
65,192.02429418875332,0.35367468,,,,53.0,6.0,[M+H]+,,2.0,65;64,191.01703999999998,490220.4,339087.97,310098.62,511450.56,389845.72,598908.8,
457,192.06889833885398,2.4143302,,,,,,,,,,,208209.8,220356.72,175137.55,145930.72,385731.12,777006.94,
241,193.03427024703342,0.5333251999999999,,,,2.0,17.0,[M+H]+,,5.0,242;229;241;234;231,192.02698999999998,2602959.2,3550067.2,5018505.5,2775367.2,4031780.2,4578815.5,
176,193.03431325508052,0.40587863,,,,43.0,15.0,[M+H]+,,4.0,155;176;153;152,192.02698,335026.4,347867.0,759763.2,388227.03,123111.85,516528.53,
325,193.06793303759312,0.75073403,,,,,,,,,,,20044.12,681138.94,51935.785,43390.2,788425.56,92047.8,
382,195.1127706874871,1.4415726999999998,,,,,,,,,,,39347.203,460968.12,871762.56,34579.254,612055.1,744201.7,
547,195.11277662325713,2.9501188,,,,,,,,,,,172300.67,78973.97,417522.4,184623.42,131507.78,680474.5,
570,195.11278252625016,3.3668687000000004,,,,,,,,,,,94200.91,28387.896,261431.0,128430.42,58691.32,568688.1,
426,195.1226701710257,2.2795799,,,,52.0,22.0,[M+H]+,,2.0,427;426,194.11542,664522.94,571322.3,542793.94,614242.9,629555.06,666269.2,
609,195.1379457459173,4.3348002,,,,,,,,,,,812781.0,821318.8,822417.75,875569.5,864521.6,807515.7,
595,195.13795763489185,3.8333442000000004,,,,,,,,,,,106271.484,102448.875,140592.03,109143.35,99727.27,105776.21,
572,196.09682028875903,3.4673846,,,,,,,,,,,918565.94,86504.24,27570.73,903271.0,137634.08,1321664.0,
44,197.10086157854255,0.34064734,,,,53.0,3.0,[M+H]+,,2.0,44;47,196.09356,720523.0,732604.44,733767.6,882472.6,830542.5,977797.1,
99,198.07364374057374,0.371573,,,,43.0,9.0,[M+Na]+,,2.0,99;112,175.08448,2498327.8,878182.7,92071.39,2797180.8,1062763.4,2193864.0,
46,200.04069168794015,0.34146079999999995,,,,53.0,4.0,[M+Na]+,,2.0,46;50,177.05142,275442.72,283664.2,330222.3,290937.34,329720.38,319269.9,
420,200.10454770807038,2.2528183,,,,19.0,,,,,,,6213858.0,6273593.5,6134582.0,6351282.0,6160366.5,6177002.5,
225,201.07003605465,0.5041220999999999,,,,,,,,,,,101266.33,158502.33,439383.16,177971.03,269426.44,606897.1,
175,201.07004368493583,0.39272544,,,,43.0,,,,,,,686568.1,598664.25,635054.1,684563.25,650703.25,769684.44,
517,201.07016391577432,2.8188086,,,,1.0,,,,,,,194773.3,93873.336,79083.36,211800.02,121825.055,245143.42,
1200,201.9757218317744,8.700053,,,,,,,,,,,1570547.1,280793.03,95619.945,260271.4,35641.54,23366.557,
1512,201.97572859178717,10.486702000000001,,,,,,,,,,,128413.93,142600.83,121601.75,134243.23,134841.17,139711.6,
496,202.18007890628465,2.7374112999999998,,,,20.0,,,,,,,326429.44,279420.53,298197.75,346868.5,347375.72,462028.6,
147,202.18008746361699,0.38703075,,,,43.0,,,,,,,10957047.0,8968646.0,8149540.5,10508688.0,9073972.0,10564550.0,
299,202.18008845215388,0.6903090000000001,,,,71.0,,,,,,,18112082.0,15489109.0,13065851.0,19814812.0,18637974.0,25774914.0,
70,203.05263141376804,0.35774252,,,,43.0,,,,,,,8604014.0,4219609.0,1376482.6,7398441.0,3538978.8,5347296.0,
151,203.1833183056513,0.3878443,,,,43.0,,,,,,,1149906.0,890384.25,782378.4,1085948.8,827621.8,945738.7,
298,203.1833393421966,0.6902229999999999,,,,71.0,,,,,,,1654860.8,1413036.4,1242838.0,1677488.8,1724450.1,2335893.2,
497,203.18335562858258,2.7374112999999998,,,,,,,,,,,26726.262000000002,27222.307,24329.436,30796.827999999998,28527.882999999998,46494.31,
421,205.097087618433,2.2528183,,,,19.0,21.0,[M+NH4]+,,2.0,421;419,187.06327,3823960.2,6945356.5,5690762.5,4002189.8,8436515.0,4935510.5,
274,208.06381264768632,0.61119694,,,,,,,,,,,66386.54,1277167.2,317678.5,102131.695,68386.125,74353.74,
603,208.09676449771092,4.1900983,,,,,,,,,,,300740.84,78639.766,105975.38,378831.47,129404.82,1099749.8,
561,208.0967716051205,3.2256696,,,,,,,,,,,90045.88,87152.77,109233.92,83254.234,112180.9,178678.9,
601,208.09677244110057,4.0111566,,,,,,,,,,,20984.156000000003,0.0,0.0,12054.776000000002,0.0,39156.016,
576,208.0968184455089,3.5159614,,,,,,,,,,,69050.11,0.0,0.0,80631.77,27002.217,120335.8,
78,209.0727308088221,0.36181104,,,,43.0,,,,,,,1354439.9,1265271.1,1468298.4,1113112.2,1186685.6,963381.6,
424,209.12840828876358,2.2687252,,,,,,,,,,,203148.58,826412.7,709747.7,250159.14,876033.44,264747.5,
654,209.1535734976231,5.2607217,,,,,,,,,,,105422.53,122917.72,104286.8,119328.5,115297.24,107104.625,
976,209.1535930072026,7.754567599999999,,,,13.0,39.0,[M-H2O+H]+,,2.0,978;976,226.15687999999997,419242.38,568096.25,339829.8,392539.06,244058.84,354362.12,
988,209.1535950036892,7.8202024,,,,3.0,41.0,[M-H2O+H]+,,2.0,994;988,226.15687999999997,313996.75,331045.03,145086.55,202469.62,242163.92,182395.8,
157,210.0607643547357,0.40465215,,,,43.0,15.0,[M+NH4]+,,6.0,155;153;157;152;141;140,192.02698,1799293.0,1943706.4,3901461.0,1875670.0,2317045.8,3095750.5,
242,210.06077054728473,0.5333248,,,,2.0,17.0,[M+NH4]+,,7.0,254;242;229;241;246;234;231,192.02698999999998,13522768.0,13784027.0,22654130.0,13888473.0,15933711.0,22507578.0,
584,210.11241072798157,3.5911867999999996,,,,,,,,,,,321473.9,81632.67,54748.187999999995,344293.25,128749.04,563310.7,
637,211.08657153064857,4.8715525,,,,56.0,,,,,,,85409.66,48199.734000000004,32702.654,81906.52,43996.527,91273.21,
74,211.08828631282245,0.36099747,,,,43.0,,,,,,,1477590.2,1577227.9,1863214.8,1313453.9,1406162.5,1307380.4,
