row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,Yeast_HE_D5-Ctrl_a_pos_20190515_Run37.mzML Peak area,Yeast_HE_D5-Ctrl_b_pos_20190515_Run40.mzML Peak area,Yeast_HE_D5-Ctrl_c_pos_20190515_Run43.mzML Peak area,POS_D5-227-C3-a_Run274.mzML Peak area,POS_D5-227-C3-b_Run277.mzML Peak area,POS_D5-227-C3-c_Run280.mzML Peak area,
706,111.0390565685096,10.501865,,,,40,,,,,,,1.0615713E7,1.2155978E7,1.1574239E7,9974986.0,1.0096601E7,1.0210792E7,
675,111.51895834485123,10.370517,,,,33,,,,,,,1924844.1,2008572.1,2014142.6,1921995.0,1931870.0,1909142.4,
352,111.51899804649413,7.610102,,,,,,,,,,,165472.64,112764.1,126063.07,484138.47,50120.574,452772.4,
676,111.52179881580169,10.370517,,,,33,,,,,,,6691522.5,6787262.5,6880642.5,6755973.5,6823003.5,6699939.0,
345,111.52188224906165,7.5477424,,,,,,,,,,,755068.44,785925.75,800058.06,894624.06,2078349.1,2071510.2,
674,112.01785788076944,10.369778,,,,33,,,,,,,3.0950596E7,3.1093494E7,3.1442178E7,3.1092552E7,3.0735896E7,3.060245E7,
347,112.01793048466534,7.5698647,,,,,,,,,,,3449156.2,3635819.0,3577036.8,4380042.0,4367353.5,9427907.0,
667,112.51960847986658,10.36617,,,,33,,,,,,,2166385.2,2206800.8,2212751.0,2225654.8,2234281.8,2224283.2,
672,113.01661419227526,10.367911,,,,33,,,,,,,4360230.5,4348225.0,4455318.5,4359603.0,4284491.5,4326127.0,
356,113.01669750010048,7.6142635,,,,,,,,,,,477690.97,224159.78,491958.28,1137679.0,1134737.8,1143815.9,
645,113.96361841810722,10.329034,,,,33,,,,,,,8225338.5,7057517.0,7176085.0,9388330.0,8700950.0,7986517.5,
6,113.96378721100213,0.037750382,,,,0,,,,,,,2728314.8,2782697.0,2835497.2,2782541.2,2736515.8,2560414.5,
16,113.96380356778661,0.322626,,,,25,,,,,,,1645683.8,2057201.1,2389126.8,1815274.9,2824465.5,1862280.9,
662,114.0165174597749,10.362838,,,,33,,,,,,,1043150.6,1105818.0,1113333.8,1103203.2,1078039.9,1087426.1,
683,115.96401414881495,10.377372,,,,33,,,,,,,2156360.2,2001137.5,2425267.5,2041794.1,1832494.6,1849631.1,
18,116.97197224086528,0.32262775,,,,25,,,,,,,593772.5,983248.2,930963.44,354665.34,570483.4,763643.1,
160,118.06514869073074,5.6750627,,,,3,,,,,,,832281.06,1088992.5,1140044.9,1421731.8,1195878.0,1280073.1,
195,119.08561476128091,6.102368,,,,34,,,,,,,1330526.4,2233152.8,1468033.6,1084575.8,1840336.5,1082775.1,
48,120.04448859681214,2.8347218,,,,50,,,,,,,2561646.0,2504766.0,2225040.0,5495697.0,3373633.5,3788563.0,
701,125.98624605014373,10.481593,,,,40,,,,,,,2.3375738E7,2.1710632E7,2.2511954E7,2.122205E7,2.366376E7,2.207944E7,
26,128.95085140552297,0.41231966,,,,5,,,,,,,2388062.0,2565770.5,2683212.5,2264941.8,3353660.8,2861192.5,
688,130.5217001586777,10.3903265,,,,33,,,,,,,2379528.2,2255533.8,2290723.8,2433891.8,2078032.4,2077621.2,
669,131.53354649003347,10.367028,,,,33,,,,,,,6743107.5,6902001.0,7144073.5,7119390.5,7047955.5,7023678.5,
354,131.53362845443425,7.6271653,,,,,,,,,,,825521.0,2525547.2,2123222.5,3043225.2,3035192.8,2529747.2,
533,136.02168901004202,8.409459,,,,,,,,,,,4908357.5,4750310.0,4705572.0,879461.25,868747.3,883986.4,
35,136.03953444760592,1.7459158,,,,19,,,,,,,2348383.2,2152909.8,4251467.5,3261787.0,3592781.2,3591158.5,
49,138.05510624308013,2.8356316,,,,50,,,,,,,729429.0,699165.94,635383.44,1584802.9,966935.2,1088954.4,
38,138.05510996273154,2.106934,,,,,,,,,,,3749.0325,7292.825,9383.593,149662.1,178017.95,16084.215,
33,138.05514705608502,1.6910248,,,,,,,,,,,2169571.0,2189070.2,3493681.5,2858028.8,3417547.5,3024058.5,
638,138.99539105663746,10.323995,,,,33,,,,,,,4209994.0,4422416.5,4454389.5,5495477.0,5271533.5,5039794.0,
707,139.01795568328887,10.504037,,,,40,,,,,,,1.0097925E7,1.0482867E7,1.011755E7,1.0679761E7,1.0292277E7,1.0993949E7,
5,139.9634689389034,0.036855597,,,,,,,,,,,488679.5,161978.84,416391.4,237282.08,708434.2,312713.4,
19,139.96347930961528,0.32170764,,,,,,,,,,,275934.75,485314.2,419531.44,516409.72,618530.4,440685.0,
659,139.98793808659892,10.360934,,,,33,,,,,,,2.6880322E7,2.7495566E7,2.7274766E7,2.8079198E7,2.7945794E7,2.8081468E7,
382,139.98801569580746,7.660521,,,,,,,,,,,2543228.8,2637432.5,2582535.2,3278524.0,3265720.2,1.2996431E7,
620,140.06825542864217,10.247159,,,,,,,,,,,659295.6,560391.5,596098.6,469525.56,479883.2,540071.4,
437,140.06831489627174,7.8205447,,,,,,,,,,,215055.75,387615.97,402318.38,740097.3,486468.94,267679.9,
424,140.06832352536796,7.785341,,,,17,,,,,,,367544.5,283632.8,292648.78,410917.0,397801.88,832636.56,
42,140.0683294284049,2.6565669,,,,,,,,,,,38055.438,29201.422,96202.87,72971.42,41574.734,117258.64,
40,140.0683317042169,2.4628465,,,,,,,,,,,43240.918,86922.38,86683.18,116857.16,64039.555,54247.55,
321,140.06833391877714,7.3798976,,,,2,,,,,,,415988.38,469224.88,470809.44,487098.97,599722.25,631761.5,
67,140.06833925849364,3.75407,,,,,,,,,,,70989.58,104845.33,104798.42,12399.139,80919.14,102874.13,
632,141.9585918603788,10.32312,,,,33,,,,,,,1692146.6,1927378.2,1755625.9,2362461.5,2186954.0,1950959.4,
2,141.95876458435222,0.035048675,,,,0,,,,,,,1.1490568E7,8401688.0,1.0876501E7,1.1115042E7,1.133265E7,1.1278346E7,
15,141.95878298530818,0.32171664,,,,25,,,,,,,8587854.0,1.4746755E7,5522232.0,1.2885405E7,1.0902581E7,9960856.0,
660,141.98338371221357,10.361808,,,,33,,,,,,,1.036238E7,1.0441034E7,1.0472705E7,1.073239E7,1.0696326E7,1.0776149E7,
341,141.9834837576708,7.58262,,,,,,,,,,,1038046.25,1095956.6,1084985.5,1309404.9,4982361.0,5199719.5,
12,143.95915867916636,0.3208153,,,,,,,,,,,283899.4,490633.8,840383.1,430137.56,540726.5,716585.0,
1,143.9591805781158,0.034154247,,,,,,,,,,,221170.83,91169.72,248489.75,138801.95,175272.12,268872.2,
666,143.98092834011342,10.366155,,,,33,,,,,,,1370528.0,1370583.1,1361345.8,1375686.1,1334982.4,1308968.9,
687,144.98216480603494,10.384213,,,,33,,,,,,,3028622.8,3566643.0,3571936.5,3689071.2,3509850.8,3536133.5,
599,144.98224003082933,10.175239,,,,12,,,,,,,2.1425664E7,7507640.0,1.5264123E7,1.074369E7,1.0874472E7,1.1063982E7,
722,145.03533020466378,10.944561,,,,52,,,,,,,9211714.0,9413920.0,9322635.0,9731368.0,1.0205545E7,1.0083215E7,
598,146.98036504802354,10.172206,,,,12,,,,,,,9715590.0,3439236.0,3229767.8,4809484.0,4863132.0,4916628.5,
721,147.03095494867225,10.84909,,,,,,,,,,,5561993.0,5764449.0,5763578.5,6175447.0,6201241.0,6319784.0,
170,147.08053297801538,5.8293595,,,,22,,,,,,,233216.47,295731.25,255060.53,196101.42,255896.47,198869.75,
196,147.0805712445526,6.102368,,,,34,,,,,,,2.0449328E7,3.37832E7,2.2549684E7,1.7123622E7,2.8265336E7,1.6894916E7,
194,148.08381277844254,6.103246,,,,,,,,,,,2128045.2,3483126.0,2358328.0,1854034.1,2926902.5,1824293.0,
649,152.99495576697112,10.337696,,,,33,,,,,,,1670331.0,1759399.0,1536843.1,1948031.1,1823217.4,1734858.5,
695,154.00500553646302,10.476415,,,,40,,,,,,,2444328.2,2515498.2,2517970.5,2603580.0,1719035.4,1781846.1,
36,154.05002288792227,1.7487322,,,,19,,,,,,,1111081.8,1008220.44,2011934.6,1551443.5,1733386.6,1729135.0,
646,154.99024068835485,10.33172,,,,33,,,,,,,2.7373912E7,3.06347E7,2.9119792E7,4.237377E7,3.0310428E7,2.8200082E7,
679,156.99067626212135,10.372266,,,,33,,,,,,,7797681.0,7892164.0,7868386.5,7512712.5,7293972.0,7575711.5,
613,158.9641359897953,10.224485,,,,10,,,,,,,2624077.2,1906315.6,1869687.1,2227177.2,2195454.5,2468912.8,
682,158.98609917031078,10.374885,,,,33,,,,,,,3042893.8,3095836.5,3145120.2,2910008.2,2895210.0,2980517.5,
3,159.96926165585697,0.03505076,,,,0,,,,,,,4641526.5,4326045.5,4479709.5,4272817.0,4229425.5,4057471.0,
13,159.96929571836236,0.31899622,,,,25,,,,,,,4084891.5,4295066.0,5161697.0,3920852.5,4937826.5,5263457.0,
635,163.99054471828296,10.320596,,,,33,,,,,,,3112184.2,3114640.2,2318191.0,3922760.5,3875387.5,3695564.5,
192,165.09116719184735,6.1014767,,,,34,,,,,,,1058426.0,1798361.6,1163049.0,872528.2,1496671.2,870800.4,
689,165.98297330858153,10.399815,,,,33,,,,,,,2994280.8,2999492.8,2786776.0,2712434.2,2174310.8,1957816.0,
697,167.01286782929412,10.477255,,,,40,,,,,,,4.358381E7,4.570683E7,4.469897E7,4.647389E7,4.6232004E7,4.676533E7,
694,168.01614850003526,10.474632,,,,40,,,,,,,2303669.5,2426957.2,2340229.5,2253449.5,2420149.2,2484705.8,
634,169.97732091449916,10.320594,,,,33,,,,,,,2090951.4,2523196.0,2717459.5,3042200.8,3094677.0,3257112.8,
718,169.97738494780492,10.8116455,,,,,,,,,,,1595577.0,4723972.0,1162215.4,6529577.5,6443678.5,6239907.5,
50,171.0992819837214,2.8620803,,,,,,,,,,,498830.28,483364.94,267178.84,3044938.8,2923658.5,3133109.0,
723,171.99301863509564,10.958856,,,,52,,,,,,,5334411.0,5685771.0,5775479.0,7903379.5,7997820.0,7887862.5,
54,172.133339457563,3.189457,,,,56,,,,,,,1050209.2,1000862.06,1013033.6,1304783.0,1333331.2,1363228.0,
637,172.95638237812327,10.323129,,,,33,,,,,,,7769538.0,7586959.5,7882801.0,3162479.5,3051563.2,3003839.5,
444,172.95650070860833,7.8750863,,,,,,,,,,,1643848.0,1877079.8,1681557.0,573301.44,1011521.94,1358829.2,
291,172.9565172327615,7.371832,,,,,,,,,,,1251594.9,1366001.9,1455672.6,568838.0,565937.06,459138.34,
25,172.9772117687295,0.39301965,,,,5,,,,,,,1454416.0,1540978.1,1527799.4,1616540.4,1725366.0,1623837.1,
720,173.03024517368604,10.817348,,,,,,,,,,,861156.75,257252.98,524427.7,1123348.2,2723563.0,2639179.2,
703,174.9533590802199,10.453855,,,,,,,,,,,229216.58,522743.88,551694.9,643777.0,412886.72,880197.1,
631,174.95336618080273,10.318745,,,,33,,,,,,,1219012.0,1189366.0,1864198.0,623752.9,706260.3,568042.1,
681,174.95682723864886,10.372274,,,,33,,,,,,,2511086.8,2453941.5,2466169.5,1513069.0,1015959.9,1501609.0,
4,176.98459135143455,0.0359504,,,,0,,,,,,,1047339.4,1022336.06,1035003.7,1123927.4,1188661.1,1180948.2,
14,176.98460986825296,0.31990275,,,,25,,,,,,,913744.7,933284.5,407455.72,1094208.4,1101958.8,1086530.0,
663,181.01444457830135,10.363668,,,,33,,,,,,,4991951.5,5250397.0,5315389.0,5482526.5,5436511.0,5561825.0,
346,181.01455464104754,7.625099,,,,,,,,,,,630498.9,677295.2,670475.0,790608.9,2927654.8,842438.44,
383,181.0145608296165,7.668562,,,,,,,,,,,591452.06,616594.06,512374.88,803255.6,792821.5,2881598.0,
633,182.98519535682553,10.319613,,,,33,,,,,,,1.8995584E7,1.9318986E7,1.9853678E7,2.6823254E7,2.3707546E7,2.602357E7,
661,183.0098500801861,10.362582,,,,33,,,,,,,1869142.9,1992402.0,1988661.4,2073699.1,2053054.2,2111433.2,
51,183.0918292882079,2.8813102,,,,,,,,,,,117735.86,237163.77,77984.47,536107.4,190036.31,409976.2,
713,184.00299863131022,10.551525,,,,35,,,,,,,6884058.5,6825015.0,6564892.0,6807015.0,7336850.5,7405777.5,
652,184.98553792631614,10.356618,,,,33,,,,,,,8216978.5,8208764.0,8527034.0,9326820.0,9321038.0,9403316.0,
658,186.9809707004631,10.360191,,,,33,,,,,,,3141608.2,3197577.0,3281207.2,3621473.0,3611561.0,3650632.2,
23,186.98107504886264,0.32260898,,,,,,,,,,,177004.67,146788.0,190878.4,181117.28,237273.34,198079.8,
62,194.115315872963,3.6052115,,,,,,,,,,,398448.2,245068.44,265519.84,617578.0,447898.88,137854.31,
55,194.11536760252045,3.1903646,,,,56,,,,,,,5550690.0,5608868.5,5752086.5,7777818.5,7827011.5,8537174.0,
148,195.10173115453256,5.6126823,,,,16,,,,,,,763165.75,753661.0,792258.3,844438.6,858922.9,851970.4,
647,196.01678851844554,10.332596,,,,33,,,,,,,1588109.5,1538541.5,1608647.9,1794750.8,1760451.1,1721610.5,
724,199.9882998670714,10.944959,,,,,,,,,,,650848.8,725073.25,736474.3,4250710.0,589599.56,719940.4,
719,199.98831514228812,10.839864,,,,,,,,,,,629073.4,454933.7,869961.0,1370863.9,4211248.0,4204643.0,
63,201.0597208713001,3.6543417,,,,,,,,,,,183206.77,150574.69,383144.03,258930.94,278212.66,292876.25,
711,201.97573741290535,10.530633,,,,35,,,,,,,894870.0,910274.3,944537.5,987605.6,979463.1,979726.25,
545,201.9757707762179,8.688804,,,,,,,,,,,1050704.6,1094939.9,1111101.2,204113.45,473657.53,473974.62,
28,202.18028446466315,0.70543504,,,,,,,,,,,183787.23,221008.98,170202.81,137873.45,259087.16,174077.17,
24,202.1802958423087,0.3856934,,,,,,,,,,,828940.25,965623.06,840620.8,635597.5,1014054.4,834572.56,
125,203.06211443603505,5.279208,,,,,,,,,,,368459.94,289328.8,399944.6,347525.6,296673.56,351524.22,
79,203.06214336404742,3.9062512,,,,,,,,,,,159196.42,175056.88,221874.0,124513.445,134922.25,121999.305,
628,205.01715293994184,10.317088,,,,33,,,,,,,6009908.0,6269994.5,6322871.5,7740656.5,7530854.0,7330563.0,
655,207.0175239388383,10.359188,,,,33,,,,,,,5736909.5,5852630.0,5721414.5,5981586.5,5933399.5,5849444.5,
692,208.0393497424432,10.507012,,,,40,,,,,,,2781455.0,2890163.0,2846321.0,3070718.5,3170316.8,3267327.0,
656,209.01293918231985,10.359303,,,,33,,,,,,,2168588.8,2227056.2,2182367.2,2258391.5,2249989.2,2227259.2,
377,209.15373459609154,7.6983027,,,,,,,,,,,277187.0,152293.45,204981.88,312274.53,277529.34,262414.1,
158,211.07550166546528,5.674928,,,,3,,,,,,,1131671.8,1541299.8,1620104.2,1977934.9,1714165.6,1785338.2,
98,211.97073659432377,4.687985,,,,23,,,,,,,3885960.8,4098365.8,4073209.0,4630446.0,4471622.5,4740480.5,
56,212.12587217760938,3.1966817,,,,56,,,,,,,559439.1,544050.7,556927.3,875725.5,868021.2,906974.06,
627,213.98284071993962,10.316997,,,,33,,,,,,,2954334.5,3004029.2,2121385.2,1317029.6,1267159.1,1190997.6,
539,213.98296995488712,8.572976,,,,,,,,,,,1994470.4,1185502.4,997182.8,394211.1,363343.1,323456.94,
442,213.98303412429803,7.8741913,,,,45,,,,,,,1919399.9,996003.0,1473685.1,310708.44,591384.75,660472.1,
680,215.98380104169533,10.372264,,,,33,,,,,,,1490980.4,1538013.6,1537714.2,916615.94,689692.56,954676.2,
607,216.92280595085322,10.200023,,,,10,,,,,,,3525483.2,2452230.2,1746166.8,1174321.4,1222931.2,1236715.0,
39,217.10476339024333,2.2447584,,,,,,,,,,,873157.44,1119584.6,874888.25,1026339.5,1504943.8,1092454.6,
46,217.10715579311386,2.7965794,,,,,,,,,,,302399.5,251867.11,562677.25,286985.34,343921.38,327410.6,
57,217.10721371234604,3.3512552,,,,,,,,,,,87067.195,85421.49,84089.23,548841.3,75033.69,105323.74,
64,217.10721760280543,3.6552467,,,,,,,,,,,123977.27,96024.46,165238.33,164127.44,161047.06,184605.64,
72,217.10725877392193,3.8457005,,,,,,,,,,,77007.41,56348.49,150358.2,88610.19,98023.766,88458.91,
207,219.0570818894677,6.1050034,,,,34,,,,,,,647338.25,1139331.4,737153.9,614716.3,1056672.5,624370.56,
59,219.0571180021634,3.5249445,,,,,,,,,,,472468.16,704063.7,571939.8,483935.28,690032.25,437673.16,
227,220.11225716810995,6.3064322,,,,47,,,,,,,1028722.6,1579625.2,1622712.4,1760020.1,1577797.0,2011434.8,
412,221.17521725767855,7.7733636,,,,17,,,,,,,611463.44,323904.6,499227.66,695279.9,643887.5,691542.2,
81,222.146541520409,4.0566077,,,,,,,,,,,555436.4,555364.0,546055.1,832544.56,830348.8,828250.0,
626,223.98831600908127,10.3137665,,,,33,,,,,,,4378309.0,4126823.8,4118898.0,4725995.0,4605431.0,4693165.0,
466,223.98849748249776,7.872412,,,,45,,,,,,,1027189.06,1079805.1,1054398.8,4598059.0,4161580.0,4602583.5,
712,225.029472830455,10.5428505,,,,35,,,,,,,2080563.0,2297900.0,2227100.2,2388731.0,2360301.0,2413138.0,
154,225.09112362838718,5.674023,,,,3,,,,,,,1899133.2,2506728.2,2575933.2,3234483.5,2747635.5,2953505.8,
86,226.18021710235112,4.375527,,,,60,,,,,,,138396.81,117282.11,127039.375,130745.31,135156.62,565732.94,
366,226.18024214436028,7.6956134,,,,38,,,,,,,1075306.4,582207.6,849377.25,1231458.8,1147427.2,1070339.0,
413,226.1802680614152,7.7733636,,,,17,,,,,,,875251.06,477243.1,677584.6,921990.8,838484.1,888538.5,
584,226.95151770051027,9.937906,,,,,,,,,,,1305106.5,2297287.8,2240422.0,2881098.8,2676401.8,3182362.0,
616,226.95151849116982,10.229063,,,,10,,,,,,,7775669.0,3827481.2,3718035.5,5026028.5,5291388.5,5223256.5,
303,226.95160441293606,7.3736305,,,,2,,,,,,,274489.72,291421.03,350634.5,426963.75,407778.0,503434.25,
111,228.1959442801692,4.8171988,,,,43,,,,,,,216914.27,135601.77,210690.34,252704.97,243891.95,256804.02,
414,228.19595653527722,7.7733636,,,,17,,,,,,,1119824.1,617810.2,886804.6,1160408.6,1077883.0,1155178.1,
244,228.23233151471837,6.6491475,,,,54,,,,,,,358535.2,374012.6,393750.88,1096238.4,1053884.2,1060698.8,
100,229.98133134975694,4.687985,,,,23,,,,,,,8713632.0,9201769.0,9118387.0,1.035607E7,1.0113302E7,1.0770813E7,
97,230.9845531314422,4.68887,,,,23,,,,,,,722326.3,755746.25,758790.56,853142.7,825372.56,895043.3,
101,231.9791433568233,4.687985,,,,23,,,,,,,8553489.0,9007000.0,8944106.0,1.0153581E7,9898453.0,1.0570108E7,
102,232.9823701305135,4.6888776,,,,23,,,,,,,706129.5,762901.06,750166.3,847629.9,822176.1,886933.5,
60,233.07266984948504,3.5575504,,,,65,,,,,,,111962.734,61915.23,174515.22,125419.484,85440.67,113879.164,
83,233.0726760619791,4.365589,,,,55,,,,,,,430908.72,316282.84,681919.6,485255.66,366071.8,475339.25,
197,235.07127422240842,6.102365,,,,34,,,,,,,478825.16,755374.6,515278.03,525111.4,833194.44,517618.28,
95,236.08060513298858,4.546433,,,,51,,,,,,,2251770.5,2062183.1,3239293.5,2787060.5,3058554.5,2508538.0,
88,236.16213738934016,4.4471526,,,,,,,,,,,82167.91,66461.484,77752.49,112399.64,105930.02,136219.58,
416,236.162168725614,7.774256,,,,17,,,,,,,597995.0,325925.53,469060.94,688071.9,652541.2,676709.94,
256,237.22138664754888,6.9764085,,,,59,,,,,,,64129.83,143574.7,192841.34,141957.25,139964.58,186117.97,
302,237.22139713197387,7.373623,,,,2,,,,,,,859413.0,1070492.8,1270616.2,1131864.0,1115253.0,1381933.1,
58,239.08905239619935,3.353062,,,,,,,,,,,585025.5,621064.56,785703.9,4610681.0,928668.56,1139497.1,
96,244.06677624846012,4.5499806,,,,,,,,,,,392515.88,343792.88,535368.5,335602.22,372972.3,290910.62,
200,244.07663746770103,6.103246,,,,34,,,,,,,497848.2,913132.8,605505.1,563725.2,958856.75,561326.7,
368,244.19077401626953,7.6956134,,,,38,,,,,,,169952.47,81834.85,128611.09,191020.23,167548.19,163287.77,
87,244.19078475462598,4.37462,,,,60,,,,,,,51615.07,45961.19,52564.145,51876.01,53871.707,279488.75,
415,244.19082126629607,7.7733636,,,,17,,,,,,,658246.4,340914.88,528462.7,697307.2,639708.6,683040.25,
75,245.08590787730782,3.8466003,,,,20,,,,,,,520364.78,465661.06,900811.2,617138.75,689507.7,623695.56,
105,247.08831253785584,4.703092,,,,58,,,,,,,456514.1,474250.84,599881.7,446796.22,441109.78,446107.88,
371,250.17776676114374,7.696508,,,,38,,,,,,,436824.75,257014.73,324802.44,446032.34,414573.16,395238.1,
525,250.17778384296895,8.353213,,,,,,,,,,,225416.72,282392.97,223699.14,0,111776.74,64125.895,
112,250.1778012693983,4.8199134,,,,43,,,,,,,560718.4,393789.3,574866.4,674021.56,669268.9,699783.75,
418,250.17782750911235,7.774256,,,,17,,,,,,,1942089.2,1096949.4,1587470.6,2132787.8,2018340.6,2078686.2,
84,255.05454880168995,4.3646903,,,,55,,,,,,,429370.25,324965.4,696547.7,725520.6,554453.7,719616.3,
61,255.0545537522912,3.559371,,,,65,,,,,,,103437.08,40652.473,154486.44,168768.94,112831.92,151675.98,
255,255.23190320977173,6.9764047,,,,59,,,,,,,106372.5,163349.73,220949.2,144259.6,136306.88,238299.73,
316,255.2319533336972,7.37542,,,,2,,,,,,,1208793.4,1477349.6,1789242.0,1586878.4,1576851.0,1950357.8,
226,255.24315131055377,6.301966,,,,47,,,,,,,816054.1,1000481.7,987189.6,1269649.1,997261.7,1206419.5,
201,255.58458154656327,6.103247,,,,34,,,,,,,744731.94,1270634.2,886366.75,851155.25,1435232.2,884254.56,
279,256.2635224623463,7.290423,,,,,,,,,,,294529.97,274400.44,275916.84,247251.72,662432.94,387803.0,
129,256.2999133853522,5.418255,,,,13,,,,,,,1.1307937E7,1.1312143E7,1.1063268E7,4290950.0,4146500.5,4064173.2,
47,257.099518713898,2.7993162,,,,,,,,,,,635531.0,551323.1,1194898.0,857233.75,945464.0,860893.2,
131,264.09214033464264,5.42816,,,,13,,,,,,,458984.72,392724.38,472174.56,588490.3,524777.0,564767.6,
330,265.2526051689008,7.515337,,,,30,,,,,,,119325.67,172764.45,186790.73,118644.07,122475.016,150856.34,
459,265.2527062846793,7.8759766,,,,45,,,,,,,550402.7,593038.0,659578.25,559240.75,578061.94,601321.9,
85,266.17266549414904,4.37462,,,,60,,,,,,,88478.78,83416.31,90807.68,100561.09,101501.555,448373.1,
369,266.17267620467516,7.6956134,,,,38,,,,,,,164987.2,89703.375,128692.23,201476.36,193041.5,177560.75,
420,266.17273223460126,7.7751393,,,,17,,,,,,,955077.4,537600.0,786402.1,1112046.6,1034653.7,1074660.5,
106,269.07019338724695,4.7057767,,,,58,,,,,,,414863.53,436035.22,552757.1,546722.44,546971.0,558046.2,
114,270.14647179933473,4.852272,,,,,,,,,,,496937.72,353035.2,666895.4,669120.56,518940.3,682790.25,
45,272.18554269723535,2.748649,,,,,,,,,,,457010.9,316054.78,286595.44,96813.5,545248.56,287876.5,
