"","filter","2024_POS_Anid-EV-SA-OA_CTRL_1_Run173.mzML","2024_POS_Anid-EV-SA-OA_CTRL_2_Run217.mzML","2024_POS_Anid-EV-SA-OA_CTRL_3_Run244.mzML","2024_POS_Anid-SA-OA_1_Run170.mzML","2024_POS_Anid-SA-OA_2_Run191.mzML","2024_POS_Anid-SA-OA_3_Run235.mzML"
"666/95.0491mz/2.35min",125372.42,134748.72,680719.25,80992.91,226008.36,24488.918,115996.12
"667/434.1918mz/2.32min",140768.17,188568.03,11357.822,56789.11,92968.31,548079.44,482969.06
"668/190.0861mz/2.32min",279555.835,1383168.9,619486,255339.11,303772.56,39218.965,212443.36
"669/298.0896mz/2.32min",254750.24,402806.72,353708.12,301457.84,178507.75,86813.336,208042.64
"670/197.0444mz/2.33min",201437.145,176794.06,440747.28,5243.292,146432.48,226080.23,293950.97
"671/113.0596mz/2.33min",25859929,32762440,86933430,23443898,28275960,10375330,15372047
"673/276.1076mz/2.33min",1060414.6,1661748.1,1453188.9,1299959.5,685098.3,356783.6,820869.7
"674/269.1125mz/2.33min",437297.28,170267.44,504684.44,369910.12,558160.7,304828.06,507400
"676/213.0756mz/2.33min",378631.64,230591.33,434159,297162.38,1535008.6,391234.12,366029.16
"680/233.0444mz/2.34min",61351.595,21909.45,4381.89,74944.92,109756.57,147124.25,47758.27
"681/244.2011mz/2.38min",398762.825,166555.02,335086.03,462439.62,254415.19,712081.56,503098.84
"682/284.1105mz/2.34min",258379.29,293878.53,174615.95,260989.78,365822.47,172800.03,255768.8
"685/231.1703mz/2.37min",268968.585,238306.44,376573.4,411429.66,297401.75,240535.42,190127.86
"686/262.1284mz/2.34min",1609888,1775301.4,1706056.1,1489399.2,1727892.2,838959.75,1513719.9
"687/131.0702mz/2.34min",694504.22,658869.94,947659.4,730138.5,936397.94,446168.06,533119.44
"692/240.0863mz/2.36min",462080.64,310526.97,531490.25,430313.4,190303.56,522455.34,493847.88
"693/220.1183mz/2.31min",146455.605,180914.72,134170.9,75265.195,249480.9,158740.31,93264.07
"694/319.1284mz/2.36min",19689.3915,20479.865,6183.2144,521274.6,3460.621,18898.918,22358.521
"695/202.1073mz/2.37min",654626.53,1060676.2,1047143.75,686316.5,622936.56,487986.84,604466.2
"697/263.1202mz/2.38min",242251.42,492030.75,324544.1,241548.84,131272.36,215786.95,242954
"699/131.0532mz/2.38min",594938.15,1140296.5,968931.7,638760.7,325974.78,445871.8,551115.6
"700/201.0702mz/2.37min",325302.5,439468.75,390497.3,341267.12,84059.64,155455.14,309337.88
"701/563.1821mz/2.37min",494842.78,198671.47,130996.92,518524.53,471161.03,537395.94,529118.3
"706/559.2104mz/2.38min",486867.455,804501.9,722674.06,451740.25,237643.67,345239.6,521994.66
"711/130.0498mz/2.38min",11847684.5,22680008,18630992,11997887,8336450,8816023,11697482
"712/298.0686mz/2.38min",1200604.85,1846905.9,1748740.1,1193543.5,1016399.2,1092485.8,1207666.2
"713/278.1233mz/2.38min",6527923.75,11098674,10406904,6499758,4145095,4844288,6556089.5
"715/282.0947mz/2.38min",16123537.5,25374182,21475758,16059494,14315933,13841701,16187581
"716/148.0604mz/2.38min",4991597,9625063,7910764,4957936,3527468.2,3539715.5,5025258
"717/242.1023mz/2.38min",1810570.45,3373333.5,2830393.5,1771802.9,1251281.8,1355801.4,1849338
"718/300.1049mz/2.38min",360477.64,644827.1,596594,322404.88,315835.66,313019.06,398550.4
"721/541.2mz/2.38min",11474842.5,16223132,15190311,11283496,7879636.5,9536739,11666189
"722/260.1129mz/2.38min",204139665,347705900,323065600,203738290,131919450,153223620,204541040
"723/262.1178mz/2.38min",2985969.85,5042956.5,4874595,3006909.5,1883251.2,2293870.8,2965030.2
"724/187.1076mz/2.38min",235235.375,178798.67,122299.3,240288.89,436750,261896.55,230181.86
"726/257.1492mz/2.39min",187666.465,283300,225042.73,60994.062,491929.97,65052.434,150290.2
"727/261.1162mz/2.38min",24940358,42103870,39727028,24767104,16250151,18614400,25113612
"728/572.1292mz/2.38min",410494.39,653358.75,611662.44,244301.73,418945.72,384950.28,402043.06
"730/279.1268mz/2.38min",784115.525,1300825.4,1232060.8,790434.75,475929.3,596562.75,777796.3
"732/831.2347mz/2.38min",289733.705,609378.3,611469.9,287758.47,210914.22,270360.97,291708.94
"734/543.2056mz/2.38min",515352.28,703875.25,741843.06,504508.16,289982.22,430013.62,526196.4
"735/557.1705mz/2.38min",287953.78,353537,373744.06,275297.16,205925.86,300610.4,252758.17
"736/200.062mz/2.38min",216459.525,313844.97,127803.81,231662.97,158344.64,219837.11,213081.94
"737/283.0981mz/2.38min",1956045.85,3165613.8,2392076.8,1957766.8,1737393.4,1684667.1,1954324.9
"740/176.0706mz/2.39min",448329.74,542601.7,4053.9242,4745909,20269.621,596533.8,354057.78
"741/167.0703mz/2.39min",193462.06,183319.14,31927.412,313550.75,18289.098,213730.2,203604.98
"742/195.1127mz/2.4min",766190.65,717113.1,881308.06,734218.3,1165829.6,798163,671139.56
"745/232.1181mz/2.4min",239215.555,393325.44,307988.3,178518.58,252318.61,92219.77,226112.5
"746/146.06mz/2.41min",272359.53,126960.06,514000.03,274084.5,218900.81,291163.3,270634.56
"749/218.1388mz/2.41min",420673.35,499086.38,382720.8,458625.9,663945.06,235542.3,318293.66
"750/206.0809mz/2.39min",87283.9675,26557.713,66196.875,134473.88,35466.508,200371.72,108371.06
"752/140.1434mz/2.41min",371220.49,378021,302551.6,378156.97,329957.28,364775.88,377665.1
"756/336.1916mz/2.41min",190863.41,355531.22,437877.44,26195.6,375717.88,3426.2659,25483.18
"757/299.16mz/2.51min",4701.6042,7836.007,495067.22,1567.2014,41264.816,1567.2014,1567.2014
"759/238.1072mz/2.42min",344081.815,720651.3,360568.6,327595.03,210451.5,185336.9,570881.9
"760/244.2012mz/2.42min",853018.25,670797.25,766923.6,919205.44,867710.25,1032165.56,838326.25
"761/394.1967mz/2.42min",93611.49,170319.25,325082.62,9140.271,220655.38,10454.887,16903.73
"762/225.0757mz/2.42min",116723.525,514949.7,550485.75,65864.6,100826,6266.1826,132621.05
"764/418.1971mz/2.43min",66105875,70774610,60192692,61437140,52799176,71128050,71242150
"774/420.2029mz/2.43min",2384911.9,2599933.5,2134850,2207474,1867065.5,2596562,2562349.8
"775/195.0653mz/2.42min",74414.2375,61908.145,12130.465,163414.06,21955.102,129736.73,86920.33
"776/287.1601mz/2.44min",379097.515,786739.3,366624.75,387074.03,639858.06,284987.22,371121
"777/298.0968mz/2.45min",1930171.55,1888167.2,2198528.8,1894921.2,1761351.4,2143856.8,1965421.9
"779/230.1024mz/2.41min",57170.1775,59092.5,225077.83,24814.219,48812.207,55247.855,60073.812
"780/206.0448mz/2.45min",291231.595,136172.77,521162.12,356807.2,271382.16,311081.03,252694.64
"782/231.1703mz/2.45min",968752.875,1095412,694651.8,1121863,1210280.2,842093.75,772804.1
"785/449.2122mz/2.45min",175448.46,164254.7,22335.538,313745.47,242517.3,111677.69,186642.22
"789/190.0498mz/2.46min",896977.81,1152451,779668.56,1014287.06,2227991.8,745868.1,652998.94
"793/296.1352mz/2.46min",270243.26,222214.7,316321.22,291635.38,511978.66,248851.14,212709.47
"794/246.1335mz/2.47min",175437.45,177520.88,173354.02,218618.83,259708.9,101053.48,130801.45
"795/229.1546mz/2.47min",1943357.5,2134055,1947920,1938795,2326635.2,799137.2,1627185.1
"796/252.0866mz/2.47min",62557.3415,253460.95,96126.92,64538.133,60576.55,43337.312,47060.562
"798/234.1125mz/2.46min",153698.075,500268.66,219626.98,552643.8,76955.57,61128.89,87769.17
"800/283.1264mz/2.47min",762173.65,778112,1161511.6,635952,1052837.9,523357.06,746235.3
"801/262.1476mz/2.47min",273723.2,271433.1,475133.66,224088.47,347113.94,183407.33,276013.3
"803/261.1444mz/2.48min",2387752.6,2416199,3979229.8,1872664.4,2989383.2,1540180.2,2359306.2
"804/262.1284mz/2.48min",1327937.75,1660292.9,1631884.8,1492825.4,921233.9,895524.2,1163050.1
"807/165.0546mz/2.48min",297530.59,455595.22,300714.84,328846.06,294346.34,156072.53,255987.44
"808/114.0913mz/2.48min",1231741.35,1138116.4,1470117.2,1194377.8,1269104.9,1279583.8,1085827.8
"810/254.1003mz/2.49min",116155.635,132427.08,109631.94,157512.8,116705.95,115605.32,95421.33
"812/214.1073mz/2.49min",547570.17,749168.7,713527.06,508485.5,547404.4,485806.06,547735.94
"813/718.3361mz/2.49min",4941113.75,4629308.5,7714090,5479186.5,5252919,3956220.5,4281876
"814/740.318mz/2.49min",886214.68,817768.3,1202132.6,986010.7,954661.06,769184.56,754284.06
"815/244.118mz/2.51min",488862.19,1660193.1,392167.44,585556.94,236607.4,268988.84,927706.25
"820/210.076mz/2.5min",541368.1,689202.44,202011.94,543328.7,58215.66,539407.5,1021694.4
"821/372.1916mz/2.5min",399798.25,614530.94,618057.4,95123.76,443819.84,158333.33,355776.66
"824/465.2075mz/2.51min",145524.955,197354.89,407703.38,67797.875,202527.45,22232.236,93695.02
"825/459.2446mz/2.51min",526961.885,787048.2,181401.38,475166.97,145398.75,578756.8,617178
"826/184.0684mz/2.51min",1169900.27,1484069.6,1590893.8,1295934.6,164687.14,996804.6,1043865.94
"827/183.0651mz/2.51min",12222479.5,15614567,16288210,13637102,2004695,10293894,10807857
"829/205.0471mz/2.51min",774967.4,863685.56,872318.3,833279.9,233119.12,716654.9,611266.9
"831/463.1821mz/2.51min",297005.58,297005.58,297005.58,1485027.9,297005.58,297005.58,297005.58
"833/759.3206mz/2.51min",322190.765,340956.25,548131.75,276517.1,473865.06,295598.22,303425.28
"835/742.2932mz/2.52min",683176.82,798441.44,1091646.8,495898.06,1053238.5,551409.06,567912.2
"836/261.1308mz/2.52min",254928.28,204589.33,275804.94,251711.53,258145.03,352765.8,170853.67
"837/764.2757mz/2.52min",231854.755,250770.78,316639.2,199364.7,398123.56,212938.73,203763.52
"838/408.212mz/2.5min",132034,231434.95,144964,19118.947,332122.12,3732.233,119104
"839/239.1489mz/2.52min",478362.475,362705.12,529073.3,507210.2,449514.75,666583.9,393350.03
"840/263.1391mz/2.52min",388415.55,325900.8,314337.9,414596.38,436872.1,453412.12,362234.72
"843/141.0546mz/2.53min",12111560.5,13911031,12050201,11406988,20543244,11757436,12172920
"844/400.1534mz/2.52min",255614.45,72867.195,12815.443,770548.5,145454.3,966063.06,365774.6
"845/244.1543mz/2.53min",958309.12,1076220.8,1537741,595329.5,840397.44,637806.5,1092043.4
"846/245.1858mz/2.53min",116180.55,82317.44,163293.64,111877.16,136405.08,116969.07,115392.03
"848/142.058mz/2.53min",840440.175,963424.5,780395.3,807833.25,1400583.5,823078.75,857801.6
"849/196.0964mz/2.5min",26094.985,5381.176,34370.73,152235.38,23460.229,28352.156,23837.814
"851/413.1413mz/2.53min",205095.87,191516.14,289710.44,218675.6,344681.72,159605.7,150358.3
"855/330.1658mz/2.53min",171276.915,198521.97,313759.3,191460.14,111623.03,139309.52,151093.69
"858/244.2012mz/2.52min",280333.97,250147.38,264025.34,432830.84,289939.66,408867.84,270728.28
"861/320.1815mz/2.54min",546217.83,587814.44,1578427.9,392111.88,336849.62,521680.16,570755.5
"862/327.1527mz/2.54min",280444.39,277172.16,330646.34,283716.62,545400.5,176861.69,233033.44
"865/263.1026mz/2.54min",390635.025,299562.25,439472.8,27652.85,1261348.5,341797.25,476256.56
"866/305.1707mz/2.54min",1352202.25,1543946,1645643,1160458.5,2510450.5,685628.75,1088768.9
"867/231.1703mz/2.54min",1146612.7,1241361.8,988470.06,1170632.6,1241139.9,1122592.8,996815.44
"868/402.2021mz/2.54min",3359015.15,3477989.8,1476371.1,3240040.5,2083960.5,3795617.2,3597027
"870/184.1695mz/2.54min",292475.63,335351.4,299011.66,228655.33,206121.98,285939.6,316583.94
"871/403.2055mz/2.54min",756011.75,795154.06,306472.62,716869.44,464029.8,848033.6,809087
"872/309.1419mz/2.55min",792558.82,449422.03,742685.44,884812.3,1847925.1,842432.2,738844.56
"875/191.0897mz/2.56min",1193823.3,4436947,861854.2,7089939,273520.03,1398348.5,989298.1
"876/611.2893mz/2.56min",273657.27,158899.42,288249.94,245025.58,577473.75,294197.84,259064.6
"877/287.1601mz/2.56min",5449990.75,4250962.5,5882662,7510058,12145123,5017319.5,4905892
"878/476.241mz/2.57min",188863.75,176580.11,467806.16,415838.6,137661.39,201147.39,158535.62
"879/190.0862mz/2.56min",10465717.5,40793264,8026985,62768030,3603135.8,12150044,8781391
"881/492.2335mz/2.57min",275202.965,603392.4,83439.8,846606.06,47233.695,328816.66,221589.27
"882/341.1109mz/2.57min",671637.82,805279.7,898998.3,452629.2,810578.06,534303.8,537995.94
"885/627.2843mz/2.57min",3285776.15,4078600,4320564,2115584.2,3804000.5,2485178.2,2767551.8
"887/303.1551mz/2.57min",100062245,142529390,133002210,81723290,118281280,68371520,81843210
"888/475.2396mz/2.57min",950482.63,1329853.9,2760844,541417,1146416.2,535799.25,754549.06
"889/173.092mz/2.57min",3335737.1,4948233.5,4256815,2725901.2,3945573,2060104.4,2503030
"890/305.1603mz/2.57min",1704933.4,2526746.5,2337963.5,1430795.4,1979071.4,1216704.8,1422549.8
"891/304.1585mz/2.57min",14464113,20688616,19087870,11794129,17090786,9831423,11837440
"892/643.2506mz/2.57min",217546.745,290667.72,271587.8,158474.86,253763.39,139913.88,181330.1
"895/131.0814mz/2.57min",592281.7,885514.56,744462.44,455973.7,728589.7,357510.25,420872.84
"897/191.1025mz/2.57min",4548403.4,6734042.5,5858257,3543146.8,5553660,2798731.8,3426228.2
"898/605.3025mz/2.57min",458719.45,579759.7,838195.75,373856.72,508654.3,286264,408784.6
"899/325.1369mz/2.57min",11812554.5,14480259,13390562,8014613.5,13829967,9799483,10234547
"902/326.1404mz/2.57min",1585766.5,1875954.5,1889596.5,1125132,1811041,839159.5,1360492
"911/201.07mz/2.58min",200086.92,282265.66,317642.88,224566.64,175607.2,142357.36,145499.47
"916/304.1866mz/2.58min",148658.375,59304.848,457724.2,96629.28,34758.434,233067.84,200687.47
"918/248.1128mz/2.59min",2217632.25,4358436.5,3015837.2,2292652.5,1423075.6,1074606.6,2142612
"919/230.1024mz/2.59min",334449.985,658446.4,549895.9,361860.25,307039.72,70107.02,275995.6
"920/270.0947mz/2.6min",257931.915,586768.8,396184.6,290694.56,219966.58,111180,225169.27
"921/216.123mz/2.6min",5137317.25,6863709.5,6914675.5,4849136,5050541,4212498,5224093.5
"922/235.1077mz/2.6min",195199.845,230166.44,313661.56,160233.25,471590.25,158641.8,139044.83
"923/316.2119mz/2.6min",276465.795,380721.1,297205.75,255725.84,253264.52,212786.14,338540.1
"925/301.1392mz/2.55min",3972.5532,4907.2993,4666.0986,437824.62,3279.0078,655.80156,655.80156
"929/285.1444mz/2.61min",1614061.3,3024051.2,1440011.4,1839095.4,1634563.1,982342.9,1593559.5
"930/286.1478mz/2.61min",191932.71,406982.66,138480.5,218086.95,184203.53,102145.7,199661.89
"931/234.1335mz/2.61min",6610276.5,11005921,7314503,5732775.5,6233030,4633655.5,6987523
"932/307.1265mz/2.61min",191764.945,486098,217830.39,363811.78,157181.69,165699.5,137274.48
"933/235.1368mz/2.61min",695157.375,1152034.5,746470.6,617338.3,647480.5,483309.03,742834.25
"934/185.0808mz/2.61min",792133.69,886421.44,997732.06,1018204.56,401979.97,633027.7,697845.94
"936/238.1051mz/2.61min",935701.45,1076645,1130583,686003.06,970679.6,900723.3,441517.9
"937/469.2153mz/2.61min",196271.36,208640.55,288978.72,121393.71,191700.72,166258.31,200842
"938/343.1848mz/2.61min",202830.295,332557.03,167861.56,200678.2,468537.9,204982.39,180818.31
"939/342.1811mz/2.61min",1351096.4,1708435.1,959993.44,1072621.4,2441007.5,1038696.44,1629571.4
"940/283.1276mz/2.57min",5037.41995,3683.6602,4407.8936,720198.7,44972.5,736.73204,5666.9463
"942/256.1155mz/2.61min",1069914.05,1746055.9,1059491.5,913199.56,1080336.6,998854.56,1273705.6
"944/487.2266mz/2.62min",316047.97,485112.22,405136.88,222005.05,240653.45,252714.78,379381.16
"946/538.2366mz/2.62min",140984.835,308009.62,165402.5,144953.39,116683.79,65552.86,137016.28
"950/234.1225mz/2.62min",267640.08,618941.9,1031007.56,273408.8,210453.12,177088.34,261871.36
"951/270.0737mz/2.62min",215725.395,394077.1,733064.94,205862.6,178563.08,173814.84,225588.19
"953/214.1075mz/2.62min",103176.127,264684.44,374881.4,95105.77,94034.3,76858.25,111246.484
"956/120.0655mz/2.62min",2564577.9,5762876,8263980.5,2587780.8,2215939,1697700.8,2541375
"957/232.1179mz/2.62min",30019482,64188428,103268680,30822800,24376830,20352762,29216164
"958/102.0549mz/2.62min",531240.75,1066798.9,1420135.1,536951.56,472025.28,364187.78,525529.94
"960/254.0999mz/2.63min",5249991.5,9434207,13629735,5052353,4308557,4604856.5,5447630
"961/485.2103mz/2.63min",1226436.65,2483956.2,4911486.5,1119812.1,884758.25,1021026.3,1333061.2
"965/164.0706mz/2.67min",639.2851,639.2851,639.2851,1893830.4,639.2851,639.2851,3196.4255
"966/323.1212mz/2.63min",122575.34,122575.34,122575.34,612876.7,122575.34,122575.34,122575.34
"967/255.1033mz/2.63min",529066.9,995894.56,1410576.1,499331.8,415472.03,459866.38,558802
"969/318.1811mz/2.64min",95460.73,39316.254,38057.754,135825.62,344712.03,79352.95,111568.51
"974/244.1179mz/2.62min",656484.35,733078.2,579890.5,2470898.8,116133.89,52118.555,2116633.5
"975/771.2471mz/2.63min",649285.15,878122,698771.2,196573.31,708895.75,116706.625,599799.1
"976/788.2737mz/2.63min",285731.27,343739.1,315012.06,46002.152,278660.16,47369.92,292802.38
"977/292.1178mz/2.66min",28168.387,40757.855,8649.4,300263.8,32488.965,23847.809,17852.719
"980/247.1732mz/2.65min",773741.15,869053.6,958446.8,740264.3,807218,372727.97,551973.6
"981/246.1699mz/2.65min",6518226.5,6806179,7321835.5,8156723,6230274,3024136.8,4295173.5
"982/338.1233mz/2.65min",69346.255,57632.42,35818.39,81060.09,4526.6025,192151.84,97617.84
"985/195.0652mz/2.65min",4234389.35,4676872.5,1440974,5551289.5,1584900.9,4412131.5,4056647.2
