row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,POS_TJGI2pt1_EV_gpdA_CTRL_3_Run194.mzML Peak area,POS_TJGI2pt1_EV_gpdA_CTRL_2_Run143.mzML Peak area,POS_TJGIp7_3_Run155.mzML Peak area,POS_TJGIp7_2_Run140.mzML Peak area,POS_TJGIp7_1_Run16.mzML Peak area,POS_TJGI2pt1_EV_gpdA_CTRL_1_Run13.mzML Peak area,
417,103.07535251592309,3.083888,,,,160,,,,,,,2013739.2,1977390.1,1932034.2,2246895.0,2182814.8,1985031.4,
336,103.09465610735937,2.4823444,,,,,,,,,,,268980.75,246678.53,199565.83,575929.2,168559.02,460195.47,
6805,104.03012876524224,10.571954,,,,232,,,,,,,1864478.5,1795491.4,1820398.5,1788807.5,672702.6,182343.34,
28,104.10692800689667,0.35884503,,,,33,,,,,,,1.5009112E7,1.2645378E7,1.3427308E7,1.393647E7,1.0952692E7,2.012232E7,
5,104.10696682485013,0.14168648,,,,,,,,,,,601453.44,578215.5,469243.62,208577.16,246275.89,20272.943,
213,104.10697518301232,1.0295007,,,,,,,,,,,1383505.8,324723.53,403934.06,1245818.2,102596.25,94554.82,
288,104.10700495919355,1.9249417,,,,,,,,,,,555454.75,469133.16,390473.2,591003.75,108284.06,126538.47,
259,104.10701182737792,1.586277,,,,,,,,,,,666449.5,171937.0,461846.25,302423.1,83858.05,174423.78,
485,105.06992628105559,3.4510777,,,,203,,,,,,,562311.5,554116.75,542147.5,633474.56,429555.62,334054.03,
1074,109.10107494128978,4.72994,,,,252,,,,,,,748056.94,577693.5,448283.56,805124.4,460611.5,328968.97,
433,109.10122539005305,3.1353157,,,,,,,,,,,648579.4,555626.56,500809.8,531550.75,640865.2,722184.4,
6774,109.5215135331872,10.45682,,,,,,,,,,,201259.03,403426.06,250963.31,419204.03,1580745.9,1398754.5,
9,110.00863739458785,0.315432,,,,,,,,,,,0,0,0,0,166957.98,248236.72,
6769,110.01995000956127,10.4407,,,,,,,,,,,2865058.2,4998742.0,1953312.2,1850679.0,1767180.1,1723502.0,
6861,110.01995674658741,10.796814,,,,,,,,,,,1145323.8,1274461.5,1139263.4,1258268.0,1.7971926E7,1.9023556E7,
6783,111.02011394905423,10.492274,,,,7,,,,,,,1.9081046E7,1.9126024E7,1.9945042E7,1.921819E7,2.3006026E7,2.1248524E7,
6814,111.03897813579151,10.585664,,,,232,,,,,,,4963103.0,6345572.0,5855211.0,5070811.0,5985405.0,3418344.0,
6862,111.03901962045713,10.744031,,,,,,,,,,,836114.25,302229.75,3078691.0,277145.6,302573.28,283386.16,
108,111.04405872700436,0.4545544,,,,,,,,,,,349505.0,216734.84,730812.7,1570405.8,87989.53,430200.4,
6780,111.52171876183259,10.479239,,,,7,,,,,,,1546162.8,1529854.1,1653741.1,1569449.5,1891504.2,1775072.0,
6781,112.01776481482052,10.488565,,,,7,,,,,,,7483856.0,7435302.5,7715147.5,7492084.5,8903329.0,8316292.0,
92,113.03451176666546,0.43684343,,,,,,,,,,,157526.69,72731.78,225843.55,80624.984,115602.47,911465.8,
84,113.05964903126666,0.40012428,,,,33,,,,,,,700746.1,506794.88,1233861.9,1202018.4,568496.9,2193681.5,
312,113.05971329753986,2.2199895,,,,63,,,,,,,2031160.0,1780983.4,1973022.1,1990548.2,1762494.4,2503632.0,
5512,113.1323434047162,8.293108,,,,29,,,,,,,123113.53,477782.53,329630.56,491384.94,666028.0,587219.4,
6917,113.96358030594224,11.015843,,,,,,,,,,,454293.84,660010.7,767996.9,377929.94,9144727.0,9627222.0,
409,114.0549887024796,3.0576484,,,,,,,,,,,378720.88,341927.53,385736.0,378906.06,312522.3,372128.5,
6654,114.09123845833547,10.161135,,,,57,,,,,,,134122.17,167218.92,116018.02,172355.47,438186.47,498925.3,
328,114.09136266364597,2.3955345,,,,,,,,,,,1077517.9,1236144.5,977289.44,1203503.4,1313610.0,1993567.9,
365,114.09137498701749,2.7221138,,,,237,,,,,,,268298.75,246469.36,320733.47,278905.22,297217.12,295603.5,
50,115.0365752473211,0.370746,,,,33,,,,,,,2138151.2,2131712.8,2872169.8,4639743.5,854863.9,1372461.6,
2324,116.05278701619733,5.5990753,,,,194,,,,,,,411880.4,471737.34,326634.8,942093.6,272877.6,466570.78,
315,116.0528291422009,2.2534108,,,,,,,,,,,98870.98,145005.38,48660.598,309170.0,0,14489.091,
554,116.05285167916657,3.6948576,,,,84,,,,,,,943821.56,787424.4,657932.5,1295740.6,499662.16,1471848.9,
2896,116.07047377681435,6.260507,,,,159,,,,,,,394708.66,340197.12,467930.88,744623.5,268113.5,266667.4,
83,116.07060437775641,0.38872743,,,,33,,,,,,,1280041.1,931821.6,1892512.9,1364793.4,516109.22,1555290.1,
1059,116.10684633280346,4.7275643,,,,,,,,,,,284695.3,311943.88,243801.7,534175.75,187722.55,212323.73,
89,117.05463826729327,0.39797595,,,,33,,,,,,,327477.53,256047.34,1008045.7,1057330.2,92585.7,1617804.8,
6756,118.08606975287499,10.310636,,,,,,,,,,,96583.12,125837.06,98325.5,169501.1,344436.7,523053.56,
49,118.08619091149814,0.37073278,,,,33,4,[M+H]+,,2,49;41,117.07887,1.6368962E8,1.6513597E8,1.7444389E8,1.6155405E8,1.6594075E8,1.8865418E8,
146,118.08623240571607,0.72279173,,,,,,,,,,,336938.28,973709.8,509209.53,1459895.1,626111.1,625057.3,
218,118.08623831419995,1.0734407,,,,,,,,,,,187475.42,242140.22,1834241.2,528762.2,286109.88,686166.75,
187,118.08624078964323,0.90164566,,,,235,,,,,,,1784620.8,734547.7,1869691.1,4218301.0,1177971.6,1417190.8,
230,118.08624425450965,1.2331692,,,,,,,,,,,459997.47,1135085.9,644648.94,476183.38,273406.72,747006.9,
242,118.08624536042397,1.3476009,,,,,,,,,,,331047.03,93867.266,258773.27,744544.2,218634.33,215281.4,
169,118.0862476834514,0.81426066,,,,64,,,,,,,2083293.4,4200124.0,2952905.8,2960236.2,5489999.5,6183214.5,
267,118.08624894948623,1.6523806,,,,,,,,,,,124074.89,72118.85,216936.47,99860.2,106421.875,204835.58,
210,118.08625317282855,0.9777184,,,,,,,,,,,2865413.5,526044.5,693068.3,922411.8,884582.3,686166.75,
61,118.12236279146474,0.37594977,,,,33,,,,,,,1318597.5,1062059.0,1171191.6,1136437.2,939873.06,1174897.2,
6666,118.12249815948712,10.188367,,,,57,,,,,,,2288782.0,1468948.4,2230877.8,2298923.8,2703639.5,1527149.1,
52,119.08947999295343,0.37148592,,,,,,,,,,,9035944.0,9183696.0,8681901.0,8308865.5,8363563.0,9454905.0,
367,120.04445088958255,2.7228546,,,,237,,,,,,,4328539.0,4159609.0,4491426.5,4482989.0,3421931.0,2459863.0,
604,120.04445462111642,4.0017295,,,,,,,,,,,80947.836,124776.38,69698.79,131378.33,53353.26,53740.32,
393,120.08081300100702,2.971963,,,,,,,,,,,158335.75,132579.64,172757.6,187662.28,120440.875,131713.84,
5515,121.02830680672464,8.293868,,,,29,,,,,,,132236.95,520364.22,358335.34,534499.5,694382.7,640632.2,
2,122.01917005933835,0.062425595,,,,,,,,,,,947090.56,297892.94,1250693.4,1147881.2,45332.008,36780.797,
6800,122.5469675972039,10.5676565,,,,232,,,,,,,3647725.0,3430722.2,3548394.8,3595215.8,2482870.5,2501638.8,
118,123.05521808610115,0.58489656,,,,,,,,,,,2875764.2,2514388.0,3189553.0,3533120.8,1757396.1,2769155.2,
116,124.03927162546718,0.5359334,,,,,,,,,,,1193103.9,1023544.44,1172230.2,1224588.1,982843.44,1197842.4,
1005,125.05955845311796,4.66982,,,,252,,,,,,,295087.16,316262.2,725361.44,339678.62,198300.3,689084.3,
1497,125.09602917952058,5.0238585,,,,93,82,[M-H2O+H]+,,2,1497;1504,142.09925,65422.867,55829.484,90491.47,89567.54,37598.117,143934.08,
703,125.09609654274351,4.2401266,,,,173,,,,,,,736416.94,713548.9,870062.0,932292.25,626276.0,546181.8,
483,125.09614228784018,3.449281,,,,203,,,,,,,177306.0,172326.6,189925.78,203002.05,141951.23,160574.69,
592,125.09615951454678,3.9587252,,,,,,,,,,,137452.1,131826.17,160961.38,178353.25,132560.22,136979.19,
6812,125.98610069090648,10.584639,,,,232,,,,,,,1.8633936E7,1.9059398E7,1.9848836E7,1.8894338E7,1.2440962E7,1.2618687E7,
100,129.05453670238805,0.4472187,,,,33,,,,,,,1091276.4,409918.94,2493458.0,2080371.9,217450.33,1510054.6,
126,130.04989013228786,0.6037957,,,,,,,,,,,1798827.8,598111.75,2220036.8,1913303.0,460051.28,457844.75,
77,130.08617432116307,0.3842077,,,,33,,,,,,,863038.94,209238.77,990097.75,1175000.8,90253.414,1241511.2,
132,130.08627424515532,0.6441073,,,,,,,,,,,63525.043,19197.86,384037.53,331746.34,18077.266,292044.06,
342,130.15905113585603,2.5227082,,,,,,,,,,,0,0,0,0,2314404.0,3744633.0,
361,130.15908192493666,2.6452358,,,,,,,,,,,3751335.8,2956908.0,3226078.8,4956901.0,100241.04,254478.92,
85,131.07021651320125,0.40089297,,,,33,,,,,,,281793.44,145819.34,1003954.8,1019702.7,125773.89,1917520.5,
2532,132.10182466220206,5.789057,,,,,,,,,,,52394.703,37032.6,81085.47,160805.94,28584.506,9387.14,
58,132.1018331915278,0.37519872,,,,33,,,,,,,2172792.2,2251360.0,2300477.0,2958048.2,2357111.8,2937153.8,
150,132.101921263705,0.74439365,,,,,,,,,,,6301070.0,4650389.5,7579135.0,5918842.5,3166381.2,3778701.2,
577,132.10197840954433,3.8502998,,,,,,,,,,,299266.9,244170.34,345202.56,399253.88,48965.945,93200.56,
2045,133.1010516325429,5.3681335,,,,10,133,[M-2H2O+H]+,,2,2045;2033,168.11545,1120070.0,971426.1,1153950.1,1039527.75,812101.3,966499.8,
3981,133.10109168003433,7.328406,,,,182,,,,,,,195613.45,286279.4,308779.25,487874.78,571721.9,542168.3,
598,133.1012366165339,3.9808877,,,,,,,,,,,335225.1,311622.34,333390.88,435582.2,346542.47,284532.97,
5455,134.06331970438262,8.218197,,,,,,,,,,,116167.78,290650.4,69024.84,825350.94,17638.734,104520.86,
5742,134.0633622775818,8.481033,,,,,,,,,,,27878.547,46890.37,19493.225,433204.72,0,39375.24,
88,135.0650926017574,0.39862427,,,,33,,,,,,,197683.39,87593.73,789314.2,911192.7,64230.44,1526312.2,
325,135.10157568744816,2.3772523,,,,180,13,[M+H]+,,1,324,134.09431,681281.2,607675.2,563052.3,607276.8,652819.6,1016350.2,
2359,135.1167272577338,5.620645,,,,,,,,,,,462396.6,289246.16,422975.4,304023.8,592301.75,614894.75,
366,138.05502327532534,2.7227976,,,,237,,,,,,,1130845.6,1080526.8,1149255.4,1203309.5,832584.7,610954.8,
6777,139.98773399561125,10.475612,,,,7,,,,,,,6374150.0,6671539.5,6864450.0,6326925.0,8494852.0,8180492.0,
6760,140.0681044365524,10.325464,,,,,,,,,,,0,0,0,0,117474.016,157462.97,
27,140.06815300681083,0.35812488,,,,33,1,[M+Na]+,,3,26;33;27,117.07885,2.508826E7,2.4247618E7,3.0898374E7,2.958242E7,1.725585E7,1.9264638E7,
157,140.0681852685896,0.7631324,,,,,,,,,,,1069848.8,506336.34,972646.0,752567.5,331551.44,266349.75,
143,140.0681981804204,0.7145946,,,,,,,,,,,471888.12,216347.97,2022420.5,1638869.8,331551.44,128297.43,
250,140.06820486229398,1.4573454,,,,,,,,,,,298317.75,182402.47,1503649.1,394328.72,100838.95,55287.918,
177,140.0682184611176,0.85765743,,,,,,,,,,,664632.6,516041.06,794581.6,1178682.5,237702.62,153693.94,
214,140.0682196833819,1.0234607,,,,,,,,,,,214004.86,376498.06,489338.38,2153929.2,315754.0,365184.2,
240,140.06822554961053,1.3038961,,,,,,,,,,,211318.47,210768.16,403836.8,1149605.0,268672.44,154796.03,
237,140.0682283792628,1.2603272,,,,,,,,,,,342544.25,131150.66,541944.0,559373.25,287621.56,154796.03,
263,140.06824791677477,1.6029682,,,,,,,,,,,290769.16,301194.72,355701.7,235421.53,128772.08,242929.62,
333,141.0546366838122,2.4508545,,,,,,,,,,,2038452.1,1788941.6,1607585.5,2170135.5,1588497.9,795470.8,
6776,141.9831952498408,10.47165,,,,7,,,,,,,2413904.0,2526076.2,2596235.5,2380323.0,3217763.5,3116434.5,
537,142.04139166589496,3.665452,,,,51,,,,,,,501676.2,456218.0,388759.75,460124.2,157535.89,183232.42,
408,142.086317242075,3.0559914,,,,80,,,,,,,562535.3,509180.75,594023.25,596898.94,560330.25,604984.9,
24,142.94802048308065,0.3679689,,,,,,,,,,,504507.4,161868.88,527418.0,599322.1,579359.1,410251.56,
6918,143.03951256376638,10.996906,,,,,,,,,,,0,0,0,0,5429047.5,4660285.5,
4267,143.070222345508,7.523293,,,,,,,,,,,34007.285,73820.54,55612.45,92811.83,138637.16,453921.16,
3510,143.07025926228945,6.9370875,,,,,,,,,,,248338.44,261644.25,291785.38,298376.84,424231.34,524469.3,
79,144.10186506354813,0.38420525,,,,33,,,,,,,4.641276E7,3.96154E7,4.6149E7,4.2075044E7,3.6002228E7,5.815258E7,
298,144.1019019415168,2.0484705,,,,,,,,,,,113513.625,20743.158,57042.92,25247.781,20332.227,49199.188,
244,144.10191115802215,1.3317761,,,,,,,,,,,34109.156,17398.457,51608.63,42299.184,41050.344,46717.32,
229,144.1019162798575,1.2208883,,,,,,,,,,,174134.31,59265.133,62425.21,107188.586,44026.047,44721.42,
154,144.10192104810406,0.7254827,,,,,,,,,,,199609.86,220747.81,147333.58,252541.66,120531.35,78079.7,
219,144.10192273451136,1.1209074,,,,,,,,,,,134785.31,59265.133,352285.8,386944.12,44026.047,144926.5,
226,144.10192350689593,1.1840875,,,,,,,,,,,56659.887,396939.1,60121.15,99112.586,44026.047,44721.42,
189,144.10193129115157,0.9420125,,,,235,,,,,,,428030.22,151873.38,414204.84,558983.44,340809.84,94212.88,
172,144.1019379814433,0.8221938,,,,64,,,,,,,339080.38,703451.9,693322.6,419138.84,209658.5,1457696.2,
270,144.10193907870521,1.7026855,,,,,,,,,,,15239.689,14601.715,48696.016,29252.525,17075.238,59144.96,
282,144.10196027993845,1.8931866,,,,,,,,,,,44869.42,16276.584,34408.977,20580.742,13638.772,59471.223,
6054,144.98201774474072,8.764014,,,,,,,,,,,222977.0,456089.1,244331.9,213430.86,150848.83,1044039.0,
6645,144.98202866297586,10.064307,,,,,,,,,,,568199.5,7408645.5,849399.9,6176185.5,1005445.56,2954807.0,
6538,144.98204834747935,9.764448,,,,,,,,,,,6072444.5,1587183.8,6011277.0,208464.22,1.7075026E7,1.4977138E7,
6300,144.98208872497452,9.16911,,,,,,,,,,,577297.25,570379.9,550786.06,417007.16,1129488.5,751252.3,
5853,144.98213367147355,8.596904,,,,,,,,,,,1029024.0,1682901.1,968945.2,1103528.5,1961136.0,1668178.8,
6910,145.0351144449459,11.0125265,,,,,,,,,,,40000.523,179402.89,114480.164,114237.43,7023138.0,6741027.5,
43,145.04699265487204,0.36850882,,,,33,,,,,,,2506009.5,2472836.8,3574963.0,5692717.5,1068202.6,1905855.2,
454,146.06006480113476,3.272377,,,,215,,,,,,,386974.22,342876.88,394140.5,506379.7,333855.0,392434.8,
321,146.06006644429885,2.3392878,,,,,,,,,,,1723027.8,1482783.8,1757103.5,2078427.6,1655398.0,2204377.5,
137,146.0811448951505,0.64954257,,,,106,10,[M+H]+,,2,134;137,145.07384,5790025.0,3963932.5,6428330.0,6000544.5,5466612.5,8944878.0,
323,146.117536748878,2.335906,,,,180,,,,,,,227835.97,157340.03,245922.72,275816.75,13861.031,4313.3726,
314,146.11756105366328,2.2863348,,,,,,,,,,,10639.266,53709.03,15970.111,38612.504,170539.95,124545.61,
300,146.1175940722284,2.065166,,,,,,,,,,,330650.62,258922.44,384780.62,360088.3,284623.5,390600.94,
6534,146.98021251838003,9.750005,,,,,,,,,,,554971.75,241259.75,563875.25,504865.2,306254.88,7351157.0,
6405,146.9802279122771,9.413053,,,,,,,,,,,499386.62,571198.7,507584.62,296193.06,7614023.0,1251360.4,
104,147.06509534161583,0.45622906,,,,33,,,,,,,1280911.0,496391.8,2893093.2,2378916.5,471091.9,1691853.5,
467,147.0804816325751,3.3577785,,,,,,,,,,,345680.16,375875.8,311527.78,418030.16,267074.34,198937.72,
418,147.10156151294518,3.083888,,,,160,,,,,,,850057.1,825812.9,807685.44,931274.6,907121.8,837494.56,
449,147.10156783961716,3.2681534,,,,215,,,,,,,249738.9,243612.02,262635.88,269134.56,184845.58,168259.2,
1663,147.11673066678787,5.140661,,,,113,,,,,,,900500.6,832958.0,986122.25,1173632.0,776731.25,606746.8,
733,147.11681064411846,4.335995,,,,157,,,,,,,233498.03,230374.11,282328.6,291173.25,153466.45,219944.88,
75,148.06029671534617,0.38269654,,,,33,,,,,,,1113707.0,252136.72,1604804.9,1291822.9,722073.56,786764.56,
1063,148.07888804091178,4.7259927,,,,252,,,,,,,495930.2,429348.25,354060.5,1180908.1,140571.5,289538.2,
1515,149.02326183286834,5.041157,,,,136,,,,,,,843131.06,988741.4,787419.56,1200777.6,1116658.5,999771.25,
5516,149.02326571816172,8.294633,,,,29,,,,,,,1.2160341E7,1.9085462E7,1.3138471E7,1.9877284E7,2.6226642E7,2.3703956E7,
3074,149.02328907632196,6.5316644,,,,242,,,,,,,2359080.8,2616165.5,2228188.2,2817428.2,3398763.5,4100743.0,
4644,149.04475753027316,7.7199974,,,,1,275,[M-H+2Na]+,,2,4634;4644,104.07333,292785.34,372246.3,361931.3,412317.6,213970.53,196013.11,
3852,149.04480206618487,7.214784,,,,209,,,,,,,541523.6,861976.94,710125.06,898073.06,1429940.4,1573456.1,
2419,149.0596034428494,5.7055244,,,,105,,,,,,,522638.6,535066.3,498798.12,484219.47,1027320.0,1433184.6,
564,149.05977879249494,3.7217052,,,,79,,,,,,,519634.47,567265.56,470865.7,552836.5,981785.56,873878.2,
87,149.08078302147848,0.39794648,,,,33,,,,,,,201307.84,195064.36,720397.8,834621.1,73032.6,1643671.6,
543,150.0570603345222,3.6804867,,,,84,,,,,,,436584.22,435836.7,353756.78,393760.06,167416.55,150161.69,
534,151.0466589778965,3.6622007,,,,,,,,,,,400289.5,375889.72,314358.97,363475.16,159829.97,223005.38,
3691,151.07531917550094,7.1069107,,,,149,,,,,,,214526.89,283145.53,363664.9,456865.53,549121.3,416566.88,
131,152.07062102205325,0.6150859,,,,106,,,,,,,655079.2,548904.06,799569.1,736997.9,431109.6,414054.5,
6855,154.99007540625857,10.800781,,,,,,,,,,,683550.6,767787.94,818018.1,753293.25,1.0121241E7,1.0722917E7,
480,155.05978508267637,3.451998,,,,,,,,,,,279278.25,291792.44,298965.7,320783.56,140008.5,205837.4,
394,155.07030506930997,2.9783256,,,,,,,,,,,1543103.5,1316972.9,1014534.0,1678004.8,1211398.6,620197.94,
26,156.042008084991,0.35589227,,,,33,1,[M+K]+,,2,26;27,117.07885,3574280.5,3462345.8,3373880.5,4135295.8,2311361.8,2278242.0,
111,156.04201816058085,0.5315935,,,,,,,,,,,414017.22,135288.5,277845.8,139294.08,80803.836,47574.906,
278,156.04217340728522,1.8301967,,,,,,,,,,,107567.83,106634.734,270936.44,115576.09,49876.215,45604.67,
6782,156.99047008670573,10.489444,,,,7,,,,,,,2444710.0,2667663.8,2602572.2,2400302.2,2855949.2,2822420.8,
311,157.0835364919784,2.2090065,,,,63,,,,,,,1089472.5,870005.56,889711.5,966449.5,888169.7,974588.06,
324,157.08354658793675,2.3772137,,,,180,13,[M+Na]+,,2,324;325,134.09431,3144559.5,2504576.2,2304799.5,2603642.0,704205.94,923798.56,
6637,157.10102515718947,10.084864,,,,217,,,,,,,112488.79,36360.875,92317.69,162585.06,148500.08,153595.7,
136,158.1175370369189,0.627232,,,,,,,,,,,141194.14,44278.68,309853.06,48649.48,11690.338,137307.77,
1197,158.15379654902245,4.8084893,,,,147,,,,,,,2928283.0,2752297.8,2397033.8,3502990.2,1644193.1,2598971.0,
133,158.15394901558088,0.6422721,,,,,,,,,,,423618.25,376413.5,590880.56,491346.9,316403.7,341865.94,
528,158.15402158234116,3.6467786,,,,,,,,,,,317136.56,243084.06,256536.02,355763.5,0,0,
572,158.154120292502,3.7461667,,,,,,,,,,,21839.988,0,0,24218.521,272295.28,339266.47,
6748,158.9639579335862,10.298285,,,,,,,,,,,0,0,0,0,110878.95,164281.23,
529,159.1169037767322,3.6477401,,,,121,,,,,,,420848.94,403252.47,388150.03,445434.7,351722.53,175806.83,
546,161.0961713219422,3.6847107,,,,84,,,,,,,1.6291437E7,1.730973E7,1.326214E7,1.8869254E7,1.201481E7,1.2557463E7,
544,161.56495860585144,3.6830406,,,,84,,,,,,,1218922.8,1190850.6,987201.9,1156794.6,499657.28,464539.12,
551,162.06662363392834,3.685537,,,,,,,,,,,210327.16,215037.12,173446.08,200686.19,71531.79,66275.2,
701,162.06755891857992,4.2400904,,,,173,,,,,,,546371.9,514306.62,618995.6,640665.44,285778.84,165177.84,
547,162.0993780933902,3.6847117,,,,84,,,,,,,1896994.6,1998962.5,1536959.5,2178455.5,1390757.6,1434094.1,
34,162.11236859851468,0.3647863,,,,33,5,[M+H]+,,3,34;54;69,161.10509,1.2450918E7,1.0989437E7,1.3255476E7,1.1918173E7,1.0878983E7,1.0922338E7,
168,162.11246954073667,0.8122522,,,,64,,,,,,,136675.94,149859.88,209343.39,129917.625,203415.75,158398.69,
839,163.07526863051967,4.540624,,,,99,,,,,,,362072.53,637469.94,489062.1,391389.97,1092141.9,901160.1,
2964,163.07527364690336,6.3759503,,,,31,,,,,,,720811.3,911068.8,905839.25,762895.56,2619676.2,2691889.2,
