"","Filename","2024_NEG_Anid-EV-alcA_CTRL_1_Run177.mzML","2024_NEG_Anid-EV-alcA_CTRL_2_Run198.mzML","2024_NEG_Anid-EV-alcA_CTRL_3_Run230.mzML","2024_NEG_Anid-TJGIp4_1_Run183.mzML","2024_NEG_Anid-TJGIp4_2_Run212.mzML","2024_NEG_Anid-TJGIp4_3_Run233.mzML"
"47","220/137.0245mz/2.26min","288450.8","81707.58","104156.2","77607.3","174306.64","2671632.8"
"48","222/196.0615mz/2.27min","476161.03","902358.0","223876.72","509488.1","435621.5","643199.3"
"49","224/446.1778mz/2.27min","333825.84","505922.66","325500.16","277540.38","266511.78","43169.46"
"50","225/125.0245mz/2.27min","375410.9","329822.66","370983.66","1320562.9","1518534.6","58085.72"
"51","226/181.0508mz/2.27min","726316.0","786359.56","510212.97","457805.0","910325.4","891149.06"
"52","230/360.0723mz/2.29min","516178.56","834204.44","0.0","0.0","369428.8","0.0"
"53","231/330.0986mz/2.29min","137218.19","90294.87","144354.33","20833.95","74615.54","0.0"
"54","232/245.1142mz/2.29min","383257.66","288086.47","960234.3","453120.9","297234.2","3933.2192"
"55","236/345.1301mz/2.3min","1654825.5","2511649.2","1428104.9","1514110.2","1353814.9","935269.9"
"56","237/226.0721mz/2.3min","4373408.0","3776840.5","4063724.2","4686016.5","3319989.8","3392611.2"
"57","238/303.0511mz/2.31min","956468.7","1032834.56","0.0","0.0","198967.0","0.0"
"58","240/356.1348mz/2.32min","283373.03","151852.92","862882.44","430412.66","376785.62","70964.61"
"59","242/211.0612mz/2.33min","24475.457","34081.33","4688858.5","2455404.2","1442593.5","70832.97"
"60","243/175.0612mz/2.35min","91535.48","164619.03","170013.27","358319.3","126270.41","131857.89"
"61","245/306.0985mz/2.33min","553248.94","560264.6","100594.28","96471.414","154090.25","22850.863"
"62","246/242.0671mz/2.29min","553264.3","395558.06","300676.12","98514.13","259653.5","68010.38"
"63","251/343.1144mz/2.35min","754393.06","870228.6","286169.47","480564.25","573524.4","313019.5"
"64","253/234.0772mz/2.35min","736638.3","814699.56","701302.0","654188.3","650838.75","691683.7"
"65","254/297.0729mz/2.36min","641551.4","676469.56","590204.44","665775.9","623147.94","802643.06"
"66","255/180.0666mz/2.36min","84225.37","150631.88","168734.39","71168.09","67420.125","57832.5"
"67","258/161.0819mz/2.36min","295933.9","296045.25","665712.6","348540.72","299385.5","0.0"
"68","259/309.1093mz/2.37min","99458.336","277785.6","206817.44","217190.0","212883.55","47026.402"
"69","260/238.0721mz/2.36min","411191.56","381380.53","261372.73","244759.78","226778.94","70521.81"
"70","261/151.0401mz/2.37min","216143.47","273523.56","174830.34","170039.97","182140.8","194235.78"
"71","262/153.0194mz/2.37min","1266050.4","2893137.2","862548.9","182533.98","107087.305","0.0"
"72","263/212.0565mz/2.38min","1179073.9","2089542.6","1108593.6","1012688.06","1142759.6","585981.94"
"73","264/258.0983mz/2.4min","285070.0","443679.25","1923301.2","2041446.0","353930.7","1322013.5"
"74","265/214.1085mz/2.38min","4729.5186","9988.089","182870.0","216920.44","8768.494","127985.305"
"75","266/240.0878mz/2.38min","1258337.0","1614772.5","1200090.5","1109134.0","1150428.5","1052938.0"
"76","267/230.1034mz/2.39min","179667.1","153373.73","388002.44","198499.31","175193.25","19519.174"
"77","269/229.1558mz/2.32min","54517.66","77811.61","155522.97","74902.56","69956.74","625130.75"
"78","270/259.13mz/2.43min","127323.17","91627.57","152444.69","1236752.8","28921.861","51975.52"
"79","271/222.0771mz/2.4min","384012.5","423635.16","227312.05","89410.9","139602.62","72323.96"
"80","272/168.0666mz/2.4min","602248.4","997942.2","988115.2","745210.06","774331.3","429217.22"
"81","273/286.1409mz/2.44min","0.0","15066.003","441113.1","0.0","0.0","0.0"
"82","275/210.0772mz/2.41min","1439765.8","1881631.6","1775077.5","1397275.1","1422554.4","1329114.9"
"83","277/180.0302mz/2.43min","288014.2","380781.3","403799.47","400287.4","361851.28","284391.12"
"84","278/129.0558mz/2.43min","3927831.0","2888937.5","11154930.0","4017704.0","2903171.5","7534690.0"
"85","279/175.0612mz/2.43min","462859.5","722103.25","747209.3","777050.7","368038.1","153271.25"
"86","280/479.1787mz/2.43min","428307.34","328918.62","388195.94","456497.66","508200.88","4436.557"
"87","281/326.1245mz/2.47min","249053.73","297025.6","13580.582","5092.0254","22404.53","0.0"
"88","282/416.1826mz/2.43min","2227031.0","1854750.9","1983088.2","2140991.2","2478237.2","149752.4"
"89","283/762.321mz/2.44min","490510.97","523562.5","362991.25","380601.16","420932.1","5909.4746"
"90","284/345.1301mz/2.44min","9656169.0","12888154.0","7103777.5","7366411.0","7775695.0","6563906.5"
"91","285/346.1336mz/2.44min","1452745.2","1910354.0","1059131.4","1088285.1","1148320.5","999649.0"
"92","286/691.2683mz/2.44min","587830.9","937644.6","347672.47","327134.3","350043.12","336600.34"
"93","287/160.0405mz/2.44min","91192.68","96726.42","607205.3","262742.5","105219.36","0.0"
"94","288/205.0336mz/2.44min","24212.28","52882.06","354424.9","167665.42","45948.914","0.0"
"95","290/605.2258mz/2.44min","35525.906","3581.8865","277639.1","162170.83","109496.305","0.0"
"96","291/204.0302mz/2.44min","604096.44","592567.6","3783777.8","1783465.8","696917.25","144436.86"
"97","293/188.0353mz/2.45min","829771.9","475065.4","5127584.5","2642855.5","1969343.1","258486.11"
"98","295/313.0678mz/2.46min","283094.66","263169.88","108010.875","468657.7","601838.56","350299.06"
"99","297/282.0984mz/2.46min","835054.7","1185163.9","758517.56","1259747.4","955632.25","1887106.9"
"100","298/287.0563mz/2.46min","214267.03","284755.94","0.0","0.0","0.0","0.0"
