row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,NEG_D5-211-C1-a_Run92.mzML Peak area,NEG_D5-211-C1-b_Run95.mzML Peak area,NEG_D5-Ctrl-a-P-EAMeOH_Run29.mzML Peak area,NEG_D5-211-C1-c_Run98.mzML Peak area,NEG_D5-Ctrl-b-P-EAMeOH_Run32.mzML Peak area,NEG_D5-Ctrl-c-P-EAMeOH_Run35.mzML Peak area,
79,128.03531977241124,0.63273096,,,,,,,,,,,1403262.6,1869897.8,1446407.1,1831521.9,1136661.1,2127092.2,
90,128.03536136951533,0.89992607,,,,,,,,,,,14379.045,22936.926,3611.3145,38163.137,0,7519.921,
49,129.01930455809318,0.38697305,,,,27,,,,,,,2089121.0,2156688.0,2090184.5,2153403.0,2227450.8,2347763.8,
75,129.01933202433545,0.58884066,,,,,,,,,,,1261469.6,1460054.4,1420821.4,1544144.0,1500173.8,1810817.9,
286,129.97566663035167,7.8795853,,,,,,,,,,,1373376.1,875436.9,574515.4,1016364.75,556628.8,822610.0,
219,129.9756721624737,7.7833047,,,,,,,,,,,1014347.2,618710.4,1301331.6,443683.75,1181383.2,1163537.8,
438,129.97567843998357,8.967133,,,,4,,,,,,,2330854.5,2402134.8,4966447.0,4484976.5,4706763.0,4876680.0,
325,129.975682400499,8.21695,,,,,,,,,,,861233.4,845334.8,2522566.5,871687.9,2886986.2,1624150.8,
182,129.97568591447876,7.3760757,,,,19,,,,,,,1096064.5,1128755.0,1524657.2,1105908.0,1220047.8,1547980.1,
60,130.0872523971543,0.39479694,,,,27,,,,,,,867551.4,870118.9,349266.2,864382.56,435388.75,531033.9,
85,130.08730383795827,0.7981407,,,,,,,,,,,980414.5,1527039.2,1143263.1,559051.75,1159016.8,1525440.1,
111,130.08732654626579,3.0332375,,,,35,,,,,,,54072.254,78605.77,64281.227,75707.27,59318.617,141443.4,
109,131.0713484743119,2.9018507,,,,,,,,,,,594301.0,712948.2,745701.75,1024760.25,852093.2,1970840.2,
439,132.8677960334502,8.964503,,,,7,,,,,,,1857646.8,1003609.4,5101591.0,1895666.2,5439703.5,5503391.0,
362,132.86780202319707,8.609632,,,,9,,,,,,,3356399.2,4033467.2,1095597.6,3461952.8,862774.06,1330145.0,
503,132.86781910917725,10.1651,,,,,,,,,,,991909.56,1047343.6,703421.9,1060033.0,989818.3,632843.9,
530,132.86783406992558,10.423715,,,,37,,,,,,,5964722.5,5864045.0,5175647.0,5679713.0,4993884.5,4769448.5,
287,132.90012492370695,7.91333,,,,,,,,,,,440065.88,526069.3,248538.84,510113.34,195887.75,207096.33,
306,132.90013567928344,8.224804,,,,25,,,,,,,1163779.2,1195238.8,185368.62,1305265.6,584894.44,554880.06,
417,132.90014072339687,8.93278,,,,,,,,,,,683371.2,748148.9,354229.03,278377.94,92336.81,276682.56,
379,132.90014184937846,8.728376,,,,5,,,,,,,2278517.5,2690189.5,468333.97,2706912.5,659861.7,659736.94,
394,132.9234011006387,8.791945,,,,38,,,,,,,1.7387604E7,1.8153306E7,1.7576664E7,1.994143E7,1.5432818E7,1.5019782E7,
47,133.01418201112048,0.38615093,,,,27,,,,,,,8591213.0,1.2850389E7,6184486.5,1.0810378E7,5471281.0,7728688.5,
433,134.86503230892265,8.959262,,,,7,,,,,,,385927.62,585287.75,3402182.8,1313881.6,2286220.5,3645039.8,
363,134.86503655267984,8.611331,,,,9,,,,,,,2015652.1,2509635.8,659744.4,2262075.8,1378044.9,219137.81,
501,134.86513645543815,10.166858,,,,21,,,,,,,396554.5,739063.7,477500.56,737552.7,671993.56,471201.84,
529,134.86546850035245,10.422831,,,,37,,,,,,,6167318.0,6060523.5,5224848.5,5913158.5,5058802.5,4781598.0,
418,134.8945890550488,8.920464,,,,,,,,,,,1.312399E7,1.4542632E7,9159188.0,1.4901844E7,9147141.0,9301686.0,
291,134.89459006257962,7.910692,,,,29,,,,,,,8840266.0,1.0859781E7,6695883.0,9851804.0,9364370.0,8913711.0,
372,134.89459455121724,8.714454,,,,5,,,,,,,4.100551E7,5.391142E7,3.5567868E7,5.4770108E7,1.3348032E7,1.319978E7,
338,134.89459477387422,8.280978,,,,,,,,,,,1.1780427E7,1.1784553E7,1.1710992E7,7132846.0,1.2271997E7,6369324.0,
327,134.89459539229236,8.22392,,,,25,,,,,,,2.2900268E7,2.282842E7,1.139277E7,2.5080412E7,1.0811952E7,1.0436432E7,
373,135.9708740725205,8.701375,,,,22,,,,,,,961512.44,1195625.4,1608053.6,1136490.9,1865696.4,1577413.4,
429,135.9708769432502,8.959273,,,,4,,,,,,,855251.9,1106058.9,1715621.1,1176151.2,3004121.8,1895993.0,
528,136.8628783512386,10.421937,,,,37,,,,,,,1834341.4,1809073.0,1607167.6,1749537.0,1531360.4,1473447.9,
364,136.8630248884385,8.62165,,,,9,,,,,,,876595.4,927513.6,332791.5,1057302.1,71675.54,521354.3,
500,136.86304665298607,10.158253,,,,21,,,,,,,148142.52,291797.88,190411.97,277376.3,264013.94,187364.83,
309,137.8916913815486,8.226555,,,,25,,,,,,,799792.75,822997.75,121016.375,894199.06,293881.5,368588.9,
342,137.89169758062846,8.28712,,,,,,,,,,,399148.84,369755.25,359632.47,251274.75,429940.56,182324.73,
288,137.89170216237213,7.910274,,,,,,,,,,,303904.28,309002.75,196492.28,357232.66,80424.09,84160.98,
376,137.89170644053172,8.718816,,,,5,,,,,,,1453018.0,1537918.4,414499.5,1906174.8,237012.53,471612.97,
401,139.94444004821932,8.80503,,,,,,,,,,,3487148.5,3547659.0,1672026.0,3633543.0,2717828.0,2680945.2,
421,139.9444533900017,8.903544,,,,,,,,,,,605810.25,1838680.8,2609137.0,761905.9,1286217.6,1604582.2,
460,139.94446917308755,9.057586,,,,10,,,,,,,1833440.9,1923748.0,4645120.0,5014085.0,5572134.0,1388615.9,
470,139.94447677689732,9.137839,,,,,,,,,,,1811065.5,1803202.1,1727091.1,1889363.4,1689195.0,5522071.5,
393,142.92887667716704,8.791936,,,,38,,,,,,,4232426.0,5355599.5,3958321.5,4653090.0,3354581.2,3514142.2,
397,144.92336862210126,8.798038,,,,38,,,,,,,9.3898424E7,9.730821E7,8.3811496E7,1.0009163E8,8.42695E7,8.938307E7,
57,145.0141617919895,0.41546187,,,,27,,,,,,,730329.2,1052053.9,265139.53,900523.5,91957.61,288918.12,
91,145.0506684285592,1.0212921,,,,,,,,,,,2379048.8,4269994.0,1848342.5,4233118.5,1668335.2,2754076.5,
13,145.061746624743,0.35234237,,,,,,,,,,,348238.28,730961.7,269075.3,248154.69,316250.66,87901.72,
58,146.0457875454649,0.3913227,,,,27,,,,,,,1042045.8,1885061.5,192130.05,1002494.3,140113.66,444703.5,
371,146.96585188268335,8.699639,,,,22,,,,,,,2.866134E7,3.1723842E7,2.8447076E7,3.1344862E7,3.2079522E7,2.9935212E7,
208,146.9658784884663,7.399098,,,,,,,,,,,4148362.0,5262937.5,4995093.5,5335822.0,3503309.5,3482979.8,
330,150.88941703978108,8.260757,,,,,,,,,,,231952.6,2969967.0,291680.97,3047222.5,291918.4,365984.5,
378,150.88942515976802,8.7371,,,,,,,,,,,2020900.5,591427.2,270332.38,1911273.6,521990.28,521475.66,
340,150.8894313730683,8.3330345,,,,,,,,,,,2878963.2,1121714.0,664006.4,441007.38,715631.4,734873.44,
423,150.88945938146836,8.905774,,,,,,,,,,,294031.72,777091.75,171467.58,331144.28,81968.27,193824.62,
321,153.86848469522832,8.221326,,,,25,,,,,,,330345.06,296316.7,48633.656,421545.12,159731.47,71993.53,
361,153.86848748718236,8.569238,,,,,,,,,,,1975573.8,2045358.1,198906.92,1824996.4,306951.9,266551.9,
520,153.86852204667582,10.339829,,,,,,,,,,,182571.45,189785.83,42485.742,199806.75,22938.633,51921.24,
53,155.00977696669966,0.39131713,,,,27,,,,,,,1386152.9,1302683.6,1996509.2,1235573.6,2295995.2,8800250.0,
61,156.06658504054883,0.39566877,,,,27,,,,,,,5470809.5,5785292.5,2305195.0,5269599.0,2737468.2,3517569.2,
80,156.06661232639192,0.59820515,,,,,,,,,,,395114.53,192905.2,65225.14,646111.25,89034.06,168190.12,
93,156.0666216538418,2.061529,,,,,,,,,,,3403819.0,3601795.0,1733748.8,3878752.5,1872108.8,2523212.8,
84,156.06662223712382,0.7555993,,,,,,,,,,,35845.164,94267.3,100225.945,117920.49,34808.562,185573.92,
87,156.06663673071446,0.84936494,,,,,,,,,,,25077.572,38186.684,31144.277,137857.33,20728.283,37021.863,
101,158.9784906208174,2.5955925,,,,,,,,,,,92544.336,176115.94,3703.0503,73961.875,3427.2007,7671.427,
1,158.97852806477658,0.31280658,,,,1,,,,,,,821125.6,852738.4,1074686.4,813614.8,1016967.6,1029039.44,
107,158.9785405320758,2.7847426,,,,,,,,,,,160425.06,23125.457,7764.289,11381.333,3762.651,48623.93,
532,160.84207415738652,10.44365,,,,3,,,,,,,7133488.0,6834076.0,2724201.2,6635699.0,2440695.8,2261991.2,
86,161.04552452125154,0.8123103,,,,,,,,,,,666398.75,1444442.8,795381.0,1866908.5,775255.8,1471221.2,
374,161.91353995996857,8.689109,,,,,,,,,,,1242787.0,3774826.5,583853.3,3387833.0,966281.0,949241.9,
226,161.91354565091942,7.7707896,,,,24,,,,,,,34086.926,41815.03,111120.53,75202.38,152836.78,156548.1,
310,161.91354589932104,8.217818,,,,,,,,,,,357365.3,317515.56,398215.3,427488.78,396871.66,401190.78,
360,161.91354682562806,8.571879,,,,,,,,,,,3037511.8,1598824.6,1006475.6,1621794.5,3055466.8,2973224.8,
533,162.83907237709897,10.44365,,,,3,,,,,,,6601231.0,6365640.0,2555224.5,6190346.5,2298828.2,2123792.2,
534,164.83599433983179,10.44365,,,,3,,,,,,,2008436.2,1935980.0,757080.3,1872734.0,665122.94,616885.0,
4,164.93489293662216,0.3244265,,,,,,,,,,,201410.94,208449.81,610616.75,225804.89,557760.5,704333.7,
113,165.05570341203074,3.0945454,,,,,,,,,,,565591.1,651337.0,388517.22,880257.8,388555.75,796677.8,
527,170.8707809229804,10.4276,,,,37,,,,,,,1010963.1,959728.56,471408.38,946675.0,399911.5,366153.16,
112,172.09801520447695,3.03516,,,,35,,,,,,,620840.2,821937.2,743560.4,792869.9,719284.5,1366140.4,
46,173.00905834786082,0.38610747,,,,27,,,,,,,4073797.2,4143105.2,3907252.8,4313782.0,4108047.0,4091736.8,
76,173.00908902431226,0.5870525,,,,20,,,,,,,1921685.9,2001582.6,2339143.5,2266392.2,2196779.0,2530315.5,
64,173.09296384640768,0.39741457,,,,,,,,,,,814145.3,361323.03,128174.81,921163.3,149190.88,135845.81,
59,174.07706716408407,0.3939289,,,,27,,,,,,,1.7649978E7,1.7915814E7,7777260.5,1.8144652E7,9062692.0,1.1602094E7,
544,174.95604150589614,10.538819,,,,17,,,,,,,1.4474519E7,1.5091752E7,1.4942844E7,1.4884494E7,1.5257343E7,1.4932236E7,
99,175.06113379288408,2.4349937,,,,,,,,,,,35663.77,58738.617,401786.5,65078.36,37551.754,75118.86,
100,175.06114328214719,2.5084991,,,,,,,,,,,924635.1,1250075.1,962792.25,1337791.5,849976.5,1400721.2,
23,176.93580734579996,0.3557906,,,,27,,,,,,,805057.9,1071517.8,269050.4,1004545.44,461241.66,737967.8,
37,179.05602851012836,0.38013956,,,,27,,,,,,,128334.805,626871.6,1716967.9,1057494.6,1939677.6,2252012.2,
445,180.97282549278813,8.968864,,,,,,,,,,,294394.3,511138.4,350316.38,533464.56,710418.56,705431.3,
506,180.972942029483,10.18498,,,,0,,,,,,,704839.06,727942.1,1489377.1,745141.75,1406167.0,1498833.6,
48,181.07171012156763,0.38438424,,,,,,,,,,,144346.05,781453.9,177961.02,174822.05,199515.78,209735.28,
387,183.93419945059745,8.770225,,,,38,,,,,,,2.5131494E7,2.6009906E7,1.4033952E7,2.6165806E7,1.4902111E7,1.4791948E7,
457,183.9342365051477,9.040764,,,,10,,,,,,,1.44631E7,1.4897945E7,1.2739519E7,1.5267402E7,1.5411479E7,1.0249911E7,
353,187.86086461033244,8.527316,,,,,,,,,,,255963.12,258213.05,900024.4,287360.56,383416.7,398091.44,
540,187.86098369363037,10.492586,,,,39,,,,,,,2336324.8,2151422.0,880041.7,2017004.0,609457.7,561674.94,
541,189.85797978968495,10.494379,,,,39,,,,,,,1390171.5,1254251.6,415885.34,1190657.4,379005.9,351987.7,
56,191.0196893360836,0.39302158,,,,27,,,,,,,4.7949132E7,4.8217412E7,4.951249E7,5.218115E7,5.436009E7,4.906225E7,
543,191.9462635339747,10.535205,,,,17,,,,,,,2968896.2,2710841.0,2680130.5,2964319.5,2979515.0,3063358.0,
522,192.928722041397,10.359639,,,,,,,,,,,553688.06,559647.3,801989.94,580004.5,703814.7,665910.75,
214,192.92878775268028,7.581889,,,,,,,,,,,0,4108.37,212554.77,35487.805,131027.53,115869.95,
267,194.90571171922159,7.873511,,,,2,,,,,,,12277.974,32587.457,1186140.2,106405.59,1329884.5,1269888.1,
222,194.90571623879464,7.782409,,,,24,,,,,,,36205.402,34054.074,541459.8,71918.07,540921.4,518278.78,
187,194.90572388784437,7.37258,,,,19,,,,,,,11009.238,75926.07,306840.97,51557.36,342409.84,383743.3,
15,194.92736178721498,0.35073856,,,,27,,,,,,,2078770.9,2010848.5,5184725.5,2396808.2,4368655.5,7685430.0,
20,194.93660380246828,0.3531736,,,,27,,,,,,,986827.7,1046362.5,871146.2,1085546.5,829259.7,1302245.0,
25,194.94619601343152,0.3575447,,,,27,,,,,,,1057215.6,1298185.9,528864.8,1266874.2,532747.25,822486.8,
303,195.81072916728894,8.223878,,,,,,,,,,,74936.59,260195.12,31256.828,97859.63,43955.13,27021.473,
345,195.81080197177448,8.468204,,,,30,,,,,,,6560470.5,6843963.5,2068569.9,7272195.5,1926392.6,1964532.9,
538,195.8108226848548,10.449837,,,,3,,,,,,,633903.75,638085.8,292915.34,648927.4,297769.4,278063.44,
344,197.8078588330744,8.464715,,,,30,,,,,,,8296379.0,8563357.0,2681708.8,9178715.0,2460178.2,2535487.2,
536,197.8078821096325,10.4489565,,,,3,,,,,,,812848.44,824483.0,379951.72,835541.75,382679.12,348938.44,
346,199.80491616549432,8.46734,,,,30,,,,,,,3793690.2,4140875.0,387903.03,4229776.5,1145446.2,344687.16,
535,199.8049277030186,10.44984,,,,3,,,,,,,371150.3,356107.44,171585.83,369697.0,168610.95,161810.27,
400,199.92917133346978,8.802412,,,,,,,,,,,2081758.1,1796750.4,714473.8,1792402.4,542283.2,345690.3,
461,199.92922684857209,9.098048,,,,,,,,,,,1448390.8,1923457.6,201257.28,1503553.1,327509.78,216470.03,
97,203.0826633797441,2.2394462,,,,,,,,,,,171680.4,123611.22,467016.78,221742.2,534114.5,1071897.4,
98,204.03016617960364,2.3023162,,,,,,,,,,,398141.88,386315.44,351917.34,501943.06,382279.3,458644.4,
66,205.03521841041712,0.40784845,,,,,,,,,,,412201.38,238230.61,320884.84,709123.7,339248.7,236799.19,
82,205.0352842523722,0.6811707,,,,,,,,,,,418445.4,438209.97,476593.84,849672.94,484448.62,561844.7,
539,205.83964292292126,10.449844,,,,3,,,,,,,1510283.8,1517754.8,1076954.5,1529375.0,1025870.0,964289.9,
537,207.836670867538,10.448959,,,,3,,,,,,,1421180.1,1449596.1,1018436.75,1430306.9,975646.94,909181.7,
24,214.04854738936731,0.35489368,,,,27,,,,,,,160981.0,221368.12,2336182.5,252128.94,2672571.2,2678125.5,
27,215.03271149931302,0.35579893,,,,27,,,,,,,215652.8,155619.55,652213.06,458506.62,765380.0,1061560.8,
268,216.85380566317565,7.8750253,,,,2,,,,,,,0,0,668489.7,0,973149.44,862056.0,
9,216.9093142348902,0.3455321,,,,27,,,,,,,2631140.8,2643556.2,3695901.2,2586641.2,3180489.8,4587443.0,
12,216.91848909819421,0.3498629,,,,27,,,,,,,1296742.9,1503632.5,929820.94,1357230.4,841178.44,1135043.4,
133,217.04230538581896,6.103992,,,,,,,,,,,629246.6,927051.9,481186.7,1829977.4,845823.0,555241.9,
114,217.0423261715439,3.5185509,,,,,,,,,,,2240172.0,2142962.0,1700377.5,2404549.0,1914248.5,2132795.0,
33,225.06148746235704,0.37665728,,,,27,,,,,,,908123.2,1179131.1,1216341.4,1367010.0,1213876.4,1759997.5,
120,227.96663743770185,4.6861577,,,,23,,,,,,,1967331.0,2006223.2,1769908.8,2066591.1,1838150.9,1803878.8,
102,229.09820909019015,2.6082208,,,,16,,,,,,,2972378.5,4054873.2,4051459.2,3480117.2,3797914.2,5254959.0,
105,229.098214168123,2.7313135,,,,15,,,,,,,1455051.0,1967734.5,1895743.1,1666984.5,1845616.4,2537166.5,
381,229.9008301284202,8.732738,,,,12,,,,,,,5484151.5,5895565.5,4951586.5,5738777.0,5252055.0,5197470.0,
458,229.90085223232367,9.059085,,,,10,,,,,,,1076947.5,1213165.6,448090.6,1162258.8,533353.9,342215.47,
118,229.9643994290947,4.6852384,,,,23,,,,,,,1906174.5,1949121.1,1723078.8,2012318.9,1784216.2,1754863.9,
104,230.10146990904101,2.6983707,,,,,,,,,,,187122.86,286131.1,465087.56,227622.8,162285.1,378078.5,
108,233.1030328812916,2.7979395,,,,,,,,,,,520377.2,619133.3,497641.03,781849.06,417133.75,884046.94,
31,242.0797586366273,0.36453876,,,,27,,,,,,,112061.31,86751.15,997828.7,210789.4,1113509.1,1067766.4,
356,243.89916853736395,8.542199,,,,32,,,,,,,4220183.5,5463686.5,4405302.0,4796960.5,4806851.5,4889621.5,
355,245.89471408425376,8.5402975,,,,32,,,,,,,1772938.4,2234600.2,1817124.2,1970232.6,1770158.9,2016705.6,
258,248.96029830342454,7.874395,,,,2,,,,,,,69741.49,282153.34,1037526.3,338763.8,1058218.6,1010993.94,
235,248.96030730909226,7.8206177,,,,24,,,,,,,109831.93,168344.72,816504.9,141806.16,828754.56,906851.9,
441,248.96032008421034,8.967998,,,,4,,,,,,,780418.8,790934.6,1288573.6,802171.2,1364341.0,1321688.6,
196,248.9603260078272,7.371696,,,,19,,,,,,,453311.5,583169.0,957737.4,706937.6,953050.5,1023884.3,
499,248.96038773139023,10.147771,,,,,,,,,,,1393650.0,988041.94,1244097.5,937662.56,907595.2,1257384.6,
482,248.9603897238899,9.614587,,,,,,,,,,,1023440.06,882114.94,1060127.0,2927413.8,1176404.4,1178751.9,
511,248.96039220882923,10.215275,,,,0,,,,,,,807876.5,1443672.0,2323958.5,1351408.5,2291729.0,2278506.0,
489,248.96041204980284,9.931964,,,,,,,,,,,4489353.5,2803187.0,1082891.9,964220.5,1194062.5,1118456.8,
198,253.21718302027,7.3734517,,,,19,,,,,,,300569.03,170231.05,976446.44,378480.88,1171405.6,1498809.5,
227,255.23281980259233,7.7690225,,,,,,,,,,,235784.98,153198.23,282712.72,254486.1,370546.75,442908.28,
21,258.03817240845694,0.35927773,,,,27,,,,,,,58166.75,10904.275,1231079.8,50727.117,1386481.0,1284059.1,
17,259.0222138366357,0.35146844,,,,,,,,,,,333217.75,314692.9,559851.44,521154.6,811028.56,522522.03,
383,265.14772227512833,8.753651,,,,12,,,,,,,678738.9,728480.75,852108.1,689079.56,839030.6,870252.25,
132,265.14785019334226,6.083202,,,,,,,,,,,1071204.6,1406889.5,1104937.0,839902.6,1241907.1,1456497.9,
131,271.2278339866945,6.00103,,,,,,,,,,,39121.234,39633.43,28029.068,95500.016,30301.129,42365.805,
