"","filter","2024_POS_CC_1_Run20.mzML","2024_POS_CC_2_Run47.mzML","2024_POS_CC_3_Run61.mzML","2024_POS_CC-VPA_1_Run26.mzML","2024_POS_CC-VPA_2_Run35.mzML","2024_POS_CC-VPA_3_Run76.mzML"
"138/320.1703mz/3.29min",40905.8265,44587.94,36998.15,42043.977,38441.477,55710.51,39767.676
"139/215.053mz/3.31min",714882.25,548937.3,502543.1,880827.2,497579.38,1323070.6,989236.6
"140/182.1903mz/3.35min",343043.96,366698.97,362229.62,320492.4,323858.3,380840.5,231451.06
"141/245.1284mz/3.39min",3274790.9,3259170,2998391.5,3290411.8,3668925.8,6945503.5,2989813.8
"143/228.2321mz/3.46min",380644.385,374266.97,387021.8,435638.53,338511.03,448942.16,361173.6
"144/264.1335mz/3.47min",973551.25,1062805,737559.6,876122.44,884297.5,1101118.5,1157296.2
"145/213.1597mz/3.51min",214413.695,199110.61,88225.41,229716.78,150939.44,460743.16,246169.31
"148/215.053mz/3.54min",2353786.5,2483226.5,1904962.6,3271536,2224346.5,2712889.8,2085054.5
"149/214.0499mz/3.54min",24926170,27752528,21875316,26346566,24282580,25569760,19675018
"150/274.1648mz/3.54min",820997.5,835814.9,809188.4,832806.6,834730.7,807497.44,770057.06
"151/228.2321mz/3.54min",143574.54,147417.58,139505.05,161905.42,127252.61,181617,139731.5
"152/228.2321mz/3.66min",1956846.95,1943579,1970114.9,2159286.5,1680255.8,2228932.8,1831442.2
"153/246.1335mz/3.67min",207768.625,215748.77,202918.1,201266.3,209579.23,215881.27,205958.02
"154/586.2703mz/3.73min",903559.72,1014120.25,897805.44,367355.75,909314,1265135.1,778768.5
"155/320.1703mz/3.75min",54935.536,70265.625,54729.83,52197.117,55141.242,63683.586,51065.285
"156/195.1379mz/3.83min",89486.742,77177.36,83246.664,99103.6,106147.03,79950.72,95726.82
"157/514.2855mz/3.97min",1054875.15,951709.75,1089534.6,1340759.6,945739,1268559.1,1020215.7
"158/394.2222mz/4.15min",322711.17,340853.97,262886.66,301948.3,309372.62,590222.4,336049.72
"160/321.1738mz/4.32min",748877.13,944117.44,756909.06,690009.6,740845.2,939297.75,714522.1
"161/320.1703mz/4.32min",5067638.25,6276044.5,4979478,4532468,5155798.5,6180318.5,4731913.5
"162/325.1257mz/4.32min",562980.8,694140.5,478547.88,467068.2,593595,716697.2,532366.6
"163/195.1379mz/4.34min",811593.5,826656.94,741257.94,812256.3,810930.7,851382.7,762861.4
"164/364.1965mz/4.4min",411671,492407.03,402542.47,407481.97,415860.03,496726.34,402804.62
"165/226.1801mz/4.42min",1229392.65,1213328.6,1208796.8,1239245.2,1222089.2,1236696.1,1329071.6
"166/244.1906mz/4.42min",835411.65,836944.6,809258.7,819670.94,833878.7,850297.56,929302
"169/408.2226mz/4.47min",502193.135,523569.12,495124.94,503237.3,422492.84,567916.2,501148.97
"170/214.1801mz/4.51min",416829.72,566948.5,409036.22,281583,424623.22,408388.75,724226.6
"171/412.2457mz/4.55min",40716.746,38495.562,35457.67,43226.742,35660.13,46685.75,42937.93
"172/392.1914mz/4.56min",2124146.85,2679363.2,2131720.2,2003049.5,2116573.5,2758971.2,1954955
"173/583.2912mz/4.61min",82245.155,144715.45,39467.914,25571.318,75971.26,96463.87,88519.05
"175/246.2427mz/4.69min",364410.785,421906.94,241016.22,361673.1,275716.66,382105.38,367148.47
"176/583.291mz/4.72min",50352.463,80093.15,28315.516,5795.407,46538.59,70644.93,54166.336
"177/211.9705mz/4.75min",3156412.6,3010576.2,3086185.2,3181167,3163383,3222531.5,3149442.2
"178/213.9685mz/4.75min",3073097,2951436,2976733.5,3062890.5,3083303.5,3196613.5,3087852.2
"179/229.9811mz/4.75min",7480454,7010560,7350487,7657618,7140516,7813506.5,7610421
"180/231.979mz/4.75min",7383628,6890246,7271303.5,7597168,7127723.5,7724055.5,7495952.5
"182/230.9844mz/4.74min",623579.42,586435.44,618256.9,628901.94,606097.94,649332.06,631704.7
"183/232.9823mz/4.75min",624839.67,559345.1,622539.4,637876.25,599733.5,651636.94,627139.94
"184/270.2063mz/4.78min",365231.89,372678.72,331885.22,357785.06,410803.8,716006.4,348432.72
"185/656.071mz/4.78min",1300907.5,1124599.2,1268443.9,1618905.1,1333371.1,1110528.6,1446212
"190/551.2695mz/4.8min",450191.77,427248.25,440641.84,459741.7,362609.94,520448.75,461814.25
"191/568.2961mz/4.8min",14066980.5,14026671,13417324,14107290,11533541,16443734,14251347
"192/573.2513mz/4.8min",1240493.45,1187876.4,1231127.5,1249859.4,984000.1,1489337.4,1388832.8
"193/274.274mz/4.85min",277544.455,286962.53,183454.72,226529.44,268126.38,378058.22,383327.66
"194/230.2477mz/4.87min",404873.99,430348.7,260901.88,379399.28,361308.47,500228.06,481595.28
"195/229.1991mz/4.88min",622123.45,664404.25,658708.5,552259.4,585538.4,581213.4,890384.56
"196/250.1777mz/4.88min",742879.37,782530.8,806940.25,665428.2,703227.94,650862.5,1029458.44
"197/228.1958mz/4.88min",4728675.75,5062860,4957938.5,4184122.5,4499413,4478875.5,6644012
"198/158.1539mz/4.95min",769628.62,798888.1,761025.3,778231.94,780024.7,739763.3,729562.4
"199/640.3173mz/4.96min",686529.35,683654.5,641711.44,712445,543442,761125.3,689404.2
"200/398.23mz/4.99min",936764.25,986272.94,584495.2,932737.4,818093.4,940791.1,1056301.2
"201/371.2742mz/5.0min",58351.605,56089.42,30918.408,60613.79,34476.098,67971.35,72329.586
"202/440.277mz/5.03min",2644606.65,2661892.5,1602689.8,2627320.8,2367295.2,3367184,2984190.5
"203/412.2458mz/5.06min",115738.643,122609.53,80857.24,115685.586,84752.97,115791.7,140989.52
"204/230.2478mz/5.09min",39305.4475,75506.43,44479.016,7331.1274,41955.258,7331.1274,36655.637
"205/398.2301mz/5.1min",3132552.65,3267316.8,2135922,3356334.2,2927551,2997788.5,3629478
"206/426.2614mz/5.11min",169500.295,185890.55,87180.02,172563.95,135088.9,166436.64,207881.66
"207/440.277mz/5.14min",9305829.5,8193631.5,6154331.5,9456741,9154918,11620478,9834457
"208/412.2457mz/5.17min",482588.98,484739.34,358331.8,528420.25,409854.38,480438.62,536890.7
"209/274.274mz/5.2min",333196.76,416781.6,240222.11,325205.22,264052.88,367379.38,341188.3
"210/387.1801mz/5.21min",351992.05,435207.62,353825.66,350158.44,328015.44,695663.06,329565.16
"211/404.2066mz/5.21min",357653.425,452540.28,363168.97,337792.12,352137.88,732672.2,347458.66
"212/426.2614mz/5.21min",308969.28,334620.34,158632.94,321417.06,269163.16,296521.5,354513.12
"213/752.4mz/5.3min",859150,1024753.75,598757.56,825044.6,820706.1,1157168.4,893255.4
"214/583.2914mz/5.32min",10759.039,10759.039,10759.039,53795.195,10759.039,10759.039,10759.039
"215/482.2876mz/5.42min",515350.515,481890.78,265811.56,451697.53,548810.25,857380.2,615143.9
"216/426.2614mz/5.55min",946756.35,932896.2,571551.94,960616.5,825649.06,990351.9,1048641.8
"217/371.2742mz/5.57min",604331.095,591540.94,420440.84,617121.25,498624.75,764113.5,730627.3
"218/468.3082mz/5.6min",250884.47,245384.17,162268,256384.77,220519.97,315047.97,285977.56
"219/678.3631mz/5.63min",493249.565,592393.4,293052.84,394728.75,454220.38,630247.06,532278.75
"220/297.2423mz/5.63min",107509.31,100100.42,57074.367,88048.13,125912.07,204898.45,114918.2
"223/446.2535mz/5.63min",295443.97,318903.28,348832.88,299378.1,291509.84,249585.34,275367.97
"224/415.2113mz/5.64min",1955698.85,2142358.5,2188887.2,1995079.8,1659606.8,1916317.9,1911662.1
"225/432.2378mz/5.64min",2275104.1,2571387,2528331,2266384,1932678.6,2261529.8,2283824.2
"227/581.312mz/5.65min",40590.695,109619.49,4763.4956,952.69912,35158.72,46022.67,77579.72
"228/716.509mz/5.64min",716359.95,1154070.8,642122.44,812701.3,481403.22,694358.8,738361.1
"232/303.3087mz/5.65min",1785193.3,2123404.8,1267029.6,1692953.5,1258789.4,1947035.2,1877433.1
"233/284.2947mz/5.65min",252118.615,303447.9,162967.89,244343.67,166987.75,267088.34,259893.56
"234/302.3053mz/5.65min",9569062,11436500,6792641,8906008,6576869.5,10687920,10232116
"235/426.2613mz/5.66min",3860005.85,3733901.2,2512296.8,4075763.8,3673912.8,3986110.5,4492445.5
"236/307.2478mz/5.68min",450109.98,468750.2,449512.62,450707.34,479228.1,440930.6,443107.7
"237/371.2742mz/5.69min",435185.42,415180.28,294413.38,455190.56,344421.88,630800.75,582830.06
"238/468.3082mz/5.71min",1141475.35,991197.1,755599.1,1152739.8,1130210.9,1385017.2,1272224.4
"239/440.277mz/5.74min",168028.605,172403.81,109346.3,163653.4,133795.95,174552.25,202418.56
"240/328.321mz/5.8min",398244.675,492394.56,282155.47,379713.75,299355,416947.4,416775.6
"243/330.3366mz/5.81min",420912.23,414269.56,316919.5,427820.44,340633.22,501890.3,427554.9
"244/583.2912mz/5.86min",504515.16,523684.66,318543.2,505732.44,503297.88,630097.9,462267.25
"245/345.24mz/5.89min",70891.549,64729.598,41311.836,78309.86,55895,101567.28,77053.5
"246/494.3241mz/5.93min",213782.26,198316.64,127876.414,212074.38,215490.14,253443.45,239749.81
"247/356.3522mz/5.95min",192614.955,199470.02,141983.44,185759.89,155408.44,245010,211283.28
"248/345.2401mz/6.01min",91783.345,87260.39,58890.273,104296.234,73148.516,119849.805,96306.3
"250/583.2912mz/6.05min",623781.9,745941.1,433896.22,607413.1,640150.7,890039.75,606606.7
"251/476.2744mz/6.12min",66758.1525,63723.285,39900.58,69793.02,54386.84,70879.91,70975.66
"252/583.2912mz/6.12min",334383.68,350579.72,213064.66,337968.7,328502.88,444044.7,330798.66
"253/454.2926mz/6.13min",1224191.85,1216362.2,761669,1232021.5,1071879.9,1366982,1377742.9
"254/291.1954mz/6.16min",401394.46,394725.72,264026.38,408063.2,309283.03,436548.75,439263.03
"255/371.2741mz/6.17min",714052.075,712887.75,451548.53,715216.4,543648.94,925230.94,935147.8
"256/257.2111mz/6.18min",188996.18,195239.31,130354.08,193383.67,136418.66,229752.33,184608.69
"257/496.34mz/6.19min",342472.55,303381.7,246698.89,355581.16,329363.94,438764.6,403906.38
"258/468.3086mz/6.22min",49906.719,51121.188,34357.6,48692.25,32970.07,51184.688,54641.93
"259/476.2744mz/6.24min",346672.545,341804.62,274416.44,356181,304034.5,351540.47,406307.44
"260/454.2926mz/6.24min",7474055.5,7430002.5,4988814,7518108.5,6514070.5,8115576,9112685
"261/358.3678mz/6.25min",810652.75,661248.3,692833.2,1627111.8,491988.34,928472.3,1057669.9
"262/331.2301mz/6.27min",238212.11,254930.7,164758.45,221493.52,208965.69,334325.75,306705.4
"263/579.4036mz/6.28min",225699.69,280391.56,184503.02,217586.44,218292.86,233106.52,239810.23
"264/297.2423mz/6.27min",156604.945,148655.23,147407.62,180093.1,164554.66,138937.5,171570.2
"265/374.3627mz/6.27min",167462.02,78463.32,276921.25,699012.5,10652.463,62763.17,256460.72
"266/291.1931mz/6.29min",67508.678,57920.156,40533.88,83952.9,52767.094,99713.14,77097.2
"267/257.2111mz/6.28min",285471.455,286505.03,182462.7,292970.16,242326.47,355642.94,284437.88
"268/395.2766mz/6.3min",369268,382773.7,230807.28,355762.3,321349.7,454919.97,405926.7
"270/480.3082mz/6.3min",3916805.5,4242481.5,2196170,3904135,3605270.2,3929476,4454150.5
"271/496.3397mz/6.3min",3270125.15,2989532,2241376.5,3375466.5,3164783.8,3925736.2,3744951
"272/339.289mz/6.3min",91349.98,103611.766,53475.543,86666.98,93342.94,89357.02,108115.31
"273/959.609mz/6.3min",40363.075,47517.28,9314.742,38872.48,34142.746,41853.67,52341.367
"274/482.3135mz/6.3min",154113.97,165691.4,79410.38,146634.22,131561.23,161593.72,175038.77
"275/502.2901mz/6.3min",204422.565,226039.31,116272.42,207855.53,184426.7,200989.6,227224.72
"276/440.4095mz/6.3min",558101.525,574250.06,553853.75,567721.44,379925.84,562349.3,511476.4
"278/468.3083mz/6.33min",412690.36,406468.56,285673.25,418912.16,316374.1,441153.47,488303.97
"279/544.3365mz/6.37min",51763.836,53293.746,12665.543,50233.926,43560.316,63784.582,63638.176
"280/522.3552mz/6.37min",1202812.4,1212222.2,653791.06,1193402.6,1065652.9,1448563,1433552.1
"281/494.3246mz/6.4min",58890.6015,74577.9,35538.285,61055.848,41710.832,56725.355,67088.7
"282/483.3271mz/6.4min",70928.9225,73095.47,31377.074,68762.375,33997.273,78258.266,99889.16
"286/480.3083mz/6.41min",15678252.5,16565334,8651221,15998008,15358497,14840164,17668122
"287/502.2901mz/6.41min",590318.9,629994.4,402938.12,603201.3,577436.5,572936.7,675128.56
"289/959.609mz/6.41min",595016.8,611287.4,206118.98,610481.4,579552.2,540269.7,734580.75
"290/482.3139mz/6.41min",456891.28,522022.28,288372.75,480881.78,510651.2,334841.88,432900.78
"291/353.2685mz/6.46min",1667995.35,1521326.8,922546.44,1814663.9,1478455.6,2120980.8,1823047.2
"292/583.2912mz/6.46min",999894.28,1024963.5,657958.94,997620.56,948224.94,1150208.8,1002168
"293/440.3578mz/6.46min",98115.005,99839.71,96390.3,85232.69,100750.93,94146.64,103366.8
"294/393.261mz/6.47min",1407544.3,1339754.4,866359.3,1495963.1,1271304.6,1577677.8,1475334.2
"295/508.3396mz/6.47min",40387.717,41868.297,12540.226,38907.137,36044.324,43850.984,60848.65
"296/371.279mz/6.47min",877197.725,807974.25,502538.06,946421.2,771132.8,1159424,1004060.06
"297/544.3369mz/6.48min",284683.85,255326.72,179877.73,294052.8,275314.9,380198.3,352080.16
"298/522.3552mz/6.48min",5430107.5,4799610.5,3364305.8,5548329,5311886,7038922.5,6329740
"299/494.324mz/6.5min",354424.52,356042.94,215864.33,363901.78,281018.66,352806.1,421267.2
"301/365.1358mz/6.55min",466246.24,522036.38,296426.28,462507.6,394162.03,472362.9,469984.88
"302/508.3395mz/6.57min",140199.155,146893.14,75806.875,133505.17,109524.266,151248.53,183435.75
"303/400.3055mz/6.59min",432475.67,451328.5,251977,413622.84,355622.2,540596.2,457974.75
"304/444.3317mz/6.61min",614781.775,650396.7,361575.25,588816.3,527629.06,750013.06,640747.25
"305/488.358mz/6.62min",607237.7,653631,337993.88,588299.9,521135.88,753729.3,626175.5
"306/532.3841mz/6.62min",488593.7,516246.6,284254.53,479786.34,398711.44,603330.4,497401.06
"307/664.4623mz/6.63min",37556.1335,38526.01,13990.719,37071.38,23816.664,39621.562,38040.887
"308/313.1434mz/6.63min",619244.275,667083.25,374542.4,574642.25,499744.56,744089.8,663846.3
"309/576.4103mz/6.63min",310383.26,321578.8,170860.98,299187.72,261514.48,376913.1,324641.8
"310/669.328mz/6.62min",46797.213,57947.742,17006.424,96160.99,88101.16,35646.684,4875.9814
"312/358.2739mz/6.66min",887107,1072762.2,877293.44,819912.5,692284.4,947543.3,896920.56
"313/398.2663mz/6.66min",374420.085,465436.38,330661.7,344556.2,265920.84,412869.4,404283.97
"314/289.2161mz/6.66min",369597.78,268152.3,255270.72,427216.56,332018.56,648884.1,407177
"315/583.2912mz/6.67min",1787013.55,1980099.9,966186.25,1593927.2,1535039.2,2083780.5,2040037.1
"316/283.2631mz/6.68min",2112855.8,2036659.6,1440401.5,2189052,1676630.5,2690957.8,2269449.8
"317/522.3188mz/6.68min",994445.82,1167741.6,231827.39,956361.94,1032529.7,869603.25,1258605.5
"318/265.2525mz/6.68min",377014.68,360203.2,259705.45,393826.16,305992.62,512434.16,428533.6
"321/482.324mz/6.71min",377103.875,388187.78,231938.73,366019.97,332693.12,438988.12,451868.7
"322/581.2756mz/6.71min",195470.125,201791.72,132075.48,184306.94,199201.58,256089.66,191738.67
"323/228.2321mz/6.72min",60260.502,60039.434,50845.383,61009.395,53968.24,60481.57,70363.03
"325/289.2161mz/6.71min",274363.63,237977.33,228754.78,336112.38,240051.38,526558.7,308675.88
"326/395.2767mz/6.75min",48796.15,41471.047,29983.357,41791.73,55800.57,174071.55,91185.02
"327/567.2599mz/6.77min",717022.25,701683.2,693035.56,518358.88,793587.94,955087.1,732361.3
"328/284.1337mz/6.77min",70743.72,73940.195,53117.48,60785.402,67839.37,95341.664,73648.07
"329/297.2423mz/6.78min",1620017.95,1471426.9,1163659.1,1768609,1368638.8,2427392.2,2190432.5
"330/319.2243mz/6.78min",952920,886726,655611.8,1019114,765618.4,1274120,1224768.1
"331/279.2318mz/6.78min",716001.58,629786.56,482344.56,802216.6,606325.5,1157397.1,1019534.56
"333/581.2755mz/6.82min",236247.65,230446.7,172228.12,219921.56,242048.6,292272.62,245438.61
"334/482.3239mz/6.82min",2566533.5,2644683.5,1575998.1,2488383.5,2185067,2801126,2958172.2
"335/508.3396mz/6.85min",99292.5475,100566.945,48741.5,98018.15,92197.03,102005.99,118921.016
"338/567.2599mz/6.87min",645075.15,732913.8,564693.94,528920.2,602350.5,757259.8,687799.8
"339/283.144mz/6.87min",135975.165,145386.92,10066.047,248361.39,287242.25,87895.2,126563.41
"340/669.328mz/6.87min",744810.88,817989.7,141955.81,1355024.5,1680373.8,475931,671632.06
"341/583.2913mz/6.87min",9411.33575,12503.755,1017.9254,34971.58,34256.113,5089.627,6318.9165
"343/283.2631mz/6.9min",574232.22,609630,341006.7,538834.44,518566.47,660696.2,633613.9
"344/265.2525mz/6.9min",59759.97,60746.46,24087.172,58773.48,48979.29,65537.18,82228.984
"345/366.2978mz/6.9min",50181.673,48916.566,21781.145,54410.164,51446.78,44670.902,57084.707
"346/344.3158mz/6.9min",226023.535,189733.34,112735.77,233324.95,286142.6,248493.25,218722.12
"348/524.3709mz/6.93min",374379.84,327195.62,233517.42,369745.88,406427.4,431655.84,379013.8
"349/496.3399mz/6.93min",55976.2305,57260.695,31488.725,54691.766,41418.746,62054.594,61231.363
"351/630.5112mz/6.95min",85153.4475,111745.87,76093.125,94213.77,18643.07,71571.99,104058.2
"352/508.3395mz/6.95min",494775.92,546050.9,249755.6,514311.72,475240.12,453976.22,619269.9
"355/345.2423mz/6.88min",248146.61,271584.16,127509.03,174419.52,224709.06,431923.47,300521.9
"358/702.4962mz/7.01min",18611.2968,18611.2968,18611.2968,18611.2968,339626.4,93056.484,18611.2968
"359/590.4258mz/6.98min",396242.295,435148.2,345716.16,377428.03,418705.47,415056.56,376952.72
"360/546.3998mz/6.98min",403343.08,466106.1,354500.66,391644.94,439175.62,415041.22,390395.25
"362/716.4616mz/7.01min",30796.512,30796.512,30796.512,30796.512,274247.5,153982.56,30796.512
"363/581.2754mz/6.99min",261465.44,254946.48,208188.81,333105.47,145383.7,267984.4,356091.28
"364/700.4895mz/7.03min",3927.66798,1309.22266,6546.1133,1309.22266,3550242.2,1885126,1309.22266
"365/692.5217mz/7.01min",166889.6995,3462.5598,316466.6,17312.799,1172436.5,861776.1,3462.5598
"367/283.2631mz/7.01min",46473.905,22628.363,33128.543,45003.97,47943.84,66956.39,54297.555
"368/366.2977mz/7.02min",41982.455,48060.08,43550.01,40414.9,8082.98,8082.98,52170.164
"369/357.2789mz/7.03min",52248.545,45351.29,27843.951,59145.8,28170.129,113675.52,84731.305
"370/344.3158mz/7.02min",702316.35,710996.5,573794.6,693636.2,475299.06,730122.94,774629.4
"373/297.2421mz/7.06min",69265.435,92143.54,46514.586,67951.92,58750.902,70578.95,74950.445
"377/570.3055mz/7.07min",942594.7,1022029.9,825712.2,931881.5,856625.06,953307.9,962584.2
"379/589.2776mz/7.08min",588242.345,709933.9,567689.25,663690.44,318342.28,349057.6,608795.44
"382/567.2962mz/7.07min",90658020,97834300,78654590,91844910,82123700,92888970,89471130
"383/1133.5854mz/7.07min",2411000.6,2896115.2,1895881.4,2485677,2089496.6,2701574.8,2336324.2
"386/284.1519mz/7.08min",64513170,67823160,55977040,61203180,59019100,75095250,71144500
"389/569.3023mz/7.07min",6444902.5,7098856.5,5669133.5,6387193,6268279.5,6621295,6502612
"390/566.2886mz/7.08min",1064423.85,1073330.2,880849.7,1131377.8,1056270.1,986188.7,1072577.6
"392/336.3259mz/7.12min",602130.9,575735.6,651802.1,741881.56,431363.72,465967.38,628526.2
"393/583.291mz/7.13min",234649.735,239702.42,13339.254,344250.1,366133.12,160830.12,229597.05
"394/376.3183mz/7.13min",82461.5,77708.94,87214.06,100581.2,27639.81,10662.445,87492.22
"395/669.328mz/7.14min",1459657.2,1594994,296443.1,2356453.2,2164391.8,648622.06,1324320.4
"398/403.2324mz/7.16min",251705.935,337880.7,219683.12,255793.48,184530.2,247618.39,262265.2
"400/297.2401mz/7.17min",89621.7,156108.44,63711.74,94991.25,38065.188,84252.15,106522.34
"401/275.258mz/7.17min",215800.695,275558.9,185503.77,183415.75,125417.336,324561.4,246097.62
"402/319.2842mz/7.18min",550404.89,741985.6,523539,576642.25,524167.53,951467.56,479816.22
"403/336.3108mz/7.18min",802620.78,1076857.8,746945.94,849423.06,755818.5,1384082.5,705344
"405/406.329mz/7.18min",53118.0075,85696.21,34921.625,71314.39,17397.416,13266.749,77606.26
"406/556.4415mz/7.18min",212902.04,325206.25,165980.73,181141.84,280394.75,218675.78,207128.3
"407/384.347mz/7.18min",152317.595,156524.22,164877.11,148110.97,115384.3,100093.33,158905.75
"408/363.3104mz/7.19min",302722.64,368717.9,262229.12,303541.25,301904.03,413874.06,213817.42
"409/380.3369mz/7.19min",908740.72,1153680.1,837024.4,890971,926510.44,1246538.2,646742.94
"410/512.4154mz/7.19min",318860.455,508764.25,268122.3,263585.8,423900.94,355151.66,282569.25
"411/424.3631mz/7.19min",732054.82,984443.8,639587.7,662524.44,801585.2,916071.4,540659.94
"412/468.3891mz/7.19min",488000.55,724471,405666.6,402769.6,605073.4,570334.5,364837.94
"414/583.291mz/7.21min",93372.162,98345.984,13339.254,172478.7,181110.25,65669.38,88398.34
"415/669.3281mz/7.21min",1038338.32,1131626.2,229194.53,1850537.5,1586171,508738.62,945050.44
"417/366.3mz/7.27min",328475.385,437725.12,178060.16,372269.3,182904.1,284681.47,458652.7
"418/693.525mz/7.31min",252557.37,17055.248,85276.24,605105.9,1156902.1,419838.5,17055.248
"419/406.2924mz/7.28min",209357.62,430585.75,67993.055,323153.88,59267.13,95561.36,424142.7
"420/353.3244mz/7.28min",274715.495,305652.6,243778.39,425478.6,166747.62,97912.94,360989.94
"421/352.3209mz/7.28min",1233437.2,1369743.5,1089660,1998155.9,825288.9,1097130.9,1677166.4
"422/374.3027mz/7.29min",394272.5,566049.75,212531.94,766498.25,135710.75,222495.25,679295.75
"423/760.5839mz/7.3min",789218.92,23376.368,2374473.8,116881.84,23376.368,1461556,2676761
"424/566.2839mz/7.3min",1130788.6,1599100.5,886228.6,1075027.4,796639.5,1250478.1,1186549.8
"429/283.144mz/7.3min",564316.475,645186.9,562244.25,536754,514845.4,748014.75,566388.7
"430/565.2805mz/7.3min",2932279.65,4097843.5,2380069.5,2810121.5,2029736,3217064.5,3054437.8
"432/714.5029mz/7.3min",140152.055,20951.028,175548.97,104755.14,392154.56,312392.38,20951.028
"433/700.4882mz/7.3min",7292472.462,925.5848,14580317,4627.924,18231112,20686512,925.5848
"434/716.4617mz/7.3min",445427.664,148475.888,742379.44,148475.888,1179628.5,1239320.8,148475.888
"435/702.4952mz/7.3min",724480.56,241493.52,1207467.6,241493.52,1766080,1460739.6,241493.52
"436/692.5218mz/7.32min",1445590.4,223194.78,1115973.9,1775206.9,3533990,3444904.2,223194.78
"437/718.5373mz/7.32min",588252.55,75898.856,379494.28,674036,1244599.4,2116533.5,502469.1
"439/706.5363mz/7.33min",670546.11,56280.624,56280.624,6521818.5,1059689.1,281403.12,1137164.4
"440/423.3619mz/7.3min",131984.515,115329.93,24425.902,250685.66,45608.008,148639.1,151235.02
"441/808.5838mz/7.3min",106119.648,35373.216,344274.44,35373.216,35373.216,176866.08,365925.97
