"","filter","2024_POS_Anid-EV-alcA_CTRL_1_Run176.mzML","2024_POS_Anid-EV-alcA_CTRL_2_Run197.mzML","2024_POS_Anid-EV-alcA_CTRL_3_Run229.mzML","2024_POS_Anid-p2_1_Run179.mzML","2024_POS_Anid-p2_1_Run220.mzML","2024_POS_Anid-p2_1_Run241.mzML"
"801/227.1389mz/2.04min",233670.295,301444.03,954287.6,617677.4,62087.504,41548.867,165896.56
"802/300.1551mz/2.06min",52281.789,202859.28,560253.6,28603.447,44798.215,59765.363,40029.676
"803/218.0811mz/2.04min",471408.69,541167.56,756540.9,465197.22,285593.6,477620.16,217419.94
"804/139.0502mz/2.04min",219937.6525,3821.2788,3221.499,17231.365,427824.53,1871502,422643.94
"806/178.0498mz/2.04min",14848.406,2765.0678,2765.0678,412195.94,13825.339,113736.93,15871.473
"809/329.1342mz/2.07min",291653.49,305458.1,103498.02,837266.94,277848.88,498876.1,121759.516
"813/203.139mz/2.06min",583991.475,379150.75,521088.25,339052.22,845615.3,646894.7,1060292
"814/192.0649mz/2.05min",11467.132,1711.7704,1711.7704,915367.6,14375.412,35737.01,8558.852
"816/181.0971mz/2.06min",784043.35,796541.2,781577.7,238856.86,786509,812264.9,645855.4
"820/220.0968mz/2.06min",1344594.05,1324940,1644838.4,1613000.2,1180296.5,1364248.1,1276162.2
"821/189.1233mz/2.06min",1775000,1962856.8,2954625.5,1587143.2,1459114.2,1542644.8,2484745.5
"822/199.1077mz/2.06min",20383559,19857676,21181664,5273755,20909442,23032636,19661094
"826/215.139mz/2.06min",14217391.5,9906594,11861938,26449320,12729399,15705384,16568710
"827/188.0376mz/2.06min",885492.63,3951480.8,4226845,1426887.6,31452.484,344097.66,56421.555
"828/230.1386mz/2.06min",495233.64,3895.355,10571.717,834445.7,1244374.4,156021.58,1566410.2
"834/200.1111mz/2.05min",1281301.5,1375670.5,730524.3,169005.1,1824205,1575010.6,1186932.5
"839/295.1288mz/2.11min",773531.1,795095.1,834664.9,935658.25,266246.4,388725.03,751967.1
"842/247.1288mz/2.08min",650675.325,622576.75,806636.7,793591.5,296070.84,308271.62,678773.9
"845/192.0632mz/2.09min",100871.355,2442413.2,2584514,7513.443,76236.35,125506.36,37567.215
"846/456.2334mz/2.08min",82916.9675,29400.674,60291.49,14260.175,105542.445,920113.1,108689.85
"849/206.0422mz/2.08min",2606659.15,3673560,2687542.5,2795497.2,2393388,2178125.5,2525775.8
"850/184.0604mz/2.09min",10940895.5,13722705,21537064,13153495,6913632.5,8422847,8728296
"851/185.0637mz/2.08min",621219.975,1165207.5,840189.7,1102033.1,221582.86,402250.25,300518.28
"852/201.087mz/2.09min",2974789.8,3188467.8,3779583,4911283.5,999029.3,2400519.2,2761111.8
"854/226.071mz/2.09min",2628220.75,1585607,2208679,2372544.5,4985480.5,6133390.5,2883897
"855/199.1442mz/2.09min",17558.3925,3672.999,28932.445,668654.4,6184.34,4057.0195,57481.176
"858/153.0742mz/2.1min",15247.803,766781.94,951116.3,11373.854,7031.56,19121.752,10016.858
"859/152.0706mz/2.09min",1606213,11012264,15113973,1691148.5,652220.7,1521277.5,910375.7
"862/222.0798mz/2.1min",1292613.75,1746543.8,1756767.1,1419555.6,606523.06,339551.03,1165671.9
"863/233.1131mz/2.1min",612472.6,102822.09,51941.133,2088846.8,699672.9,525272.3,934927
"866/220.0601mz/2.11min",455312.77,411001.94,711189.3,863268.3,374574.7,414910.16,495715.38
"867/282.1195mz/2.01min",2018138.15,109269.78,176707.33,3769436.8,2625055.5,1411220.8,2913417.2
"868/255.0963mz/2.12min",191355.96,22216.797,47698.543,677799.9,230269.17,152442.75,295161.25
"872/227.1217mz/2.12min",1190857.1,1378874.4,1685885.1,54993.973,1043199.2,1338515,684998.4
"877/226.1185mz/2.12min",12315321,20326682,25086366,1150729.9,10983210,13647432,7394805.5
"879/244.1907mz/2.12min",459973.6,423693.53,428852.1,457462.1,694252.2,557796.5,462485.1
"880/331.1863mz/2.12min",235495.11,804572.94,1735646,171943.84,32823.703,210128.97,260861.25
"882/216.0865mz/2.13min",440729.11,614841.56,1156047.6,121552.78,452316.66,354108.28,429141.56
"883/370.1602mz/2.13min",126045.692,130333.664,628015.06,170272.81,46065.08,121757.72,53087.715
"884/233.1497mz/2.13min",1279105.85,692653.3,1042838.1,955909,1930382.5,1515373.6,1684574.2
"886/262.1186mz/2.13min",178374.305,670968,976224.5,34481.355,111004.94,245743.67,26049.156
"888/243.1338mz/2.13min",572975.35,541221.9,604728.8,1022897.7,278270.38,489432.12,639696.1
"891/149.0709mz/2.13min",1301231.3,1340187.1,2670773.8,977791.6,1262275.5,1673063.2,977410.4
"894/254.1861mz/2.13min",216898.18,211286.7,1013238.94,960432.25,172582.27,29236.219,222509.66
"895/146.1175mz/2.12min",156242.695,1193992,1432932.6,136448.62,64048.52,100108.07,176036.77
"898/261.1444mz/2.14min",924682.27,924630.44,1126142.5,1004858.2,369355.53,425432.22,924734.1
"902/254.1386mz/2.14min",1190071.25,100796.695,117228.43,6653244.5,1102957,1277185.5,1780864.5
"903/179.0814mz/2.16min",885616.6,179994.31,365849.1,181434.84,3437439,4348898,1405384.1
"904/281.1132mz/2.15min",1597915.69,106716.266,345510.38,51834.97,5260217.5,5996158,2850321
"907/257.1132mz/2.15min",1821402.4,2561969.8,2949579.2,1780238.6,1299594.1,1862566.2,1695864.5
"908/181.0859mz/2.14min",42717.6575,5531.825,5531.825,793695.8,27659.125,101639.38,57776.19
"909/207.1128mz/2.15min",59734.862,231868.2,539156.25,4155.809,19064.834,100404.89,10651.502
"911/284.1239mz/2.14min",533183.62,1888947.4,2250720,92492.77,365113.28,650175.44,416191.8
"912/158.0812mz/2.16min",2326463.7,2670762,4675272,6221414.5,1154264.1,1632809.2,1982165.4
"914/186.1125mz/2.15min",616239.75,254703.39,345902.62,688107.8,908212.1,544371.7,986823.44
"916/324.1917mz/2.15min",2779170.4,3599872.2,3912160.8,5063895.5,280389.7,1958468.6,829626.56
"918/214.0711mz/2.16min",754342.375,1125556.6,1410276.6,378223.2,630613.2,866957.25,641727.5
"927/169.0688mz/2.17min",36544.4475,665591.3,1166303.6,2039.0316,10195.158,53675.465,19413.43
"928/190.0861mz/2.2min",58085.9904,357380.84,987629.75,96809.984,19361.9968,19361.9968,19361.9968
"929/241.1546mz/2.17min",793956.65,1044944.8,2057273.4,1277800.5,372729.94,542968.5,337821.12
"931/168.0655mz/2.17min",1837540.7,9682978,14182017,40142.64,949646.8,2231134.5,1443946.9
"932/126.0549mz/2.17min",511589.59,3483121.2,4738262.5,17565.797,258273.48,764905.7,214083.89
"935/190.0474mz/2.17min",83554.196,2234327.5,1984319.6,6312.3676,31561.838,121808.65,45299.742
"937/242.1mz/2.18min",3127233.2,1751898.1,1748486.1,6464803,4399583.5,1854882.9,4971172.5
"938/254.1022mz/2.23min",546007.95,541472.3,607339.4,634654,197263.5,275697.38,550543.6
"939/233.1576mz/2.19min",4513506.75,310239.72,319543.88,6411954,8537791,2615059.5,11208440
"943/221.1212mz/2.18min",2194042.15,1119267.9,1431027.8,6604214,2957056.5,1299512.6,4028750.8
"944/202.1072mz/2.18min",1824243.95,626917.3,1179951.1,3138995.5,1995592,1652895.9,2433335.8
"945/220.1179mz/2.18min",23338683.5,11846775,15116501,68317180,31560866,13717391,42138708
"946/342.1658mz/2.18min",2906743.75,2857549.5,6459406.5,1029639.44,2955938,3461276.8,2529022
"947/461.2103mz/2.18min",590477.1,47496.582,153272.12,2479193.5,944206.56,236747.64,1338349.8
"949/100.0392mz/2.18min",48481.9625,668427.44,908757.5,3352.6726,24286.764,64170.535,32793.39
"950/184.0968mz/2.19min",534916.405,472289.56,767026.8,860650.56,463399.56,281980.94,597543.25
"951/243.1038mz/2.18min",177255.735,59311.836,60878.605,519953.78,255064.58,99446.89,390704.9
"952/90.0549mz/2.17min",157756.185,88526.31,59631.445,357104.94,226986.06,51323.727,241216.45
"954/352.15mz/2.19min",71725.49,50490.54,790148,17732.297,92960.44,141781.58,22206.014
"955/169.0971mz/2.19min",904291.725,713929.1,660477.4,816111.7,1078815.8,1165131.9,992471.75
"956/266.1022mz/2.2min",454162.565,496318.47,539901.06,412006.66,125611.5,556489.94,307583
"960/299.1235mz/2.16min",157167.845,875984.1,1044107.9,44646.496,131406.72,182928.97,38441.63
"963/232.1543mz/2.19min",38604262,3337144.5,5032907.5,54027356,71518060,23181168,94097430
"965/251.1026mz/2.19min",2326802.85,2299696.2,3309104.2,216484.94,2353909.5,3242277.5,1887335.2
"968/227.1026mz/2.19min",7462856.25,8228367,14089481,5392118.5,6750527.5,8175185,5733965
"973/345.1291mz/2.2min",960258.22,1122858.2,1445507.1,627062.3,851036.44,1069480,781516.8
"976/256.1291mz/2.2min",585184.58,1962543.4,906393.75,133668.69,465221.1,705148.06,136572.81
"978/206.0811mz/2.2min",314268.89,401620.38,379923.75,92503.68,248614.03,449389.97,222509.75
"979/228.1058mz/2.19min",148013.883,225591.97,1461330.6,182138,113889.766,59951.05,78996.14
"983/307.9777mz/2.21min",324134.325,2445821.5,3310371.8,53183.188,105791.28,364184.53,284084.12
"985/295.1288mz/2.19min",1326938.2,2150757.8,2421252.5,86490.78,1094193.2,1559683.2,269847.34
"989/172.0967mz/2.21min",172430.5875,551339.4,1045318.1,100771.625,30583.562,244089.55,79201.35
"993/153.0658mz/2.2min",764264.905,206397.31,209994.77,777210.06,751319.75,858513.2,857380.75
"995/234.076mz/2.21min",844528.75,843377.06,1101376.2,1232675.2,638247.5,845680.44,754253.1
"997/250.1186mz/2.21min",444027.345,610572.94,2350664,211479.84,426085.97,461968.72,147246.88
"1003/499.1488mz/2.21min",374718.883,1944.3132,1944.3132,9721.566,1005971.56,739716.2,842804.3
"1004/139.1229mz/2.22min",661442.575,821825.4,2136288,3466394.8,353173.5,501059.75,285699.94
"1005/384.1148mz/2.22min",1149760.7,413998.38,815406.75,1165044.8,2105253,1134476.6,2587840.8
"1010/247.1287mz/2.23min",1288088.2,2035873.4,1507282.8,1700399.2,840500.75,1047494.5,1068893.6
"1012/184.1695mz/2.23min",2248117.1,1758225,1916051.6,2317416.2,3342033,2591455.5,2178818
"1017/197.1285mz/2.25min",175987.83,191474.06,287632.62,685722.44,84078.445,160501.6,102942.86
"1018/356.2179mz/2.23min",557028.46,388638,1747749.1,757246.56,416032.62,242667.64,698024.3
"1020/358.1971mz/2.23min",150654.97,48335.227,144154.6,994995.1,157155.34,72458.305,327178.53
"1025/237.0869mz/2.23min",3663666.6,1438545.6,1879496.1,2080185.2,5247148,6607824.5,5990658.5
"1026/319.1135mz/2.23min",1052305.62,114088.37,270978.44,196575.11,3162916.2,1833632.8,2541502
"1027/213.1234mz/2.24min",620174.845,626450.75,613898.94,657535.56,431130.44,765627.2,603836.56
"1028/179.0815mz/2.24min",1018946.175,260680.39,409676,689988.25,1469413.8,1895978.4,1347904.1
"1029/300.1078mz/2.24min",728886.55,651346.25,156864.84,689548.2,768224.9,1671498.2,1182907.4
"1031/267.0975mz/2.24min",955159.58,981258.06,1161434.8,929061.1,812529.7,1283830,806523.9
"1039/279.1339mz/2.24min",1428449.2,836182.56,780100.8,2624496.2,1469419.5,1387478.9,1670680.9
"1040/192.069mz/2.25min",891118.05,950436.5,831799.6,1372629.6,590017.94,504875,1044261.8
"1041/398.1411mz/2.25min",81476.44,61147.12,84325.09,78627.79,462340.2,54409.21,435798.2
"1043/247.111mz/2.25min",240731.1335,12649.5414,12649.5414,802647.8,418214.56,63247.707,752512.75
"1044/214.0508mz/2.25min",355045.045,448611.12,297222.12,437971.03,203881.03,206974.17,412867.97
"1045/280.1375mz/2.24min",171452.1,65535.387,63532.637,336352.75,192535.2,150369,205875.55
"1046/334.1283mz/2.27min",6624.063,558931.7,347245.66,11040.105,2208.021,2208.021,2208.021
"1048/174.0583mz/2.24min",204467.265,158683.72,238513.17,413955.34,170421.36,151620.81,333881.9
"1051/142.0862mz/2.25min",97469.665,46342.496,42155.4,469335.88,53946.06,140993.27,232927.03
"1056/241.1182mz/2.26min",1052305.3,1425392,2030617.2,1172442,784514.9,932168.6,807563.56
"1057/255.1339mz/2.26min",497161.36,487283.6,563555.25,554234.6,495345.78,498976.94,398529.1
"1058/295.1651mz/2.26min",85741.895,353139.7,710900.4,18090.135,73114.98,70414.78,98368.81
"1062/200.1045mz/2.26min",2933170.25,3114178.2,2435376.2,2455286.8,3585231.2,2996973.5,2869367
"1063/188.0705mz/2.26min",10178740.5,13583502,22880242,11776793,5612459.5,6476123.5,8580688
"1064/205.0971mz/2.26min",8662098.5,10775515,19258568,10226726,4568278,5576866,7097471
"1066/218.1281mz/2.26min",3822245,3855651.5,3414292.2,3471736.8,4528864,4159125.5,3788838.5
"1068/409.187mz/2.26min",127560.08,151594.38,511271.6,240715.47,27557.734,42909.72,103525.78
"1070/312.1299mz/2.26min",293113.44,33173.934,52622.395,685629.4,341684.8,244542.08,361777.34
"1075/316.2229mz/2.27min",51605.908,52646.023,90819.195,438182.1,7726.037,50565.793,15790.084
"1076/448.1921mz/2.27min",758053.375,855065.44,1344487.2,750967.75,583263.1,765139,642594.06
"1078/213.1598mz/2.23min",17385.3285,16670.207,66576.23,465822.47,15846.415,6799.9517,18100.45
"1080/316.1977mz/2.28min",180592.1325,4873.341,4873.341,1347717.6,362722.12,24366.705,336817.56
"1082/292.1655mz/2.28min",1398667.65,4493765,9809839,1494085.2,360520.16,1303250.1,447395.7
"1084/399.1695mz/2.28min",42136.9335,3794.607,3794.607,1308849.5,18973.035,65300.832,86329.95
"1085/410.138mz/2.29min",37216.3535,3165.6152,633.12304,1144000,32662.125,41770.582,115403.16
"1088/195.1226mz/2.28min",492244.63,465462.2,701341.56,501588.56,463868.97,482900.7,602089
"1089/263.139mz/2.28min",287111.36,276492.78,330729.84,360612.06,187108.58,156726.62,297729.94
"1090/217.1045mz/2.28min",398927.935,412053.97,423272.03,240069.19,430215.75,342384.7,385801.9
"1091/277.1546mz/2.29min",207415.1625,4101.9746,9935.355,820.39492,404894.97,789033.8,419658.3
"1093/332.1127mz/2.29min",154051.505,364067.2,287946.44,444468.97,4031.314,20156.57,4031.314
"1094/345.0603mz/2.29min",135318.86,676594.3,990877.5,135318.86,135318.86,135318.86,135318.86
"1096/220.0969mz/2.29min",680942.73,755895.56,796566.25,234460.44,605989.9,872922.6,533812.56
"1101/198.0762mz/2.29min",1574325.9,2343742.8,2331142.8,1099482.1,1563559.9,1585091.9,1433788.2
"1102/261.1443mz/2.26min",252954.15,479054.03,1089958,79763.25,370609.78,27174.504,135298.52
"1107/221.1575mz/2.3min",174082.565,39815.527,135246.08,504903.97,212919.05,64331.316,378950.72
"1108/347.1448mz/2.3min",1923679.7,2802167.8,3561497.8,1771569.5,1720087.6,2075789.9,1673837.2
"1109/219.1128mz/2.3min",546855.975,488784.2,604927.75,380386.47,389611.28,781587.56,612795.9
"1110/184.0968mz/2.29min",994300.97,388781.4,115310.55,2094630.9,830014.44,1158587.5,1267303
"1115/331.15mz/2.3min",382390.71,505180.88,1225263.5,337388.1,302862.56,421446.22,343335.2
"1116/234.0759mz/2.3min",461894.235,442739.25,585087.1,563703.2,388864.8,481049.22,432070.06
"1117/223.1076mz/2.3min",667232.03,394627.2,456471.7,531520.56,805986.94,884167.8,802943.5
"1118/158.1175mz/2.3min",523758.66,260726.92,532737.2,1119783.5,514780.12,262797.1,926289.56
"1119/220.1542mz/2.3min",2189349.6,1056060.4,2201766.2,4759693,2176933,1190139.5,3775043.5
"1120/202.1437mz/2.3min",3514021.1,1674393.2,3719763.2,7384323,3308279,1765829.4,5773522.5
"1122/203.147mz/2.3min",321256.885,126546.2,341080.3,691154.06,301433.47,72749.11,561676.25
"1124/250.1186mz/2.26min",260879.055,248494.64,1412212.1,151176.56,273263.47,290962.2,238083.31
"1125/292.1179mz/2.34min",348271.36,532155.44,433401.25,558381.8,200540.77,258344.89,263141.47
"1126/257.1132mz/2.26min",341264.53,1561053.4,2273255,68255.91,406606.03,275923.03,115928.62
"1127/301.1757mz/2.3min",301856.61,264962.75,493332.7,140757.7,546082.8,106208.44,338750.47
"1128/307.1288mz/2.32min",178715.099,539785.44,780621.75,295771.28,14613.447,61658.918,43281.85
"1130/245.1495mz/2.31min",666817.155,65799.52,55377.516,1468666.8,815666.56,517967.75,968596.9
"1134/280.129mz/2.31min",957331.58,1068343.4,3006554.8,572661.8,923310.06,991353.1,733550.6
"1135/113.0596mz/2.31min",1285275.325,837920.5,876856.7,1604192.4,1797528.6,966358.25,2239063.5
"1139/139.0866mz/2.32min",1732027.65,1648061.5,981257.2,987786.4,1827011.8,2589699.8,1815993.8
"1140/193.1335mz/2.31min",100989.165,313489.3,742193.2,106384.67,82545.07,80223.25,95593.66
"1141/358.1494mz/2.32min",337368.33,221478.2,167869.27,1027940.3,288620.38,453473.28,386116.28
"1146/166.0862mz/2.32min",475355.03,498130.5,875047.8,683537.2,296076.56,452579.56,441247.72
"1147/206.0448mz/2.31min",162670.43,85606.33,17141.125,161504.2,241813.92,163836.66,247533.34
"1149/244.2012mz/2.34min",434575.41,508671.22,423110.03,431713.2,638073.06,437437.62,335737.4
"1151/231.1702mz/2.32min",1775240.9,1310463.9,2040806.9,1681052.8,2218554.5,1869429,1646718.8
"1152/239.1023mz/2.31min",114122.78,527428.94,488032.84,24502.197,95872.56,47797.984,132373
"1153/301.0706mz/2.32min",57762.724,288813.62,524123.94,57762.724,57762.724,57762.724,57762.724
"1156/276.1342mz/2.34min",280116.69,823572.06,1620865.4,171512.02,222438.98,337794.4,145746.75
"1157/186.0761mz/2.32min",894822.88,890141.06,899504.7,855971.9,1203564.9,975068.94,559515.2
"1160/197.1285mz/2.3min",281329.055,97145.22,141108.55,635066.75,356263.5,206394.61,365488.4
"1161/362.1921mz/2.33min",237742.935,73861.65,193596.81,352460.9,238902.81,236583.06,310824.47
"1162/308.1128mz/2.33min",705378.5,2811405,3003582.2,779468.9,449820.8,631288.1,506462.94
"1165/244.0816mz/2.31min",226636.3,1558447.4,443823.84,167635.38,180729.22,123326.375,272543.38
"1167/465.1978mz/2.33min",126318.3825,125114.37,537091.2,9271.893,174657.38,125276.46,127360.305
"1168/262.1186mz/2.34min",421053.61,547123,1365207.1,241268.02,346318.88,495788.34,243243.05
"1170/275.1601mz/2.34min",116876.425,192006.97,288802.7,26623.021,50992.766,153900.55,79852.3
"1171/241.1546mz/2.34min",1244694.6,1641261.8,4302648,1608298.8,802892.3,824281.3,881090.4
"1172/226.1076mz/2.29min",50410.707,532332.06,1096343.8,39006.086,15968.814,55069.414,45752
"1174/254.1022mz/2.34min",1928974.85,2597944.5,3282828.2,1011084.5,1728847.9,2129101.8,1288246.4
"1175/363.1662mz/2.34min",527155.4,533587.9,2270675.2,230172.38,520722.9,550321.44,265771.34
"1178/237.1232mz/2.34min",382118.625,54513.746,270998.5,338284.78,496324.16,425952.47,471665.5
"1183/139.1229mz/2.34min",433080.99,263841.2,941382.25,2768497.8,484972.6,316189.22,381189.38
"1185/164.0706mz/2.35min",655826.02,573354.8,657135.6,913358.44,537353.9,701417.8,654516.44
"1186/267.0975mz/2.32min",168364.345,132133.12,69765.66,141783.66,347723.16,194945.03,255211.61
"1189/210.076mz/2.33min",2198335.65,1821660,2239003.5,3171149,1723377.6,2157667.8,2506732.8
"1190/190.0861mz/2.34min",655910.74,1653793.6,3340554,1261503.5,18548.701,50317.98,24594.775
"1191/261.1443mz/2.31min",296811.34,455629.4,1433900.6,340776.66,252846.02,27174.504,206234.25
"1192/281.0992mz/2.35min",269305.48,239143.92,279768.56,414037.28,258842.4,232749.66,308521.88
"1194/345.1291mz/2.35min",586924.91,981239.1,1119229.6,299487.8,495300.5,675283.6,498566.22
"1195/254.1499mz/2.36min",320325.47,355918.47,492115.44,520238.47,194617.38,284732.47,236735.36
"1196/165.0909mz/2.36min",48669.3385,48583.38,36063.53,1395594.8,48755.297,31175.107,72994.32
"1197/213.1233mz/2.36min",480643.14,638488.5,700756.5,289927.44,317645.72,528886.94,432399.34
"1199/236.0916mz/2.36min",2170307.35,2166141.2,2828308,2223361.2,1717983.4,2174473.5,1677951.5
"1201/403.2071mz/2.36min",425024.865,454113.7,771216.7,14199.973,852508.2,312369.38,395936.03
"1203/240.0864mz/2.36min",405886.385,907776.1,767232.44,423925.47,229713.9,387847.3,332452.66
"1204/337.1506mz/2.36min",97575.245,97416.67,520457.53,48086.055,97733.82,121439.9,55929.023
"1206/220.1181mz/2.32min",836256.33,275648.3,563310.56,2531813,981445.56,691067.1,1846103.1
"1212/257.1131mz/2.33min",370934.46,2018741.5,2303312.5,178030.88,237259.22,504609.7,53277.348
"1215/287.1026mz/2.37min",526481.77,894275.25,1236639.6,79186.87,210223.31,770617.6,282345.94
"1217/244.0534mz/2.38min",316987.89,600337.75,459778.44,141089.78,305908.5,328067.28,197899.97
"1218/330.2387mz/2.37min",637741.29,851992.2,914111.25,2351921.2,199141.52,423490.38,316240.5
"1219/214.071mz/2.38min",1130136.2,1194564.4,1611573.8,950022.7,1131270,1129002.4,1003500.2
"1226/443.0731mz/2.38min",851526.32,1349697.8,1690145.8,747650.94,624735.25,955401.7,649504.7
"1227/187.1076mz/2.38min",730169.92,352519.34,655239.94,845068.94,805099.9,601071.7,893971.6
"1229/206.081mz/2.36min",368961.355,757015.9,896033.1,604863.4,12127.723,133059.31,31319.094
"1230/242.1022mz/2.38min",1580611.3,1795408.5,2216383.8,1490580.6,1525119.1,1636103.5,1502828.1
"1234/220.1081mz/2.38min",953116.75,363042.72,946489.8,639443.7,1109079.4,1293929.4,959743.7
"1237/244.2012mz/2.39min",778095.595,797091.94,685392.06,623664.6,1219437.5,1052150,759099.25
"1239/295.1288mz/2.39min",442199,392087.06,420184.9,450329.6,518274.72,434068.4,589102.25
"1241/170.0811mz/2.4min",752657.55,732103.7,724063.4,1002870.9,641923.25,829911.3,773211.4
"1243/195.1128mz/2.39min",1271578.2,1370700.6,1606029.4,1523085.8,1172455.8,1151239.8,1048045.75
"1244/193.0971mz/2.38min",151073.14,49403.62,125606.875,150170.58,320540.38,266928.88,151975.7
"1246/260.1128mz/2.4min",1213901.4,665110.7,1031511.75,1904665.2,1290530.8,1137272,1656772
"1247/209.0919mz/2.39min",69838.47,19506.535,66236.72,322401.44,73440.22,103951.04,58957.914
"1248/295.1652mz/2.4min",112376.44,53422.97,92654.26,185729.11,132098.62,89115.55,384443.72
"1249/300.1441mz/2.39min",177596.785,227156.75,283965.1,102601.664,86881.68,233663.8,128036.82
"1250/146.06mz/2.4min",715849.98,996767.56,790694.56,3355638.2,509616.22,568431.75,641005.4
"1251/377.119mz/2.4min",144362.63,15850.51,4676.1846,6402.4985,316522.2,272874.75,366604.8
"1252/140.1434mz/2.4min",351660.44,336065.6,294255.88,162125.64,444705.8,380737.84,367255.28
"1256/288.1553mz/2.42min",53632.4775,22722.531,54672.51,587616.25,105932.82,4544.5062,52592.445
"1257/292.1179mz/2.4min",515487.175,584354,1586602.4,573266.6,342424.72,457707.75,376370.47
"1258/337.1393mz/2.4min",569469.7,831310.44,811784.75,424830.2,452763.34,644279.8,494659.6
"1260/226.1185mz/2.39min",510964.795,739642.4,765251.06,3463.9124,399476.34,622453.25,287686.03
"1261/255.1339mz/2.4min",630439.57,646572.94,887149.5,627300.9,604865.4,628218.2,632660.94
"1262/197.0921mz/2.4min",979934.155,1264674,1046987.56,457885.8,912880.75,1449819.1,850391.5
"1265/336.1916mz/2.41min",154670.825,862293.75,1576933.4,114559.6,41412.242,194782.05,13625.887
"1269/194.0812mz/2.41min",317918.02,321301.88,448603.66,420674.62,290283.5,292755.34,314534.16
"1270/334.1755mz/2.39min",45935.75035,331640.6,668705.94,7354.5557,3300.1558,84516.945,4970.6646
"1271/435.2236mz/2.41min",14403.584,217363.19,473825.62,3078.795,615.759,25728.373,615.759
"1272/224.0916mz/2.41min",526975.2,524293.7,715715.94,435020.72,530207.75,529656.7,517916.1
"1273/258.097mz/2.42min",167287.03,123877.66,160617.81,103251.15,308127.4,240269.61,173956.25
"1275/229.1546mz/2.41min",14980167.25,4508739,4012148,36244980,21935306,8025028.5,27102232
"1276/218.1387mz/2.41min",196112.405,191924.23,32124.781,71498.31,290037.88,200300.58,236020.45
"1279/212.0917mz/2.41min",3334917,3414020,4345521.5,3826315.5,2830030.5,3255814,2977490
"1281/171.0764mz/2.42min",322992.18,49767.316,49767.316,1902054.5,397147.78,248836.58,726408.44
"1282/183.1127mz/2.42min",952568.595,891450.25,673554.6,308186.2,1074720.2,1200491.6,1013686.94
"1283/337.1953mz/2.41min",11395.05015,145257.61,263744,3296.3103,659.26206,19493.79,659.26206
"1285/249.1233mz/2.42min",599291.3,541639.1,601285.6,733663.4,597297,617191.94,586718.2
"1288/152.0706mz/2.42min",310983.725,443383.2,601062.75,497761.16,130757.07,178584.25,171788.7
"1291/220.0598mz/2.42min",10445.891,3292.7249,3211.6494,658649.3,3779.235,17112.547,26280.254
"1299/229.1183mz/2.43min",270105.76,308347.47,450226.06,294014.44,143063.64,246197.08,226848.95
"1300/241.1182mz/2.43min",308452.09,355642.25,406022.1,288553.4,216498.34,328350.78,249424.56
"1302/268.1655mz/2.43min",213084.115,129810.94,606446.4,1190190.1,188933.42,149214.6,237234.81
"1304/418.197mz/2.43min",17652345,22322004,20138394,21523320,1772311.6,15166296,4964114.5
"1306/420.2029mz/2.43min",585534.89,775998.2,686106.9,745098.5,32789.55,484962.88,172542.45
"1307/328.139mz/2.47min",32235.7285,379199.28,398274.12,41158.727,2267.5438,23312.73,11337.719
"1311/575.2918mz/2.43min",175994.92,71222.18,48970.82,330129.88,201184.39,150805.45,280712.06
