row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,NEG_D5-227-C3-a_Run275.mzML Peak area,NEG_D5-227-C3-b_Run278.mzML Peak area,NEG_D5-227-C3-c_Run281.mzML Peak area,Yeast_HE_D5-Ctrl_a_neg_20190515_Run37.mzML Peak area,Yeast_HE_D5-Ctrl_b_neg_20190515_Run40.mzML Peak area,Yeast_HE_D5-Ctrl_c_neg_20190515_Run43.mzML Peak area,
760,109.02244721824752,10.338952,,,,15,,,,,,,0,0,0,5669208.0,7381046.5,5644671.0,
801,109.52167766410908,10.41111,,,,15,,,,,,,0,0,0,4941068.0,5096003.0,5259094.5,
751,110.02006318968085,10.331832,,,,15,,,,,,,0,0,0,8.930242E7,9.046508E7,9.133548E7,
757,110.52174245747968,10.33548,,,,15,,,,,,,0,0,0,6615303.0,6168187.0,7821718.5,
786,111.02017824823547,10.376733,,,,15,,,,,,,0,0,0,7.915511E7,7.939425E7,8.0734264E7,
836,111.03900516687044,10.534823,,,,39,,,,,,,0,0,0,1.0615713E7,1.2155978E7,1.1574239E7,
779,111.51890979475267,10.373242,,,,15,,,,,,,0,0,0,1924844.1,2008572.1,2014142.6,
780,111.52175033211928,10.373242,,,,15,,,,,,,0,0,0,6691522.5,6787262.5,6880642.5,
787,112.01780929944148,10.376733,,,,15,,,,,,,0,0,0,3.0950596E7,3.1093494E7,3.1442178E7,
788,112.51954674807037,10.376733,,,,15,,,,,,,0,0,0,2166385.2,2206800.8,2212751.0,
718,112.98559713416643,10.205386,,,,32,,,,,,,1.5284342E7,1.5156495E7,1.5223433E7,0,0,0,
789,113.0165646811618,10.376733,,,,15,,,,,,,0,0,0,4360230.5,4348225.0,4455318.5,
633,113.92620694707374,8.959908,,,,20,,,,,,,1.9884262E7,1.8362422E7,1.9062348E7,0,0,0,
756,113.96356150237007,10.333573,,,,15,,,,,,,0,0,0,8225338.5,7057517.0,7176085.0,
5,113.96375415370755,0.036781892,,,,0,,,,,,,0,0,0,2728314.8,2782697.0,2835497.2,
12,113.9637673008137,0.3232884,,,,3,,,,,,,0,0,0,1645683.8,2057201.1,2389126.8,
777,114.01646631772753,10.371555,,,,15,,,,,,,0,0,0,1043150.6,1105818.0,1113333.8,
613,114.93404212260229,8.928211,,,,20,,,,,,,7085716.5,6084235.5,7118471.0,0,0,0,
503,114.93405494134441,8.216733,,,,2,,,,,,,1764681.2,1377729.0,1352577.1,0,0,0,
366,114.93407706348,7.7680554,,,,55,,,,,,,1061057.6,1104824.1,1236273.9,0,0,0,
423,114.93408105526065,7.872368,,,,9,,,,,,,2141904.2,2291521.0,2722573.5,0,0,0,
620,115.92066223323108,8.943904,,,,20,,,,,,,3.9782624E8,3.7792166E8,3.623211E8,0,0,0,
796,115.96396473687366,10.383458,,,,15,,,,,,,0,0,0,2156360.2,2001137.5,2425267.5,
367,116.9284602380073,7.7680554,,,,55,,,,,,,2.0245166E7,2.124687E7,2.3158174E7,0,0,0,
424,116.92846304749747,7.872368,,,,9,,,,,,,4.1328052E7,4.826734E7,5.3114864E7,0,0,0,
275,116.92847081471795,7.370231,,,,1,,,,,,,1.4106558E7,1.4618632E7,1.8374098E7,0,0,0,
14,116.97193839527108,0.32510504,,,,,,,,,,,0,0,0,593772.5,983248.2,930963.44,
24,117.01923347694681,0.68720704,,,,,,,,,,,1852963.5,2127042.5,1646385.0,0,0,0,
505,117.92852714914564,8.216733,,,,2,,,,,,,4105429.2,3161652.2,3161255.2,0,0,0,
368,117.92856534191357,7.7680554,,,,55,,,,,,,2342576.0,2434078.8,2669636.0,0,0,0,
425,117.92856697827767,7.872368,,,,9,,,,,,,4761306.5,5853487.5,5788283.0,0,0,0,
276,117.92856942095271,7.370231,,,,1,,,,,,,1640616.4,1673198.9,2109137.5,0,0,0,
145,118.06509208309906,5.675162,,,,23,,,,,,,0,0,0,832281.06,1088992.5,1140044.9,
749,118.92400741809611,10.331346,,,,,,,,,,,464595.7,464961.06,467639.9,0,0,0,
433,118.92406618990357,7.874111,,,,9,,,,,,,1361931.2,1732439.8,1784384.8,0,0,0,
372,118.9240687509318,7.769789,,,,55,,,,,,,973733.2,1159891.0,1083968.9,0,0,0,
609,118.92666387074804,8.921401,,,,20,,,,,,,3809729.5,3867227.5,3938419.8,0,0,0,
502,118.9267001065969,8.216713,,,,2,,,,,,,1134526.8,806460.3,698295.06,0,0,0,
417,118.92672208155261,7.8706107,,,,9,,,,,,,1161486.8,1296727.0,1450141.5,0,0,0,
183,119.08557721730396,6.1017194,,,,57,,,,,,,0,0,0,1330526.4,2233152.8,1468033.6,
637,119.94679837021887,8.963401,,,,4,,,,,,,6106692.5,6698246.0,6177078.5,0,0,0,
41,120.04446351096699,2.8335507,,,,41,,,,,,,0,0,0,2561646.0,2504766.0,2225040.0,
35,121.02937757573028,2.657478,,,,,,,,,,,619268.94,752210.94,745175.2,0,0,0,
804,123.90191250921676,10.414065,,,,6,,,,,,,2083879.9,2186066.5,2113394.2,0,0,0,
638,124.99668006835873,8.963401,,,,4,,,,,,,1904272.1,2355742.2,1898843.6,0,0,0,
828,125.98618990855489,10.497533,,,,39,,,,,,,0,0,0,2.3375738E7,2.1710632E7,2.2511954E7,
797,126.8808716271487,10.396286,,,,6,,,,,,,982369.94,951243.2,942885.6,0,0,0,
21,128.95081370508464,0.4231714,,,,,,,,,,,0,0,0,2388062.0,2565770.5,2683212.5,
651,129.97561431485514,8.966888,,,,4,,,,,,,4051497.8,3717444.0,2920633.2,0,0,0,
264,129.9756797202308,7.36145,,,,,,,,,,,1189874.8,1441440.0,1478975.2,0,0,0,
802,130.52164045572985,10.41111,,,,15,,,,,,,0,0,0,2379528.2,2255533.8,2290723.8,
43,131.071207875679,2.9044735,,,,,,,,,,,895713.8,183582.05,566716.06,0,0,0,
781,131.53348820498582,10.373242,,,,15,,,,,,,0,0,0,6743107.5,6902001.0,7144073.5,
333,131.53357256762453,7.6078906,,,,,,,,,,,0,0,0,989279.8,2525547.2,2123222.5,
668,132.86772296006552,8.980807,,,,4,,,,,,,1503678.9,2751694.0,1574919.2,0,0,0,
800,132.86774809684366,10.410522,,,,6,,,,,,,5765623.5,5736467.5,5776736.5,0,0,0,
559,132.8677601652492,8.629303,,,,13,,,,,,,2847478.0,2441633.5,2543408.0,0,0,0,
519,132.90009770109953,8.220237,,,,2,,,,,,,534082.0,506718.7,571436.0,0,0,0,
618,132.90009946355877,8.942596,,,,20,,,,,,,3060072.0,3223673.2,3192707.8,0,0,0,
470,132.90012933367052,7.896236,,,,9,,,,,,,317009.97,301599.97,302989.28,0,0,0,
606,132.92333717570466,8.913979,,,,20,,,,,,,1.5650793E7,1.4800959E7,1.3853142E7,0,0,0,
660,134.86495053067793,8.972081,,,,4,,,,,,,958587.9,1053469.8,1075643.1,0,0,0,
568,134.86501063300162,8.662768,,,,49,,,,,,,1644461.0,1615117.5,1574657.6,0,0,0,
708,134.86502902590584,10.164187,,,,,,,,,,,549793.9,526513.4,498122.62,0,0,0,
799,134.86537594967638,10.410506,,,,6,,,,,,,5940295.5,5890653.0,5912237.0,0,0,0,
624,134.8945506626714,8.946092,,,,20,,,,,,,7.348254E7,6.270274E7,7.301173E7,0,0,0,
495,134.8945567233916,8.215,,,,2,,,,,,,9967519.0,1.0249971E7,1.118941E7,0,0,0,
468,134.89459066461322,7.894493,,,,9,,,,,,,6407225.0,6174287.0,6139687.0,0,0,0,
653,135.97080815030526,8.968635,,,,4,,,,,,,929604.9,879221.3,979152.4,0,0,0,
574,135.97084065682816,8.696038,,,,,,,,,,,1607749.2,1478917.0,1516780.8,0,0,0,
540,136.02163129293106,8.420563,,,,,,,,,,,0,0,0,4908357.5,4750310.0,4705572.0,
30,136.03948262867408,1.7421871,,,,12,,,,,,,0,0,0,2348383.2,2152909.8,4251467.5,
805,136.8627579779522,10.414065,,,,6,,,,,,,1815855.4,1822365.2,1793428.9,0,0,0,
42,138.05508238892747,2.8335507,,,,41,,,,,,,0,0,0,729429.0,699165.94,635383.44,
27,138.0550898729762,1.6896406,,,,,,,,,,,0,0,0,2169571.0,2189070.2,3493681.5,
752,138.99532350947152,10.331832,,,,15,,,,,,,0,0,0,4209994.0,4422416.5,4454389.5,
832,139.01789108739703,10.520473,,,,39,,,,,,,0,0,0,1.0097925E7,1.0482867E7,1.011755E7,
617,139.94438143462932,8.9408455,,,,,,,,,,,6799649.5,6389596.5,6308727.0,0,0,0,
767,139.98787748072073,10.366261,,,,15,,,,,,,0,0,0,2.6880322E7,2.7495566E7,2.7274766E7,
737,140.0681798605458,10.248431,,,,,,,,,,,0,0,0,659295.6,560391.5,596098.6,
415,140.0682495941808,7.864448,,,,63,,,,,,,0,0,0,367544.5,387615.97,402318.38,
302,140.06827301154033,7.374964,,,,44,,,,,,,0,0,0,415988.38,469224.88,470809.44,
33,140.06828125057984,2.4381814,,,,,,,,,,,0,0,0,43240.918,86922.38,86683.18,
61,140.0682886495974,3.7444277,,,,,,,,,,,0,0,0,70989.58,104845.33,104798.42,
761,141.95852633580583,10.333577,,,,,,,,,,,0,0,0,1692146.6,2114861.0,1749764.6,
2,141.95872405827464,0.033175692,,,,0,,,,,,,0,0,0,1.1490568E7,8401688.0,1.0876501E7,
10,141.95873565848458,0.32146966,,,,3,,,,,,,0,0,0,8587854.0,1.4746755E7,5522232.0,
768,141.98332401921644,10.366261,,,,15,,,,,,,0,0,0,1.036238E7,1.0441034E7,1.0472705E7,
599,142.92880234474381,8.907002,,,,20,,,,,,,3578275.8,3793254.8,3015088.0,0,0,0,
7,143.9591174068542,0.31966692,,,,,,,,,,,0,0,0,283899.4,490633.8,840383.1,
1,143.95914080933593,0.03498261,,,,,,,,,,,0,0,0,221170.83,91169.72,248489.75,
770,143.9808681955501,10.368001,,,,15,,,,,,,0,0,0,1370528.0,1370583.1,1361345.8,
603,144.9232900886487,8.912239,,,,20,,,,,,,9.042179E7,1.0638831E8,7.66985E7,0,0,0,
711,144.98217381918678,10.175269,,,,10,,,,,,,0,0,0,2.1425664E7,7507640.0,1.5264123E7,
843,145.03525844783022,10.941455,,,,,,,,,,,0,0,0,9211714.0,9413920.0,9322635.0,
604,145.92345498305932,8.912239,,,,20,,,,,,,8511366.0,8720687.0,8717853.0,0,0,0,
630,146.96578192613222,8.956405,,,,4,,,,,,,8304476.0,7153153.0,9632656.0,0,0,0,
575,146.96581655950106,8.6995325,,,,,,,,,,,4.2520668E7,4.2980764E7,4.118319E7,0,0,0,
709,146.9802866973623,10.167393,,,,10,,,,,,,0,0,0,9715590.0,3439236.0,3229767.8,
842,147.03088270169232,10.845201,,,,,,,,,,,0,0,0,5561993.0,5764449.0,5763578.5,
161,147.08046984462675,5.8316307,,,,28,,,,,,,0,0,0,233216.47,295731.25,255060.53,
184,147.08053055948304,6.1017194,,,,57,,,,,,,0,0,0,2.0449328E7,3.37832E7,2.2549684E7,
619,150.88935580418456,8.942596,,,,20,,,,,,,2603035.8,2771157.2,3498506.0,0,0,0,
531,150.88941194927125,8.35008,,,,,,,,,,,2224176.2,2573012.5,2457727.8,0,0,0,
763,152.99488280379987,10.343906,,,,15,,,,,,,0,0,0,1670331.0,1759399.0,1536843.1,
829,154.0049389944828,10.497665,,,,39,,,,,,,0,0,0,2444328.2,2515498.2,2517970.5,
29,154.04996796111053,1.7421814,,,,12,,,,,,,0,0,0,1111081.8,1008220.44,2011934.6,
758,154.99016772150532,10.33548,,,,15,,,,,,,0,0,0,2.7373912E7,3.06347E7,2.9119792E7,
793,156.9906075590908,10.378479,,,,15,,,,,,,0,0,0,7797681.0,7892164.0,7868386.5,
725,158.9640622870442,10.230295,,,,8,,,,,,,0,0,0,2624077.2,1906315.6,1869687.1,
795,158.9860313455945,10.381978,,,,15,,,,,,,0,0,0,3042893.8,3095836.5,3145120.2,
3,159.96921900056975,0.034979135,,,,0,,,,,,,0,0,0,4641526.5,4326045.5,4479709.5,
8,159.9692511474247,0.31784472,,,,3,,,,,,,0,0,0,4084891.5,4295066.0,5161697.0,
17,160.84183716483895,0.36495328,,,,,,,,,,,24637.242,3760.9663,103447.9,0,0,0,
810,160.84194334127417,10.478204,,,,42,,,,,,,3290990.5,3154075.2,3190156.2,0,0,0,
608,160.91819377648616,8.912723,,,,,,,,,,,867295.3,2952582.2,2942993.5,0,0,0,
585,161.9134998453102,8.810905,,,,,,,,,,,5311758.5,5368664.5,4951272.5,0,0,0,
18,162.83893118156695,0.36495328,,,,,,,,,,,17008.28,3565.3794,100920.945,0,0,0,
811,162.83897404943784,10.478204,,,,42,,,,,,,3073846.5,2962813.2,2984454.2,0,0,0,
747,163.99046213743657,10.328528,,,,15,,,,,,,0,0,0,3112184.2,3114640.2,2318191.0,
812,164.83590698885527,10.478204,,,,42,,,,,,,904261.5,867080.6,884345.56,0,0,0,
817,164.9270789325678,10.48532,,,,15,,,,,,,1236038.2,1235887.6,1224186.8,0,0,0,
46,165.0555214804182,3.094408,,,,,,,,,,,598551.8,547515.1,1035119.1,0,0,0,
185,165.09111488084397,6.1017194,,,,57,,,,,,,0,0,0,1058426.0,1798361.6,1163049.0,
798,165.9829019781305,10.40416,,,,15,,,,,,,0,0,0,2994280.8,2999492.8,2786776.0,
830,167.01279109961246,10.499281,,,,39,,,,,,,0,0,0,4.358381E7,4.570683E7,4.469897E7,
827,168.0160719200217,10.4940405,,,,39,,,,,,,0,0,0,2303669.5,2426957.2,2340229.5,
647,168.9862133000529,8.963417,,,,,,,,,,,530411.06,661778.75,704261.9,0,0,0,
748,169.97724299348775,10.328528,,,,15,,,,,,,0,0,0,2090951.4,2523196.0,2717459.5,
841,169.9773038008394,10.813591,,,,,,,,,,,0,0,0,1639406.1,4723972.0,1162215.4,
844,171.9929344546499,10.990345,,,,,,,,,,,0,0,0,5334411.0,5685771.0,5775479.0,
45,172.09782757357542,3.0361137,,,,,,,,,,,542728.2,562740.4,533891.6,0,0,0,
48,172.1332863110197,3.19013,,,,43,,,,,,,0,0,0,1050209.2,1000862.06,1013033.6,
744,172.95630883965146,10.326572,,,,15,,,,,,,0,0,0,7769538.0,7586959.5,7882801.0,
20,172.97716508604807,0.39007828,,,,,,,,,,,0,0,0,1454416.0,1540978.1,1527799.4,
745,174.9532930730195,10.326572,,,,15,,,,,,,0,0,0,1219012.0,1189366.0,1864198.0,
803,174.9563296119475,10.425674,,,,15,,,,,,,1.51379E7,1.5255729E7,1.5041959E7,2511086.8,2453941.5,2466169.5,
4,176.98454022260958,0.034979135,,,,0,,,,,,,0,0,0,1047339.4,1022336.06,1035003.7,
9,176.98454962692904,0.3196551,,,,3,,,,,,,0,0,0,913744.7,933284.5,407455.72,
726,180.9728366543752,10.232034,,,,32,,,,,,,1824236.2,1732949.9,1727126.4,0,0,0,
365,180.9729150440954,7.769789,,,,,,,,,,,357896.38,718228.25,435316.03,0,0,0,
451,180.97293074200593,7.8758597,,,,9,,,,,,,489432.62,526935.1,553137.56,0,0,0,
267,180.97296280720218,7.36673,,,,1,,,,,,,531295.44,522889.8,594433.8,0,0,0,
775,181.01436325547766,10.369756,,,,15,,,,,,,0,0,0,4991951.5,5250397.0,5315389.0,
746,182.98510562868194,10.328315,,,,15,,,,,,,0,0,0,1.8995584E7,1.9318986E7,1.9853678E7,
773,183.00977404215914,10.369751,,,,15,,,,,,,0,0,0,1869142.9,1992402.0,1988661.4,
615,183.93411921996287,8.937377,,,,20,,,,,,,2.8054818E7,3.4779444E7,1.9038468E7,0,0,0,
838,184.002908729641,10.555592,,,,39,,,,,,,0,0,0,6884058.5,6825015.0,6564892.0,
774,184.98545751132562,10.369751,,,,15,,,,,,,0,0,0,8216978.5,8208764.0,8527034.0,
772,186.98088741042093,10.36975,,,,15,,,,,,,0,0,0,3141608.2,3197577.0,3281207.2,
16,186.98101435825677,0.32146966,,,,,,,,,,,0,0,0,177004.67,146788.0,190878.4,
11,190.9282935173294,0.32555875,,,,,,,,,,,1159207.6,1158020.9,563279.75,0,0,0,
806,190.9283032589448,10.415858,,,,,,,,,,,1092883.6,1051970.2,771724.9,0,0,0,
839,191.9461188128586,10.559857,,,,,,,,,,,2239341.0,2348160.8,2349460.2,0,0,0,
762,192.92859883002856,10.342644,,,,,,,,,,,1037648.2,1045073.3,1044627.1,0,0,0,
260,192.92872900243083,7.286512,,,,,,,,,,,278014.72,293724.94,292272.84,0,0,0,
335,192.9287377655647,7.6209836,,,,,,,,,,,353495.88,313817.3,290589.44,0,0,0,
49,194.11530587325248,3.19013,,,,43,,,,,,,0,0,0,5550690.0,5608868.5,5752086.5,
490,194.90565210594505,8.206267,,,,2,,,,,,,170277.25,180109.75,225034.9,0,0,0,
386,194.90570281359237,7.7943454,,,,,,,,,,,391134.44,551804.1,533852.56,0,0,0,
427,194.9057308025987,7.872368,,,,9,,,,,,,1189412.5,1149351.2,1007505.44,0,0,0,
278,194.90573915160985,7.370231,,,,1,,,,,,,346882.66,365438.7,502337.75,0,0,0,
140,195.10164424140734,5.6147423,,,,51,,,,,,,0,0,0,763165.75,753661.0,792258.3,
819,195.81073680945042,10.487094,,,,15,,,,,,,385797.7,369716.34,378626.0,0,0,0,
545,195.81077613516666,8.494149,,,,19,,,,,,,3458876.2,3374652.2,3204504.2,0,0,0,
759,196.01669460133292,10.33548,,,,15,,,,,,,0,0,0,1588109.5,1538541.5,1608647.9,
820,197.80778499844573,10.487094,,,,15,,,,,,,483525.47,476626.38,479021.75,0,0,0,
546,197.80783093249852,8.494149,,,,19,,,,,,,4643347.5,4252582.5,4064192.0,0,0,0,
821,199.80483370719776,10.487094,,,,15,,,,,,,213520.08,216190.7,211684.05,0,0,0,
543,199.80488293267808,8.492404,,,,19,,,,,,,2139133.5,2085476.2,1856817.5,0,0,0,
612,199.92907747967277,8.926655,,,,20,,,,,,,2057631.0,2252561.0,2244940.8,0,0,0,
670,200.85866799437585,9.0620365,,,,59,,,,,,,1190999.0,663790.25,735668.8,0,0,0,
594,200.8586951883232,8.880919,,,,20,,,,,,,2920107.8,2966953.8,2764091.2,0,0,0,
56,201.05962880800863,3.6546624,,,,,,,,,,,0,0,0,183206.77,150574.69,383144.03,
833,201.9756361012609,10.522572,,,,39,,,,,,,0,0,0,894870.0,910274.3,944537.5,
579,201.97567951600092,8.724799,,,,,,,,,,,0,0,0,1050704.6,1094939.9,1111101.2,
19,202.18023437985713,0.3863978,,,,,,,,,,,0,0,0,828940.25,965623.06,840620.8,
25,202.18024112306998,0.7063114,,,,,,,,,,,0,0,0,183787.23,221008.98,170202.81,
123,203.06203052001558,5.280399,,,,,,,,,,,0,0,0,368459.94,289328.8,399944.6,
74,203.06207471263846,3.9052315,,,,,,,,,,,0,0,0,159196.42,175056.88,221874.0,
743,205.0170545757708,10.323266,,,,15,,,,,,,0,0,0,6009908.0,6269994.5,6322871.5,
822,205.8395365072561,10.487094,,,,15,,,,,,,1387120.5,1379684.9,1370963.8,0,0,0,
765,207.0174361777268,10.362767,,,,15,,,,,,,0,0,0,5736909.5,5852630.0,5721414.5,
816,207.83655744101074,10.4853115,,,,15,,,,,,,1306696.6,1290745.4,1296819.5,0,0,0,
818,208.03925482574527,10.485463,,,,39,,,,,,,0,0,0,2781455.0,2890163.0,2846321.0,
766,209.01285151800357,10.362767,,,,15,,,,,,,0,0,0,2168588.8,2227056.2,2182367.2,
151,211.0754024069105,5.67697,,,,23,,,,,,,0,0,0,1131671.8,1541299.8,1620104.2,
94,211.97068427871758,4.687585,,,,17,,,,,,,0,0,0,3885960.8,4098365.8,4073209.0,
742,213.9827467290967,10.323082,,,,15,,,,,,,0,0,0,2954334.5,3004029.2,2121385.2,
558,213.98289257339138,8.583336,,,,,,,,,,,0,0,0,1994470.4,1185502.4,997182.8,
416,213.9829245018706,7.873421,,,,,,,,,,,0,0,0,1919399.9,1027605.4,1473685.1,
791,215.9837084943381,10.376728,,,,15,,,,,,,0,0,0,1490980.4,1538013.6,1537714.2,
444,216.8536175736115,7.874111,,,,,,,,,,,145648.05,359156.1,396939.56,0,0,0,
573,216.8802890863262,8.696038,,,,,,,,,,,1598279.8,1552829.0,862418.0,0,0,0,
717,216.92269153934384,10.203182,,,,8,,,,,,,0,0,0,3525483.2,2452230.2,1746166.8,
53,217.0421502233778,3.5256872,,,,,,,,,,,570434.9,821959.8,527456.44,0,0,0,
181,217.04215594651114,6.101256,,,,,,,,,,,504989.56,865454.56,504415.66,0,0,0,
32,217.10472265837234,2.2417057,,,,,,,,,,,0,0,0,873157.44,1119584.6,874888.25,
39,217.10711657549123,2.7953131,,,,,,,,,,,0,0,0,302399.5,251867.11,562677.25,
57,217.10713089419266,3.6564724,,,,,,,,,,,0,0,0,123977.27,96024.46,165238.33,
65,217.10721273558502,3.8454866,,,,,,,,,,,0,0,0,77007.41,56348.49,150358.2,
562,218.98592784230104,8.634423,,,,11,,,,,,,2827988.5,2962528.2,2987222.2,0,0,0,
191,219.05700879860242,6.105232,,,,57,,,,,,,0,0,0,647338.25,1139331.4,737153.9,
52,219.05706279792415,3.5234516,,,,,,,,,,,0,0,0,472468.16,704063.7,571939.8,
212,220.11215041661774,6.3073406,,,,64,,,,,,,0,0,0,1028722.6,1579625.2,1622712.4,
392,221.17510545569192,7.7733307,,,,7,,,,,,,0,0,0,611463.44,323904.6,499227.66,
76,222.14644680556896,4.052981,,,,,,,,,,,0,0,0,555436.4,555364.0,540602.9,
673,222.8405325934209,9.058548,,,,,,,,,,,417843.25,344712.84,822481.25,0,0,0,
597,222.84054417961974,8.900052,,,,,,,,,,,842222.5,460464.53,1208586.0,0,0,0,
740,223.98820929510302,10.313156,,,,15,,,,,,,0,0,0,4378309.0,4126823.8,4118898.0,
837,225.02936185531175,10.545257,,,,39,,,,,,,0,0,0,2080563.0,2297900.0,2227100.2,
146,225.09101887918735,5.675162,,,,23,,,,,,,0,0,0,1899133.2,2506728.2,2575933.2,
82,226.1801232543065,4.3745365,,,,48,,,,,,,0,0,0,138396.81,117282.11,127039.375,
346,226.18015194951076,7.696942,,,,66,,,,,,,0,0,0,1075306.4,582207.6,849377.25,
393,226.18015990412798,7.7733307,,,,7,,,,,,,0,0,0,875251.06,477243.1,677584.6,
729,226.95139997858305,10.233948,,,,8,,,,,,,0,0,0,7775669.0,3827481.2,3718035.5,
691,226.95143402781298,9.937849,,,,,,,,,,,0,0,0,1343061.5,2297287.8,2240422.0,
100,227.96650453410734,4.688305,,,,31,,,,,,,2091111.4,2059085.1,2128619.0,0,0,0,
394,228.1958483300781,7.7733307,,,,7,,,,,,,0,0,0,1119824.1,617810.2,886804.6,
109,228.19589444550067,4.81681,,,,62,,,,,,,0,0,0,216914.27,135601.77,210690.34,
592,229.90075015657263,8.865251,,,,20,,,,,,,1.0465065E7,1.0336837E7,9604605.0,0,0,0,
101,229.96426170659683,4.688305,,,,31,,,,,,,2026771.0,1989605.2,2074159.4,0,0,0,
96,229.9812724527679,4.687585,,,,17,,,,,,,0,0,0,8713632.0,9201769.0,9118387.0,
99,230.9844951385709,4.687585,,,,,,,,,,,0,0,0,722326.3,755746.25,758790.56,
97,231.979088620557,4.687585,,,,17,,,,,,,0,0,0,8553489.0,9007000.0,8944106.0,
98,232.98231905896486,4.687585,,,,17,,,,,,,0,0,0,706129.5,762901.06,750166.3,
78,233.0725841733212,4.3618855,,,,,,,,,,,0,0,0,430908.72,316282.84,681919.6,
54,233.07260638344323,3.5542364,,,,,,,,,,,0,0,0,111962.734,61915.23,174515.22,
189,235.07120274715103,6.103478,,,,57,,,,,,,0,0,0,478825.16,755374.6,515278.03,
90,236.0805290459165,4.5446835,,,,60,,,,,,,0,0,0,2251770.5,2062183.1,3239293.5,
84,236.1620438374823,4.4469895,,,,,,,,,,,0,0,0,82167.91,66461.484,77752.49,
397,236.16205193617088,7.775116,,,,,,,,,,,0,0,0,597995.0,325925.53,469060.94,
239,237.221258779756,6.9768314,,,,61,,,,,,,0,0,0,64129.83,143574.7,192841.34,
290,237.2212924967455,7.373159,,,,44,,,,,,,0,0,0,859413.0,1070492.8,1270616.2,
51,239.08896620915345,3.3526404,,,,,,,,,,,0,0,0,585025.5,621064.56,785703.9,
81,242.17609197335943,4.3743625,,,,,,,,,,,107235.92,120688.92,449989.9,0,0,0,
809,242.94326174443972,10.465735,,,,15,,,,,,,2161339.8,2149357.0,2219587.0,0,0,0,
551,243.89911615887124,8.561231,,,,22,,,,,,,2.011334E7,1.9047856E7,1.7276234E7,0,0,0,
