row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,2024_POS_CC_2_Run47.mzML Peak area,2024_POS_CC-VPA_1_Run26.mzML Peak area,2024_POS_CC_3_Run61.mzML Peak area,2024_POS_CC_1_Run20.mzML Peak area,2024_POS_CC-VPA_3_Run76.mzML Peak area,2024_POS_CC-VPA_2_Run35.mzML Peak area,
79,141.03396859736964,0.5550982,,,,,,,,,,,4119699.0,4149601.8,4189688.0,4145426.8,4112749.2,4105379.0,
53,141.04691025528157,0.38247147,,,,56,,,,,,,5928983.5,5794626.5,6010710.0,6021855.0,5755288.5,5798629.5,
13,141.9585922338857,0.31517574,,,,6,,,,,,,895105.6,945670.5,905696.6,862327.5,904577.94,966496.44,
3,141.95861290508722,0.032185268,,,,1,,,,,,,3540097.5,4673505.5,3568298.8,4639011.0,3534305.8,3773249.8,
1244,144.98215067234096,8.661195,,,,71,,,,,,,2.8418046E7,3.1747018E7,3.0714658E7,2.8957694E7,2.1909712E7,2.1837998E7,
1540,144.98216061210414,9.973939,,,,,,,,,,,6359684.5,7543417.0,6473173.0,7061259.5,6380953.5,1.4620501E7,
1238,146.9803293146355,8.659344,,,,71,,,,,,,1.2834623E7,1.4124083E7,5238801.0,1.295645E7,9877835.0,9887994.0,
1181,146.9803296697635,8.594634,,,,,,,,,,,4840871.5,4729780.5,1.3878051E7,5117129.0,4398378.0,4445804.5,
42,154.07423533377354,0.3743361,,,,56,,,,,,,1959969.4,1916309.6,1879356.4,2025419.8,1941129.8,1915980.4,
27,155.1269777563747,0.35562262,,,,56,,,,,,,823870.06,794507.25,793223.9,791969.56,773899.6,736203.9,
75,156.07209514813675,0.40277958,,,,56,,,,,,,531907.75,471489.66,474721.8,514192.6,506572.28,500338.12,
78,156.0720999478581,0.53124577,,,,,,,,,,,778827.6,739321.1,659821.1,731082.3,703630.8,662321.9,
58,157.04183337724726,0.38328493,,,,56,,,,,,,1388807.0,1329857.9,1373695.4,1387046.2,1325449.5,1341801.5,
81,158.1539107233672,0.6493303,,,,110,,,,,,,449293.28,355359.88,368098.12,351843.6,435989.9,541692.44,
59,158.1539212335864,0.383307,,,,56,,,,,,,278040.9,228020.08,258699.05,254717.4,298082.97,321008.66,
198,158.15392977260638,4.947847,,,,,,,,,,,761025.3,780024.7,778231.94,798888.1,729562.4,739763.3,
1598,158.96405421670838,10.271374,,,,70,,,,,,,292937.38,264173.9,283479.06,370391.97,295123.1,233170.95,
22,158.96407569469292,0.34212077,,,,28,,,,,,,432464.3,451803.0,422881.16,415184.97,423272.88,433435.44,
11,159.96915831288246,0.31481436,,,,6,,,,,,,321755.8,353059.53,388528.8,323669.28,336578.34,357775.22,
4,159.96916072059358,0.032185268,,,,1,,,,,,,1336210.4,1708859.9,1480768.2,1634016.9,1321332.8,1356999.2,
70,163.01582728798408,0.39316234,,,,56,,,,,,,1273226.8,1362796.6,1353617.5,1384761.6,1333396.0,1364585.6,
7,164.94808521271466,0.032185268,,,,,,,,,,,303017.06,239435.42,349587.72,193485.05,274531.44,278657.22,
618,173.13246845742552,7.825442,,,,,,,,,,,76368.09,7913.706,351525.8,7446.9014,62343.39,30895.572,
96,176.11344724760207,1.4439192,,,,,,,,,,,8463675.0,8520582.0,8681479.0,8407691.0,8434915.0,8474017.0,
47,179.0237245253564,0.37759006,,,,56,,,,,,,444191.9,707318.06,456783.2,693496.75,441825.06,436195.16,
117,180.10185149604402,2.656655,,,,,,,,,,,289440.38,378114.6,351532.84,304599.34,292324.5,621144.9,
101,181.09708719186028,2.1205409,,,,97,,,,,,,811825.75,1018357.56,944581.0,898039.1,972396.6,1876907.1,
130,181.09710658888005,2.8405526,,,,,,,,,,,95668.05,74672.2,72708.77,85198.02,52489.656,114006.63,
140,182.19027125949935,3.3475678,,,,,,,,,,,362229.62,323858.3,320492.4,366698.97,231451.06,380840.5,
693,182.98504879024767,7.8562045,,,,,,,,,,,230887.2,166289.7,254996.28,467128.47,393766.44,30033.803,
801,182.98504883089595,7.89896,,,,,,,,,,,100464.3,118291.914,190389.88,391079.72,410644.8,42370.53,
1646,182.9850909822567,10.465333,,,,19,,,,,,,1567338.6,1464584.6,1294357.5,1436539.8,1643345.2,1740429.6,
5,182.98510644112278,0.032185268,,,,1,,,,,,,442995.6,659196.9,447598.8,587764.3,400231.16,468129.56,
132,183.09167486709248,2.9580517,,,,,,,,,,,518081.8,552665.5,571238.75,757174.4,733635.94,1072160.5,
114,184.16952051198018,2.52429,,,,,,,,,,,199355.02,155702.42,262391.03,189120.73,249075.4,261791.45,
104,184.16953452784028,2.2110152,,,,,,,,,,,2006927.0,1646339.5,2359434.5,1963623.9,2241493.0,2665836.2,
1171,184.98543320820463,8.546342,,,,,,,,,,,208752.8,169084.97,229383.8,113157.83,235752.19,93209.85,
1288,184.985477424111,8.724582,,,,,,,,,,,2679705.2,3117990.0,2832889.5,3521431.5,2280665.5,2187744.2,
1642,184.9854892567032,10.441279,,,,19,,,,,,,1026331.56,1083186.9,993823.5,1064980.9,1026344.5,1063644.1,
6,184.98549113612023,0.032185268,,,,1,,,,,,,172578.88,301055.16,166926.92,406871.97,175163.08,193937.73,
120,185.08547985085545,2.698095,,,,104,,,,,,,528040.94,653211.9,382658.53,777895.7,919407.2,774935.8,
26,185.12714292462616,0.35481086,,,,56,,,,,,,4885115.0,4831297.0,4775536.0,4972407.0,4712377.0,4764215.5,
131,185.12837936814879,2.8673546,,,,,,,,,,,68127.84,79955.18,79606.73,55443.945,65901.836,189029.08,
125,185.12838004820546,2.8007624,,,,127,,,,,,,61179.35,89469.484,73187.625,77001.2,88999.44,217889.4,
628,191.14307304350132,7.826051,,,,,,,,,,,65699.734,4502.949,321619.88,3549.2642,53428.42,16369.419,
73,192.10830697567337,0.39822698,,,,56,,,,,,,400928.9,382698.06,420569.62,441804.1,393439.5,389315.94,
82,192.1083197161345,0.6546374,,,,110,,,,,,,1040439.7,999696.3,974695.8,976091.9,1003781.56,986829.2,
109,195.12269355853633,2.285652,,,,,,,,,,,661755.6,617123.75,609265.1,662007.2,647633.2,778880.7,
163,195.13794195039813,4.3392177,,,,,,,,,,,741257.94,810930.7,812256.3,826656.94,762861.4,851382.7,
156,195.13794838634598,3.8343008,,,,,,,,,,,83246.664,106147.03,99103.6,77177.36,95726.82,79950.72,
121,197.1284622529987,2.7081747,,,,104,,,,,,,2233381.2,2596728.0,2507296.8,2253950.2,2405259.5,5271904.5,
662,198.18521624406142,7.8235135,,,,,,,,,,,87635.164,5283.9424,285348.8,3578.269,57863.043,30256.92,
107,200.10456595942537,2.2501986,,,,118,,,,,,,6020740.5,5947078.0,5971879.5,5724253.5,5351898.5,5438563.0,
54,202.18007233493063,0.38247147,,,,56,,,,,,,1.3850775E7,1.1429703E7,1.368776E7,1.2931305E7,1.3851437E7,1.5940977E7,
84,202.18007824810854,0.68278223,,,,122,,,,,,,9957784.0,7947043.5,9835758.0,8607728.0,1.0020615E7,1.2067814E7,
122,202.18007888423008,2.725931,,,,,,,,,,,137273.95,95297.0,177111.53,117968.21,160461.12,171281.27,
62,203.08098812813947,0.38491797,,,,56,,,,,,,5509893.0,4492208.5,5056564.0,7437979.5,5561721.5,5665805.5,
86,203.085609702921,0.7341029,,,,,,,,,,,679984.56,916658.2,890791.6,533797.94,999753.06,1020482.44,
65,203.08562530953978,0.38574347,,,,56,,,,,,,2819725.2,2257774.2,2678906.5,2128059.8,2687212.2,2716953.0,
55,203.183328105021,0.38247147,,,,56,,,,,,,1378073.5,1134093.1,1352455.8,1308953.2,1406816.6,1621917.2,
85,203.18333893363342,0.6854307,,,,122,,,,,,,953970.6,743159.44,966479.4,838987.25,969971.75,1178298.8,
28,206.07151512429002,0.3596921,,,,56,,,,,,,642132.3,678723.06,615687.9,674610.56,639956.8,664783.44,
25,207.10912594596354,0.353182,,,,,,,,,,,240721.03,270074.25,250939.19,270215.47,231809.6,245303.53,
30,208.06930307730954,0.3629463,,,,56,,,,,,,444160.5,464591.25,462312.5,454060.3,443964.47,437783.6,
620,208.16960960887542,7.797884,,,,,,,,,,,58833.02,0,293701.25,0,35365.5,9490.928,
33,209.07267158985914,0.3637598,,,,56,,,,,,,8826681.0,9125713.0,8779223.0,9096340.0,8647563.0,8666613.0,
664,209.15361436754657,7.8244395,,,,,,,,,,,172819.23,32808.605,702720.4,28037.766,105413.555,82473.61,
29,210.08497395386735,0.36213276,,,,56,,,,,,,689040.2,705383.06,662784.06,708129.2,650758.7,656637.9,
56,210.1066912532144,0.38247153,,,,56,,,,,,,938404.7,1175899.4,1130733.1,1175874.2,1065364.8,1153545.6,
31,211.0883044967089,0.36294627,,,,56,,,,,,,9729510.0,9987824.0,9545449.0,1.0161829E7,9572400.0,9616647.0,
135,211.14403973738328,3.241521,,,,,,,,,,,2982399.8,3721597.5,3417069.0,3156233.5,3556694.5,7202271.5,
134,211.14405712571173,3.1399908,,,,,,,,,,,2714042.2,3195446.2,2883836.8,2833066.5,2740333.5,5816375.5,
177,211.97049935812865,4.745363,,,,117,,,,,,,3086185.2,3163383.0,3181167.0,3010576.2,3149442.2,3222531.5,
145,213.15973464741077,3.5065186,,,,,,,,,,,88225.41,150939.44,229716.78,199110.61,246169.31,460743.16,
178,213.96845630268527,4.745588,,,,117,,,,,,,2976733.5,3083303.5,3062890.5,2951436.0,3087852.2,3196613.5,
137,214.0498371589324,3.3229048,,,,,,,,,,,3823617.2,3697411.5,6604240.5,4383463.0,7637550.0,1.0656628E7,
149,214.04986009629954,3.5420218,,,,90,,,,,,,2.1875316E7,2.428258E7,2.6346566E7,2.7752528E7,1.9675018E7,2.556976E7,
170,214.1801003263475,4.506386,,,,,,,,,,,409036.22,424623.22,281583.0,566948.5,724226.6,408388.75,
124,214.18010427924602,2.7487266,,,,,,,,,,,85959.45,63524.0,88138.39,77211.89,73464.57,90685.94,
139,215.05295890712918,3.3143022,,,,,,,,,,,502543.1,497579.38,880827.2,548937.3,989236.6,1323070.6,
148,215.05298796651235,3.5407143,,,,,,,,,,,1904962.6,2224346.5,3271536.0,2483226.5,2085054.5,2712889.8,
105,217.12472153400083,2.2476528,,,,118,,,,,,,512937.16,501905.6,524780.9,490726.38,475508.16,474243.97,
106,218.12808957844274,2.248787,,,,118,,,,,,,7037200.0,6861139.0,7092236.5,6703308.0,6383575.0,6502514.5,
676,226.18008210347523,7.838421,,,,115,,,,,,,415213.1,63003.176,1209765.6,66350.61,272799.62,190953.89,
624,226.18009172716927,7.773749,,,,43,,,,,,,406357.06,16890.547,1784599.4,65421.61,85007.7,120971.79,
165,226.18010523389293,4.4243603,,,,116,,,,,,,1208796.8,1222089.2,1239245.2,1213328.6,1329071.6,1236696.1,
17,226.95142830128236,0.33960533,,,,28,,,,,,,1752811.4,1801178.1,1610556.5,1887228.6,1671493.9,1719932.1,
1600,226.95143823223415,10.271651,,,,70,,,,,,,861718.56,803042.7,890742.1,1267549.8,931788.4,703073.9,
1512,226.95145991571982,9.816193,,,,,,,,,,,0,17145.91,5461.8833,100326.1,0,0,
1544,226.9514635200215,9.986951,,,,,,,,,,,0,40084.33,18301.33,66561.13,4052.7578,0,
63,228.11725613048634,0.38165796,,,,,,,,,,,382271.6,338028.88,327598.1,358070.97,344434.66,347877.44,
674,228.19575533298374,7.8383083,,,,115,,,,,,,867165.06,162826.1,2489330.5,174679.8,583117.0,412863.12,
617,228.19576150996264,7.785719,,,,43,,,,,,,318605.72,137387.78,1342528.2,140588.52,76696.78,104321.516,
197,228.19577458943184,4.8804345,,,,87,,,,,,,4957938.5,4499413.0,4184122.5,5062860.0,6644012.0,4478875.5,
1112,228.1957794250205,8.412318,,,,92,,,,,,,96214.375,59867.31,119214.27,70102.95,72083.24,46932.145,
151,228.23207354209407,3.542145,,,,90,,,,,,,139505.05,127252.61,161905.42,147417.58,139731.5,181617.0,
143,228.23210990941342,3.4635932,,,,,,,,,,,387021.8,338511.03,435638.53,374266.97,361173.6,448942.16,
152,228.23213473493527,3.6561215,,,,,,,,,,,1970114.9,1680255.8,2159286.5,1943579.0,1831442.2,2228932.8,
323,228.23214565757144,6.723345,,,,,,,,,,,50845.383,53968.24,61009.395,60039.434,70363.03,60481.57,
24,229.09085225112815,0.3421422,,,,28,,,,,,,183283.84,235111.86,228812.5,219202.23,209334.58,203983.28,
195,229.19906038784896,4.87678,,,,87,,,,,,,658708.5,585538.4,552259.4,664404.25,890384.56,581213.4,
629,229.19930868246038,7.826794,,,,,,,,,,,56149.043,3973.8325,177371.3,7503.9097,67720.98,44276.312,
179,229.9810818679796,4.745588,,,,117,,,,,,,7350487.0,7140516.0,7657618.0,7010560.0,7610421.0,7813506.5,
194,230.24774593705413,4.8676457,,,,,,,,,,,260901.88,361308.47,379399.28,430348.7,481595.28,500228.06,
204,230.2477928600768,5.090561,,,,,,,,,,,44479.016,41955.258,0,75506.43,36655.637,0,
182,230.98440447035327,4.7438064,,,,117,,,,,,,618256.9,606097.94,628901.94,586435.44,631704.7,649332.06,
180,231.97899760782573,4.745588,,,,117,,,,,,,7271303.5,7127723.5,7597168.0,6890246.0,7495952.5,7724055.5,
183,232.98230755206455,4.746776,,,,117,,,,,,,622539.4,599733.5,637876.25,559345.1,627139.94,651636.94,
166,244.1906495442013,4.4243603,,,,116,,,,,,,809258.7,833878.7,819670.94,836944.6,929302.0,850297.56,
99,244.19068672456103,2.0971363,,,,,,,,,,,378928.16,307426.66,448430.34,362358.0,422510.03,525212.1,
677,244.1907043588296,7.838421,,,,115,,,,,,,485668.1,89106.92,1479212.8,81179.88,332291.8,232999.88,
133,244.2011994647925,3.0637007,,,,,,,,,,,44383.53,43158.637,44044.227,39026.684,36842.047,30518.21,
110,244.20120557026976,2.3595116,,,,,,,,,,,1235168.4,2147731.5,1254858.4,2119867.8,2053836.6,2111869.8,
113,244.20121035536036,2.5050955,,,,,,,,,,,316261.53,322345.53,321047.5,317576.8,322071.6,320194.47,
95,245.09536815335085,1.0593793,,,,,,,,,,,127089.38,137238.48,208238.39,201804.17,232526.11,372305.1,
97,245.09537065772187,1.5684379,,,,,,,,,,,647339.9,781584.0,513715.38,492371.72,598771.7,1787313.2,
102,245.09538286543219,2.1205409,,,,97,,,,,,,3831443.2,4638589.5,4424619.0,4122480.2,4549913.5,8784264.0,
136,245.12838855325188,3.259813,,,,,,,,,,,1330699.2,1589152.4,1425901.0,1398522.4,1369285.1,3005737.2,
141,245.12841500139575,3.3899643,,,,,,,,,,,2998391.5,3668925.8,3290411.8,3259170.0,2989813.8,6945503.5,
153,246.13349754543114,3.6708403,,,,,,,,,,,202918.1,209579.23,201266.3,215748.77,205958.02,215881.27,
175,246.24268968770124,4.691155,,,,,,,,,,,241016.22,275716.66,361673.1,421906.94,367148.47,382105.38,
48,249.0452567965327,0.37840366,,,,56,,,,,,,1010559.9,1036838.1,871816.7,997856.8,978621.1,912798.2,
49,250.09919182849305,0.3784039,,,,56,,,,,,,4020819.0,4128544.0,3996229.8,4160642.5,3980885.8,3886604.5,
196,250.17768245643853,4.8777146,,,,87,,,,,,,806940.25,703227.94,665428.2,782530.8,1029458.44,650862.5,
656,250.17768899555216,7.840824,,,,,,,,,,,44358.008,0,290471.88,22865.357,66604.21,10616.856,
40,251.0705033046897,0.37026808,,,,56,,,,,,,1930712.8,1966192.6,1895322.2,2014172.2,1904073.8,1916634.5,
459,256.2634513216678,7.361503,,,,,,,,,,,423257.06,398379.44,447031.03,430029.5,499058.5,415342.62,
267,257.2110657895947,6.2800527,,,,,,,,,,,182462.7,242326.47,292970.16,286505.03,284437.88,355642.94,
256,257.21106760161064,6.179049,,,,,,,,,,,130354.08,136418.66,193383.67,195239.31,184608.69,229752.33,
126,259.2202098937028,2.7918537,,,,127,,,,,,,200408.77,201042.77,200241.4,201252.77,195985.67,194456.23,
118,259.22021396453795,2.6581204,,,,,,,,,,,450825.1,448286.34,453464.7,444309.44,463438.2,483413.56,
116,261.12338990870677,2.598667,,,,,,,,,,,3550931.0,4126006.8,3679835.0,3745073.2,3580228.2,7528732.0,
144,264.13353286331477,3.4727285,,,,,,,,,,,737559.6,884297.5,876122.44,1062805.0,1157296.2,1101118.5,
318,265.25254131136734,6.6763434,,,,95,,,,,,,259705.45,305992.62,393826.16,360203.2,428533.6,512434.16,
344,265.2525439414935,6.901989,,,,15,,,,,,,24087.172,48979.29,58773.48,60746.46,82228.984,65537.18,
545,265.25255151215094,7.639931,,,,18,,,,,,,98056.33,130007.09,139418.03,157325.1,221066.03,130950.266,
587,265.2525537713876,7.6834493,,,,80,,,,,,,156542.48,188955.61,215768.48,261957.95,283269.62,215985.47,
184,270.2062914230794,4.776619,,,,,,,,,,,331885.22,410803.8,357785.06,372678.72,348432.72,716006.4,
127,272.1855770714658,2.8207963,,,,,,,,,,,1329863.4,958135.8,1344371.1,1246104.6,1025878.44,1228810.0,
72,273.0760324213758,0.3974446,,,,56,,,,,,,474003.75,521902.38,512929.03,536334.9,498945.7,513079.56,
93,273.0760944725483,0.8770082,,,,54,,,,,,,4167048.0,3888094.5,4024984.8,4015543.8,4426900.0,4308023.5,
150,274.16478523920335,3.5420206,,,,90,,,,,,,809188.4,834730.7,832806.6,835814.9,770057.06,807497.44,
193,274.27399175465985,4.847357,,,,,,,,,,,183454.72,268126.38,226529.44,286962.53,383327.66,378058.22,
209,274.274019681759,5.199158,,,,,,,,,,,240222.11,264052.88,325205.22,416781.6,341188.3,367379.38,
401,275.2579964047406,7.165853,,,,,,,,,,,185503.77,125417.336,183415.75,275558.9,246097.62,324561.4,
331,279.231801178613,6.777733,,,,69,,,,,,,482344.56,606325.5,802216.6,629786.56,1019534.56,1157397.1,
536,279.23181895562357,7.5954328,,,,18,,,,,,,84364.93,65632.26,232593.02,104329.93,154591.44,104598.56,
460,282.13618786594077,7.3863297,,,,134,,,,,,,470439.75,405804.06,387469.5,535024.94,515808.47,604258.25,
512,282.2790779339926,7.5190563,,,,66,,,,,,,1989211.8,1928234.5,2290065.5,1936338.8,2249557.5,2049339.2,
429,283.1440046699267,7.2957673,,,,13,,,,,,,562244.25,514845.4,536754.0,645186.9,566388.7,748014.75,
339,283.1440126806882,6.873522,,,,61,,,,,,,10066.047,287242.25,248361.39,145386.92,126563.41,87895.2,
343,283.26308850437835,6.9010053,,,,15,,,,,,,341006.7,518566.47,538834.44,609630.0,633613.9,660696.2,
316,283.26309976606177,6.6764317,,,,95,,,,,,,1440401.5,1676630.5,2189052.0,2036659.6,2269449.8,2690957.8,
367,283.26310996950343,7.0092907,,,,,,,,,,,33128.543,47943.84,45003.97,22628.363,54297.555,66956.39,
328,284.13367564490227,6.77348,,,,69,,,,,,,53117.48,67839.37,60785.402,73940.195,73648.07,95341.664,
386,284.1519067575641,7.0750337,,,,25,,,,,,,5.597704E7,5.90191E7,6.120318E7,6.782316E7,7.11445E7,7.509525E7,
233,284.2947087864959,5.6548023,,,,85,,,,,,,162967.89,166987.75,244343.67,303447.9,259893.56,267088.34,
757,284.294726283991,7.9233594,,,,,,,,,,,326421.53,375410.94,508888.25,551137.5,642396.06,434320.84,
314,289.2161260295749,6.6581626,,,,27,,,,,,,255270.72,332018.56,427216.56,268152.3,407177.0,648884.1,
325,289.2161290675997,6.7145767,,,,,,,,,,,228754.78,240051.38,336112.38,237977.33,308675.88,526558.7,
266,291.1931120554019,6.2884254,,,,,,,,,,,40533.88,52767.094,83952.9,57920.156,77097.2,99713.14,
254,291.19540072797764,6.155781,,,,,,,,,,,264026.38,309283.03,408063.2,394725.72,439263.03,436548.75,
74,295.0579405943428,0.4025655,,,,56,,,,,,,1001841.0,1013616.2,1028745.9,1052370.9,994845.94,1054876.0,
92,295.0580059564059,0.832388,,,,,,,,,,,1241010.0,1249407.8,1269358.9,1220522.2,1265647.5,1261837.4,
400,297.24014578285005,7.166662,,,,,,,,,,,63711.74,38065.188,94991.25,156108.44,106522.34,84252.15,
373,297.2420707099618,7.056797,,,,,,,,,,,46514.586,58750.902,67951.92,92143.54,74950.445,70578.95,
220,297.24228409124896,5.6297016,,,,123,,,,,,,57074.367,125912.07,88048.13,100100.42,114918.2,204898.45,
264,297.24232733468557,6.270453,,,,,,,,,,,147407.62,164554.66,180093.1,148655.23,171570.2,138937.5,
329,297.24234972227526,6.7762656,,,,69,,,,,,,1163659.1,1368638.8,1768609.0,1471426.9,2190432.5,2427392.2,
112,302.1961041331265,2.3684108,,,,,,,,,,,460546.97,475001.38,503479.28,577454.4,367384.06,664532.9,
103,302.196120970094,2.1744034,,,,,,,,,,,63591.703,31329.102,76567.086,49615.59,69640.586,60916.7,
234,302.3053097638097,5.6548023,,,,85,,,,,,,6792641.0,6576869.5,8906008.0,1.14365E7,1.0232116E7,1.068792E7,
232,303.30870750378057,5.6546493,,,,,,,,,,,1267029.6,1258789.4,1692953.5,2123404.8,1877433.1,1947035.2,
236,307.24778359782516,5.68144,,,,,,,,,,,449512.62,479228.1,450707.34,468750.2,443107.7,440930.6,
854,310.31033536987655,8.001697,,,,14,,,,,,,254356.6,234316.31,499595.44,286550.78,349756.97,288489.78,
535,311.2579830498105,7.5943546,,,,18,,,,,,,1088206.2,967595.44,2570127.2,1280813.8,1761429.9,1233875.1,
538,312.26134436085016,7.593281,,,,,,,,,,,206950.64,178610.11,509221.3,246464.55,354447.12,245270.38,
308,313.14336914942186,6.6287007,,,,,,,,,,,374542.4,499744.56,574642.25,667083.25,663846.3,744089.8,
115,316.21173513017555,2.580307,,,,,,,,,,,555945.0,306306.2,515751.84,518763.5,360658.22,363534.62,
123,316.2117502100634,2.742275,,,,,,,,,,,1166596.2,652820.94,1235190.8,1072906.8,811533.56,804883.4,
330,319.22434733478144,6.7762656,,,,69,,,,,,,655611.8,765618.4,1019114.0,886726.0,1224768.1,1274120.0,
402,319.2841667351094,7.177864,,,,114,,,,,,,523539.0,524167.53,576642.25,741985.6,479816.22,951467.56,
